v,Lx,Ly,state_index,energy,abs_energy,W_corner,W_edge,W_bulk,classification
0.8,10,10,380,-0.02732259364660579,0.02732259364660579,0.2631373362084519,0.5283892633089342,0.20847340048261462,bulk_or_mixed_state
0.8,10,10,381,-0.027322593646605713,0.027322593646605713,0.2631373362084459,0.5283892633089355,0.20847340048261864,bulk_or_mixed_state
0.8,10,10,382,-0.024937069712952644,0.024937069712952644,0.2873107419351803,0.5194862233470011,0.19320303471781825,bulk_or_mixed_state
0.8,10,10,383,-0.024937069712952578,0.024937069712952578,0.28731074193518374,0.519486223347,0.19320303471781677,bulk_or_mixed_state
0.8,10,10,384,-0.020206531760382878,0.020206531760382878,0.24939715341945412,0.5355539000291261,0.21504894655141857,bulk_or_mixed_state
0.8,10,10,385,-0.02020653176038263,0.02020653176038263,0.24939715341943813,0.5355539000291342,0.21504894655142795,bulk_or_mixed_state
0.8,10,10,386,-0.019022115355038487,0.019022115355038487,0.2702961310944142,0.5336650426155243,0.19603882629006156,bulk_or_mixed_state
0.8,10,10,387,-0.019022115355038484,0.019022115355038484,0.27029613109440415,0.5336650426155284,0.19603882629006705,bulk_or_mixed_state
0.8,10,10,388,-0.013918912830621933,0.013918912830621933,0.19858630207428185,0.5643137996006142,0.23709989832510386,bulk_or_mixed_state
0.8,10,10,389,-0.013918912830621827,0.013918912830621827,0.19858630207428662,0.5643137996006127,0.23709989832510125,bulk_or_mixed_state
0.8,10,10,390,-0.01327501609920864,0.01327501609920864,0.3014294188651728,0.5165671198264417,0.1820034613083849,bulk_or_mixed_state
0.8,10,10,391,-0.013275016099208368,0.013275016099208368,0.30142941886516195,0.5165671198264468,0.18200346130839182,bulk_or_mixed_state
0.8,10,10,392,-0.00901437222496001,0.00901437222496001,0.23603381026669118,0.5710103255909555,0.19295586414235286,bulk_or_mixed_state
0.8,10,10,393,-0.009014372224959976,0.009014372224959976,0.2360338102666913,0.571010325590962,0.19295586414234803,bulk_or_mixed_state
0.8,10,10,394,-0.007278832973708307,0.007278832973708307,0.20553782138393503,0.558829529407922,0.2356326492081427,bulk_or_mixed_state
0.8,10,10,395,-0.007278832973708203,0.007278832973708203,0.20553782138393478,0.5588295294079209,0.23563264920814547,bulk_or_mixed_state
0.8,10,10,396,-0.0052995587348463645,0.0052995587348463645,0.07557748382927805,0.6485518772060191,0.2758706389647031,edge_state
0.8,10,10,397,-0.005299558734846277,0.005299558734846277,0.07557748382928287,0.6485518772060165,0.2758706389647002,edge_state
0.8,10,10,398,-0.0024142882582471425,0.0024142882582471425,0.26512852828971833,0.5188366110568539,0.21603486065342756,bulk_or_mixed_state
0.8,10,10,399,-0.0024142882582467947,0.0024142882582467947,0.26512852828972266,0.5188366110568481,0.21603486065342883,bulk_or_mixed_state
0.8,10,10,400,0.02421884145433751,0.02421884145433751,0.28244535082600164,0.4358313077480683,0.2817233414259298,bulk_or_mixed_state
0.8,10,10,401,0.02421884145433783,0.02421884145433783,0.2824453508260041,0.4358313077480688,0.2817233414259277,bulk_or_mixed_state
0.9,10,10,394,-0.030491613345847646,0.030491613345847646,0.1161282287880183,0.5059908551013603,0.3778809161106201,bulk_or_mixed_state
0.9,10,10,395,-0.030491613345847483,0.030491613345847483,0.11612822878801915,0.5059908551013605,0.3778809161106209,bulk_or_mixed_state
0.9,10,10,396,-0.021003309388789807,0.021003309388789807,0.1601995169999815,0.5974733926380278,0.24232709036198913,bulk_or_mixed_state
0.9,10,10,397,-0.02100330938878901,0.02100330938878901,0.16019951699998405,0.5974733926380298,0.2423270903619865,bulk_or_mixed_state
0.9,10,10,398,0.01988674434469031,0.01988674434469031,0.3901508648950535,0.5176590394198713,0.09219009568507465,bulk_or_mixed_state
0.9,10,10,399,0.019886744344690892,0.019886744344690892,0.39015086489505485,0.5176590394198716,0.09219009568507484,bulk_or_mixed_state
0.95,10,10,398,0.029061284557851272,0.029061284557851272,0.3401327118695746,0.5355655221737834,0.12430176595664112,bulk_or_mixed_state
0.95,10,10,399,0.029061284557851386,0.029061284557851386,0.34013271186957506,0.5355655221737841,0.1243017659566402,bulk_or_mixed_state
0.95,10,10,397,-0.03596984369308134,0.03596984369308134,0.14449431703420496,0.5897173925478747,0.2657882904179192,bulk_or_mixed_state
0.95,10,10,396,-0.03596984369308238,0.03596984369308238,0.1444943170342054,0.5897173925478758,0.2657882904179192,bulk_or_mixed_state
0.95,10,10,395,-0.0498332531692388,0.0498332531692388,0.1566452073440617,0.44376897835675977,0.39958581429917883,bulk_or_mixed_state
0.95,10,10,394,-0.04983325316923881,0.04983325316923881,0.1566452073440647,0.44376897835676005,0.3995858142991759,bulk_or_mixed_state
0.95,10,10,393,-0.06444361988981882,0.06444361988981882,0.17989000680359724,0.5007698319994229,0.31934016119698116,bulk_or_mixed_state
0.95,10,10,392,-0.06444361988981903,0.06444361988981903,0.1798900068036037,0.5007698319994233,0.31934016119697217,bulk_or_mixed_state
