point_label,direction,scan_value,center_0,center_1,center_2,center_3
B,kx,0.0,3.7327343136620367e-16,0.4999999999999998,0.5000000000000006,0.9999999999999996
B,kx,0.024390243902439025,6.489685273998893e-05,0.4635037465668934,0.5364962534331063,0.9999351031472598
B,kx,0.04878048780487805,0.000133540211724586,0.42906786146204623,0.5709321385379538,0.9998664597882757
B,kx,0.07317073170731708,0.00020970764041044093,0.3980314840237033,0.6019685159762965,0.9997902923595893
B,kx,0.0975609756097561,0.0002973504887124078,0.3708243416066323,0.6291756583933681,0.9997026495112877
B,kx,0.12195121951219512,0.00040085208192075137,0.34723153819300684,0.6527684618069933,0.9995991479180794
B,kx,0.14634146341463417,0.0005253397708855736,0.3267433446896152,0.6732566553103849,0.9994746602291145
B,kx,0.17073170731707318,0.0006770002904167603,0.3087897320632301,0.6912102679367699,0.999322999709583
B,kx,0.1951219512195122,0.0008633659250909489,0.2928499397332463,0.707150060266754,0.999136634074909
B,kx,0.21951219512195122,0.0010935243529398722,0.27848684789309147,0.7215131521069089,0.9989064756470603
B,kx,0.24390243902439024,0.0013781574946981556,0.2653473916585378,0.7346526083414621,0.9986218425053021
B,kx,0.2682926829268293,0.001729248867267001,0.2531513272127709,0.7468486727872292,0.9982707511327332
B,kx,0.29268292682926833,0.0021592653252599427,0.2416780464933068,0.7583219535066933,0.9978407346747402
B,kx,0.3170731707317073,0.00267980057942536,0.2307547586550829,0.7692452413449173,0.9973201994205745
B,kx,0.34146341463414637,0.0033006515585630673,0.22024643937471575,0.7797535606252841,0.9966993484414368
B,kx,0.36585365853658536,0.0040338545256519325,0.21004636336121776,0.789953636638782,0.995966145474348
B,kx,0.3902439024390244,0.004918753498985947,0.20006316479993683,0.7999368352000632,0.9950812465010143
B,kx,0.41463414634146345,0.006122057316766833,0.19018420040452838,0.8098157995954718,0.9938779426832333
B,kx,0.43902439024390244,0.008306605205269667,0.18007875519383834,0.8199212448061617,0.9916933947947305
B,kx,0.4634146341463415,0.01413960389612676,0.167683441691144,0.8323165583088558,0.9858603961038732
B,kx,0.4878048780487805,0.03801416499079497,0.13301531138187891,0.8669846886181211,0.961985835009205
B,kx,0.5121951219512195,0.038014164990794956,0.13301531138187841,0.8669846886181212,0.9619858350092046
B,kx,0.5365853658536586,0.014139603896126703,0.167683441691144,0.832316558308856,0.9858603961038735
B,kx,0.5609756097560976,0.008306605205269579,0.18007875519383842,0.8199212448061616,0.9916933947947304
B,kx,0.5853658536585367,0.0061220573167666045,0.1901842004045283,0.8098157995954719,0.9938779426832335
B,kx,0.6097560975609756,0.0049187534989856676,0.20006316479993688,0.7999368352000632,0.9950812465010144
B,kx,0.6341463414634146,0.004033854525651976,0.21004636336121768,0.7899536366387823,0.9959661454743479
B,kx,0.6585365853658537,0.003300651558563236,0.2202464393747157,0.7797535606252842,0.9966993484414368
B,kx,0.6829268292682927,0.0026798005794251316,0.2307547586550829,0.7692452413449173,0.9973201994205745
B,kx,0.7073170731707318,0.00215926532525972,0.24167804649330626,0.7583219535066932,0.9978407346747401
B,kx,0.7317073170731707,0.001729248867266976,0.25315132721277067,0.7468486727872294,0.9982707511327331
B,kx,0.7560975609756098,0.0013781574946979177,0.26534739165853777,0.7346526083414624,0.9986218425053021
B,kx,0.7804878048780488,0.0010935243529395953,0.2784868478930915,0.7215131521069087,0.9989064756470605
B,kx,0.8048780487804879,0.0008633659250907662,0.2928499397332461,0.7071500602667538,0.999136634074909
B,kx,0.8292682926829269,0.0006770002904170968,0.3087897320632303,0.6912102679367699,0.999322999709583
B,kx,0.8536585365853658,0.000525339770885536,0.32674334468961497,0.6732566553103848,0.9994746602291146
B,kx,0.8780487804878049,0.0004008520819208037,0.34723153819300706,0.6527684618069931,0.9995991479180794
B,kx,0.9024390243902439,0.0002973504887122884,0.3708243416066319,0.6291756583933675,0.9997026495112875
B,kx,0.926829268292683,0.00020970764041051794,0.3980314840237035,0.6019685159762966,0.9997902923595895
B,kx,0.951219512195122,0.0001335402117242761,0.42906786146204623,0.5709321385379537,0.9998664597882755
B,kx,0.975609756097561,6.489685274024164e-05,0.463503746566893,0.5364962534331068,0.9999351031472595
B,ky,0.0,0.5000000000000002,0.5000000000000002,0.9999999999999999,0.9999999999999999
B,ky,0.024390243902439025,6.489685274022481e-05,0.4635037465668928,0.5364962534331066,0.9999351031472598
B,ky,0.04878048780487805,0.00013354021172431462,0.4290678614620463,0.5709321385379537,0.9998664597882756
B,ky,0.07317073170731708,0.0002097076404105363,0.3980314840237038,0.6019685159762969,0.9997902923595893
B,ky,0.0975609756097561,0.0002973504887123829,0.37082434160663247,0.6291756583933679,0.9997026495112878
B,ky,0.12195121951219512,0.0004008520819205882,0.34723153819300673,0.6527684618069931,0.9995991479180792
B,ky,0.14634146341463417,0.0005253397708858,0.3267433446896159,0.6732566553103849,0.9994746602291144
B,ky,0.17073170731707318,0.0006770002904171864,0.30878973206322974,0.6912102679367698,0.9993229997095826
B,ky,0.1951219512195122,0.0008633659250910148,0.2928499397332462,0.7071500602667538,0.9991366340749092
B,ky,0.21951219512195122,0.001093524352939456,0.2784868478930916,0.7215131521069085,0.9989064756470606
B,ky,0.24390243902439024,0.001378157494697983,0.26534739165853777,0.734652608341462,0.9986218425053023
B,ky,0.2682926829268293,0.0017292488672669504,0.2531513272127709,0.7468486727872292,0.9982707511327331
B,ky,0.29268292682926833,0.002159265325259623,0.2416780464933066,0.7583219535066932,0.9978407346747403
B,ky,0.3170731707317073,0.0026798005794255284,0.230754758655083,0.7692452413449171,0.9973201994205746
B,ky,0.34146341463414637,0.0033006515585632247,0.22024643937471577,0.7797535606252842,0.9966993484414371
B,ky,0.36585365853658536,0.004033854525651772,0.21004636336121763,0.7899536366387823,0.995966145474348
B,ky,0.3902439024390244,0.004918753498985853,0.20006316479993677,0.7999368352000631,0.9950812465010141
B,ky,0.41463414634146345,0.006122057316766752,0.1901842004045283,0.8098157995954718,0.993877942683233
B,ky,0.43902439024390244,0.008306605205269789,0.18007875519383856,0.8199212448061615,0.9916933947947302
B,ky,0.4634146341463415,0.014139603896126776,0.1676834416911441,0.832316558308856,0.985860396103873
B,ky,0.4878048780487805,0.03801416499079495,0.13301531138187894,0.8669846886181212,0.9619858350092049
B,ky,0.5121951219512195,0.03801416499079519,0.13301531138187872,0.8669846886181214,0.9619858350092048
B,ky,0.5365853658536586,0.014139603896126939,0.16768344169114419,0.832316558308856,0.9858603961038731
B,ky,0.5609756097560976,0.008306605205269556,0.18007875519383837,0.8199212448061616,0.9916933947947304
B,ky,0.5853658536585367,0.006122057316766623,0.1901842004045283,0.8098157995954718,0.993877942683233
B,ky,0.6097560975609756,0.004918753498985718,0.20006316479993677,0.7999368352000633,0.9950812465010141
B,ky,0.6341463414634146,0.004033854525651854,0.21004636336121774,0.7899536366387824,0.9959661454743483
B,ky,0.6585365853658537,0.003300651558563331,0.22024643937471558,0.7797535606252843,0.996699348441437
