point_label,direction,scan_value,center_0,center_1,center_2,center_3
C,kx,0.0,9.49748967381468e-17,6.537806845230566e-16,0.9999999999999994,0.9999999999999998
C,kx,0.024390243902439025,4.295421920909256e-07,4.295421929854563e-07,0.9999995704578072,0.9999995704578081
C,kx,0.04878048780487805,8.52346920094614e-07,8.523469217125006e-07,0.9999991476530778,0.99999914765308
C,kx,0.07317073170731708,1.261601485320359e-06,1.2616014876174274e-06,0.9999987383985122,0.9999987383985146
C,kx,0.0975609756097561,1.6503537745998333e-06,1.6503537759932586e-06,0.9999983496462241,0.9999983496462251
C,kx,0.12195121951219512,2.0114706064110617e-06,2.011470606999131e-06,0.9999979885293929,0.9999979885293937
C,kx,0.14634146341463417,2.337630785970476e-06,2.337630787326432e-06,0.9999976623692122,0.9999976623692144
C,kx,0.17073170731707318,2.6213657252360673e-06,2.621365725537012e-06,0.9999973786342743,0.9999973786342751
C,kx,0.1951219512195122,2.855160687000072e-06,2.855160688961418e-06,0.9999971448393113,0.9999971448393126
C,kx,0.21951219512195122,3.031628832184485e-06,3.031628832699661e-06,0.999996968371167,0.9999969683711679
C,kx,0.24390243902439024,3.1437673195701176e-06,3.1437673204226765e-06,0.9999968562326794,0.9999968562326804
C,kx,0.2682926829268293,3.185299129221449e-06,3.185299129548344e-06,0.9999968147008705,0.9999968147008707
C,kx,0.29268292682926833,3.1510949907998236e-06,3.151094992345925e-06,0.9999968489050077,0.9999968489050091
C,kx,0.3170731707317073,3.0376568858230208e-06,3.037656887134994e-06,0.9999969623431126,0.9999969623431139
C,kx,0.34146341463414637,2.843628451624832e-06,2.8436284531753527e-06,0.999997156371547,0.9999971563715483
C,kx,0.36585365853658536,2.570280520991267e-06,2.5702805226367537e-06,0.9999974297194775,0.9999974297194788
C,kx,0.3902439024390244,2.2219054060458387e-06,2.221905407008842e-06,0.9999977780945929,0.9999977780945937
C,kx,0.41463414634146345,1.806046347827121e-06,1.806046348376261e-06,0.9999981939536517,0.9999981939536526
C,kx,0.43902439024390244,1.3334937120609492e-06,1.3334937130195315e-06,0.9999986665062873,0.9999986665062878
C,kx,0.4634146341463415,8.180003487333244e-07,8.180003498165276e-07,0.9999991819996499,0.9999991819996517
C,kx,0.4878048780487805,2.7570460221197966e-07,2.757046039789547e-07,0.9999997242953962,0.9999997242953977
C,kx,0.5121951219512195,2.7570460256537525e-07,2.757046032942514e-07,0.999999724295397,0.999999724295397
C,kx,0.5365853658536586,8.18000348461653e-07,8.180003498795686e-07,0.9999991819996498,0.9999991819996514
C,kx,0.5609756097560976,1.3334937118886686e-06,1.3334937128936357e-06,0.9999986665062872,0.9999986665062878
C,kx,0.5853658536585367,1.8060463468994547e-06,1.8060463492053573e-06,0.9999981939536509,0.9999981939536531
C,kx,0.6097560975609756,2.2219054057211603e-06,2.221905407564329e-06,0.9999977780945922,0.9999977780945946
C,kx,0.6341463414634146,2.5702805209934704e-06,2.570280522592584e-06,0.9999974297194777,0.9999974297194789
C,kx,0.6585365853658537,2.843628451479052e-06,2.8436284536700996e-06,0.9999971563715468,0.9999971563715486
C,kx,0.6829268292682927,3.0376568862780176e-06,3.0376568871880165e-06,0.9999969623431131,0.9999969623431134
