point_label,direction,scan_value,center_0,center_1,center_2,center_3
D,kx,0.0,4.307001131148528e-17,6.695178040407161e-17,0.9999999999999999,1.0
D,kx,0.024390243902439025,1.9906465898776773e-07,1.0736158926018756e-06,0.9999989263841075,0.999999800935341
D,kx,0.04878048780487805,3.951146547138039e-07,2.1304137685048955e-06,0.9999978695862314,0.9999996048853456
D,kx,0.07317073170731708,5.850910193956783e-07,3.153397338206237e-06,0.9999968466026622,0.9999994149089807
D,kx,0.0975609756097561,7.658516757570999e-07,4.1252388480933e-06,0.9999958747611519,0.9999992341483244
D,kx,0.12195121951219512,9.34143855400805e-07,5.028177377074003e-06,0.9999949718226232,0.9999990658561446
D,kx,0.14634146341463417,1.0865938565107732e-06,5.843997300141759e-06,0.9999941560026999,0.9999989134061433
D,kx,0.17073170731707318,1.219720648913726e-06,6.554118222215563e-06,0.9999934458817777,0.9999987802793515
D,kx,0.1951219512195122,1.3299799946734969e-06,7.139829434662981e-06,0.9999928601705652,0.9999986700200053
D,kx,0.21951219512195122,1.413845384460814e-06,7.58270123811749e-06,0.999992417298762,0.9999985861546156
D,kx,0.24390243902439024,1.4679306926817225e-06,7.865200114483468e-06,0.9999921347998858,0.9999985320693074
D,kx,0.2682926829268293,1.4891567063759473e-06,7.971522230346903e-06,0.9999920284777698,0.9999985108432935
D,kx,0.29268292682926833,1.474959088511383e-06,7.88863782958082e-06,0.9999921113621703,0.9999985250409112
D,kx,0.3170731707317073,1.423528819846499e-06,7.60750645768329e-06,0.9999923924935421,0.9999985764711801
D,kx,0.34146341463414637,1.334068055261043e-06,7.12438075713605e-06,0.9999928756192427,0.9999986659319453
D,kx,0.36585365853658536,1.2070356110512626e-06,6.442069617465382e-06,0.9999935579303827,0.9999987929643891
D,kx,0.3902439024390244,1.0443488243193892e-06,5.570989140283933e-06,0.9999944290108594,0.9999989556511756
D,kx,0.41463414634146345,8.495047035433741e-07,4.529805608746371e-06,0.9999954701943915,0.9999991504952963
D,kx,0.43902439024390244,6.275857127300617e-07,3.345483018795458e-06,0.9999966545169809,0.9999993724142873
D,kx,0.4634146341463415,3.851258593975774e-07,2.052599338380743e-06,0.9999979474006617,0.9999996148741406
D,kx,0.4878048780487805,1.2983084455073384e-07,6.918908915839525e-07,0.9999993081091084,0.9999998701691556
D,kx,0.5121951219512195,1.2983084437296426e-07,6.918908915291926e-07,0.9999993081091085,0.9999998701691555
D,kx,0.5365853658536586,3.851258593856521e-07,2.052599338219351e-06,0.9999979474006617,0.9999996148741407
D,kx,0.5609756097560976,6.275857127571551e-07,3.345483018712041e-06,0.9999966545169812,0.9999993724142874
D,kx,0.5853658536585367,8.495047036196159e-07,4.529805608510659e-06,0.9999954701943914,0.9999991504952961
D,kx,0.6097560975609756,1.0443488244189041e-06,5.570989140260733e-06,0.9999944290108597,0.9999989556511757
D,kx,0.6341463414634146,1.2070356106594216e-06,6.44206961719139e-06,0.9999935579303827,0.9999987929643895
D,kx,0.6585365853658537,1.3340680550251288e-06,7.124380757259743e-06,0.9999928756192429,0.9999986659319451
D,kx,0.6829268292682927,1.4235288201003164e-06,7.607506457675586e-06,0.9999923924935422,0.9999985764711801
D,kx,0.7073170731707318,1.4749590887783016e-06,7.888637829580822e-06,0.9999921113621703,0.9999985250409114
D,kx,0.7317073170731707,1.489156706358054e-06,7.971522230544699e-06,0.9999920284777698,0.9999985108432934
D,kx,0.7560975609756098,1.4679306924980557e-06,7.86520011476759e-06,0.9999921347998857,0.9999985320693076
D,kx,0.7804878048780488,1.4138453846292807e-06,7.582701238029148e-06,0.9999924172987619,0.9999985861546155
D,kx,0.8048780487804879,1.329979994479638e-06,7.139829434479893e-06,0.9999928601705655,0.9999986700200055
D,kx,0.8292682926829269,1.2197206484805448e-06,6.554118221974975e-06,0.9999934458817777,0.9999987802793515
D,kx,0.8536585365853658,1.0865938565296906e-06,5.843997299967496e-06,0.9999941560026999,0.9999989134061434
D,kx,0.8780487804878049,9.341438553556602e-07,5.028177376972119e-06,0.9999949718226232,0.9999990658561446
D,kx,0.9024390243902439,7.658516756888903e-07,4.125238847980455e-06,0.999995874761152,0.9999992341483244
D,kx,0.926829268292683,5.850910194612544e-07,3.1533973380207036e-06,0.999996846602662,0.9999994149089807
D,kx,0.951219512195122,3.951146544228012e-07,2.130413768830716e-06,0.9999978695862315,0.9999996048853451
D,kx,0.975609756097561,1.9906465896147834e-07,1.0736158924169433e-06,0.9999989263841077,0.999999800935341
D,ky,0.0,4.5554819656378596e-17,5.853104101304393e-17,1.7130510308283976e-16,0.9999999999999998
D,ky,0.024390243902439025,1.9906465883602239e-07,1.0736158923807487e-06,0.9999989263841074,0.9999998009353412
D,ky,0.04878048780487805,3.9511465453125704e-07,2.1304137686691636e-06,0.9999978695862314,0.9999996048853456
D,ky,0.07317073170731708,5.850910194085274e-07,3.1533973380675187e-06,0.999996846602662,0.9999994149089807
D,ky,0.0975609756097561,7.658516757416745e-07,4.125238848049e-06,0.9999958747611519,0.9999992341483246
D,ky,0.12195121951219512,9.341438552345444e-07,5.028177376879642e-06,0.9999949718226231,0.9999990658561445
D,ky,0.14634146341463417,1.0865938565037411e-06,5.843997300141077e-06,0.9999941560027,0.9999989134061434
D,ky,0.17073170731707318,1.2197206483372308e-06,6.5541182222994896e-06,0.9999934458817779,0.9999987802793516
D,ky,0.1951219512195122,1.329979994588772e-06,7.139829434686414e-06,0.9999928601705655,0.9999986700200055
D,ky,0.21951219512195122,1.413845384271559e-06,7.582701238106951e-06,0.9999924172987619,0.9999985861546157
D,ky,0.24390243902439024,1.467930692372236e-06,7.86520011448488e-06,0.9999921347998855,0.9999985320693076
D,ky,0.2682926829268293,1.489156706522204e-06,7.971522230509349e-06,0.9999920284777696,0.9999985108432935
D,ky,0.29268292682926833,1.4749590888998466e-06,7.888637829545483e-06,0.9999921113621704,0.9999985250409112
D,ky,0.3170731707317073,1.423528819975107e-06,7.607506457701005e-06,0.9999923924935422,0.99999857647118
