center_rank,center_point_id,center_v,center_t,center_lm,grid_points,gap_min,gap_max,obc_min_abs_min,obc_min_abs_max,corridor_dir
1,v_0p90_t_0p50_lm_0p20,0.9,0.5,0.2,121,-9.020562075079397e-16,1.0526952286842934,0.00021504902179721898,0.018827574358907775,outputs/transition_corridors/rank_01_v_0p90_t_0p50_lm_0p20
2,v_1p10_t_0p50_lm_0p20,1.1,0.5,0.2,121,-9.020562075079397e-16,1.046753925605393,2.9777867262948583e-05,0.016809652069974763,outputs/transition_corridors/rank_02_v_1p10_t_0p50_lm_0p20
