v,Lx,Ly,state_index,energy,abs_energy,W_corner,W_edge,W_bulk,max_position_x,max_position_y,classification,in_gap_window,bulk_gap_used,window_status
0.3,10,10,366,-0.19474987854142184,0.19474987854142184,0.0074465258359887095,0.20796593724547546,0.7845875369185359,4,4,bulk_or_mixed_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,367,-0.19474987854142173,0.19474987854142173,0.007446525835988732,0.20796593724547507,0.7845875369185356,4,4,bulk_or_mixed_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,368,-0.14330166325754398,0.14330166325754398,0.09381285787937682,0.9044745763868782,0.0017125657337456433,9,4,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,369,-0.14330166325754398,0.14330166325754398,0.09381285787937996,0.9044745763868747,0.0017125657337456594,4,0,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,370,-0.14300349190650116,0.14300349190650116,0.09196641345482844,0.9064854773386519,0.0015481092065201447,0,5,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,371,-0.14300349190650083,0.14300349190650083,0.09196641345482579,0.9064854773386549,0.001548109206520195,5,9,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,372,-0.14245348651282067,0.14245348651282067,0.06366692592161016,0.9345063798312075,0.0018266942471806963,0,5,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,373,-0.14245348651282055,0.14245348651282055,0.06366692592161102,0.9345063798312087,0.0018266942471807188,0,5,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,374,-0.14209561499409926,0.14209561499409926,0.059350737689557675,0.9390341979657482,0.0016150643446950267,4,9,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,375,-0.14209561499409884,0.14209561499409884,0.05935073768955623,0.9390341979657489,0.0016150643446950577,9,4,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,376,-0.1291531314348619,0.1291531314348619,0.2889347231031838,0.7094022443125098,0.0016630325843071951,0,7,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,377,-0.12915313143486176,0.12915313143486176,0.28893472310318546,0.7094022443125084,0.00166303258430716,9,2,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,378,-0.12888071159368772,0.12888071159368772,0.27629228576957054,0.7212419555140627,0.0024657587163677214,9,7,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,379,-0.1288807115936877,0.1288807115936877,0.27629228576957243,0.7212419555140621,0.002465758716367714,2,9,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,380,-0.12593712998208476,0.12593712998208476,0.2213085629098524,0.7771497438903812,0.0015416931997661695,9,2,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,381,-0.12593712998208476,0.12593712998208476,0.22130856290984838,0.7771497438903869,0.0015416931997661776,2,0,edge_state,0.23999999999999996,0.5999999999999999,ok
