v,direction,scan_param,center_index,wannier_center
0.1,x,-3.141592653589793,0,0.10791681526131089
0.1,x,-3.141592653589793,1,0.19151459784894062
0.1,x,-3.141592653589793,2,0.8032031712426411
0.1,x,-3.141592653589793,3,0.8973654156471074
0.1,x,-3.0640224646122673,0,0.06423403852448287
0.1,x,-3.0640224646122673,1,0.31428758284196995
0.1,x,-3.0640224646122673,2,0.7053060224152992
0.1,x,-3.0640224646122673,3,0.9161723562182482
0.1,x,-2.9864522756347416,0,0.14424406439985699
0.1,x,-2.9864522756347416,1,0.24983215218507515
0.1,x,-2.9864522756347416,2,0.738621695127684
0.1,x,-2.9864522756347416,3,0.8673020882873836
0.1,x,-2.908882086657216,0,0.30448516179196145
0.1,x,-2.908882086657216,1,0.3622871403360667
0.1,x,-2.908882086657216,2,0.5955522158689396
0.1,x,-2.908882086657216,3,0.737675482003032
0.1,x,-2.83131189767969,0,0.09283759975037509
0.1,x,-2.83131189767969,1,0.34986575212977933
0.1,x,-2.83131189767969,2,0.666051112945363
0.1,x,-2.83131189767969,3,0.8912455351744828
0.1,x,-2.7537417087021643,0,0.1747416954169099
0.1,x,-2.7537417087021643,1,0.33868938646361674
0.1,x,-2.7537417087021643,2,0.6866681732682781
0.1,x,-2.7537417087021643,3,0.7999007448511946
0.1,x,-2.6761715197246385,0,0.2523896142055943
0.1,x,-2.6761715197246385,1,0.36730519944467677
0.1,x,-2.6761715197246385,2,0.6013937665961736
0.1,x,-2.6761715197246385,3,0.7789114197535556
0.1,x,-2.5986013307471127,0,0.08888275725081062
0.1,x,-2.5986013307471127,1,0.28892422523169203
0.1,x,-2.5986013307471127,2,0.7325885051346908
0.1,x,-2.5986013307471127,3,0.8896045123828065
0.1,x,-2.521031141769587,0,0.11458651573114959
0.1,x,-2.521031141769587,1,0.29399580538242054
0.1,x,-2.521031141769587,2,0.7463427773762061
0.1,x,-2.521031141769587,3,0.8450749015102238
0.1,x,-2.443460952792061,0,0.10910962889117941
0.1,x,-2.443460952792061,1,0.21189484746304252
0.1,x,-2.443460952792061,2,0.7946957602703406
0.1,x,-2.443460952792061,3,0.8842997633754375
0.1,x,-2.3658907638145354,0,0.055058890015168796
0.1,x,-2.3658907638145354,1,0.23804439445591585
0.1,x,-2.3658907638145354,2,0.7634003869915725
0.1,x,-2.3658907638145354,3,0.9434963285373423
0.1,x,-2.2883205748370097,0,0.2718561945381316
0.1,x,-2.2883205748370097,1,0.4162229558278624
0.1,x,-2.2883205748370097,2,0.585380077704708
0.1,x,-2.2883205748370097,3,0.7265407719292981
0.1,x,-2.210750385859484,0,0.275982983345227
0.1,x,-2.210750385859484,1,0.31333286443195996
0.1,x,-2.210750385859484,2,0.6864813973033089
0.1,x,-2.210750385859484,3,0.7242027549195036
0.1,x,-2.133180196881958,0,0.13279272432130756
0.1,x,-2.133180196881958,1,0.43908995631431263
0.1,x,-2.133180196881958,2,0.5595008525559861
0.1,x,-2.133180196881958,3,0.8686164668083931
0.1,x,-2.0556100079044324,0,0.2355434941047516
0.1,x,-2.0556100079044324,1,0.31504886941791943
0.1,x,-2.0556100079044324,2,0.6767407885807755
0.1,x,-2.0556100079044324,3,0.7726668478965537
0.1,x,-1.9780398189269068,0,0.11625057864377675
0.1,x,-1.9780398189269068,1,0.28609065235486986
0.1,x,-1.9780398189269068,2,0.7167588906390006
0.1,x,-1.9780398189269068,3,0.8808998783623528
0.1,x,-1.900469629949381,0,0.10047052421876361
0.1,x,-1.900469629949381,1,0.19050545449172607
0.1,x,-1.900469629949381,2,0.8422491784615684
0.1,x,-1.900469629949381,3,0.866774842827942
0.1,x,-1.8228994409718553,0,0.217628202401528
0.1,x,-1.8228994409718553,1,0.33419932280499076
0.1,x,-1.8228994409718553,2,0.6693236685488968
0.1,x,-1.8228994409718553,3,0.7788488062445842
0.1,x,-1.7453292519943295,0,0.13137757596629857
0.1,x,-1.7453292519943295,1,0.31664282876180294
0.1,x,-1.7453292519943295,2,0.6707082993789188
0.1,x,-1.7453292519943295,3,0.8812712958929796
0.1,x,-1.6677590630168038,0,0.22701249034928309
0.1,x,-1.6677590630168038,1,0.3208134960220215
0.1,x,-1.6677590630168038,2,0.7053026404664944
0.1,x,-1.6677590630168038,3,0.7468713731622014
0.1,x,-1.590188874039278,0,0.19423490742131616
0.1,x,-1.590188874039278,1,0.4084902413185963
0.1,x,-1.590188874039278,2,0.5987358923802435
0.1,x,-1.590188874039278,3,0.7985389588798443
0.1,x,-1.5126186850617522,0,0.21239126012755052
0.1,x,-1.5126186850617522,1,0.4109289995106758
0.1,x,-1.5126186850617522,2,0.5961833442505493
0.1,x,-1.5126186850617522,3,0.7804963961112241
0.1,x,-1.4350484960842265,0,0.16975476347709625
0.1,x,-1.4350484960842265,1,0.2600903706581155
0.1,x,-1.4350484960842265,2,0.7487383650815387
0.1,x,-1.4350484960842265,3,0.8214165007832492
0.1,x,-1.3574783071067007,0,0.14417900204100761
0.1,x,-1.3574783071067007,1,0.35860119847343697
0.1,x,-1.3574783071067007,2,0.6397318265865479
0.1,x,-1.3574783071067007,3,0.8574879728990077
0.1,x,-1.2799081181291752,0,0.29085872507096805
0.1,x,-1.2799081181291752,1,0.4275533586647591
0.1,x,-1.2799081181291752,2,0.5751055793710029
0.1,x,-1.2799081181291752,3,0.7064823368932703
0.1,x,-1.2023379291516494,0,0.21655286227010823
0.1,x,-1.2023379291516494,1,0.3383406057396675
0.1,x,-1.2023379291516494,2,0.6613927499728185
0.1,x,-1.2023379291516494,3,0.7837137820174068
0.1,x,-1.1247677401741236,0,0.218185979921076
0.1,x,-1.1247677401741236,1,0.3058902328036395
0.1,x,-1.1247677401741236,2,0.6925518638283914
0.1,x,-1.1247677401741236,3,0.7833719234468934
0.1,x,-1.0471975511965979,0,0.1156611815993192
0.1,x,-1.0471975511965979,1,0.3769498141645822
0.1,x,-1.0471975511965979,2,0.6291566672537523
0.1,x,-1.0471975511965979,3,0.8782323369823468
0.1,x,-0.9696273622190721,0,0.15180786068387156
0.1,x,-0.9696273622190721,1,0.34735696713536485
0.1,x,-0.9696273622190721,2,0.6474530337323618
0.1,x,-0.9696273622190721,3,0.8533821384484024
0.1,x,-0.8920571732415463,0,0.08903717340275026
0.1,x,-0.8920571732415463,1,0.27547953796959146
