termination,v,Lx,Ly,state_index,energy,abs_energy,W_corner,W_edge,W_bulk,max_position_x,max_position_y,classification,in_gap_window,bulk_gap_used,window_status
A,0.5,10,10,396,-0.07608066721529842,0.07608066721529842,0.3929426272264761,0.5898113856438969,0.01724598712962728,9,8,bulk_or_mixed_state,0.07999999999999981,0.1999999999999995,ok
A,0.5,10,10,397,-0.0760806672152983,0.0760806672152983,0.3929426272264748,0.589811385643898,0.017245987129627566,0,8,bulk_or_mixed_state,0.07999999999999981,0.1999999999999995,ok
A,0.5,10,10,398,-0.0743761135153384,0.0743761135153384,0.3885063389467554,0.5600010774663775,0.05149258358686752,0,8,bulk_or_mixed_state,0.07999999999999981,0.1999999999999995,ok
A,0.5,10,10,399,-0.07437611351533804,0.07437611351533804,0.38850633894675407,0.5600010774663786,0.051492583586867834,9,1,bulk_or_mixed_state,0.07999999999999981,0.1999999999999995,ok
A,0.5,10,10,400,-0.05260152309881487,0.05260152309881487,0.35129922465118435,0.589890081179133,0.05881069416968268,8,9,bulk_or_mixed_state,0.07999999999999981,0.1999999999999995,ok
A,0.5,10,10,401,-0.05260152309881476,0.05260152309881476,0.35129922465118263,0.589890081179135,0.058810694169682716,0,8,bulk_or_mixed_state,0.07999999999999981,0.1999999999999995,ok
A,0.5,10,10,402,-0.05010998921779151,0.05010998921779151,0.36679501009623466,0.6154250997623171,0.017779890141448172,9,9,edge_state,0.07999999999999981,0.1999999999999995,ok
A,0.5,10,10,403,-0.0501099892177915,0.0501099892177915,0.36679501009623694,0.6154250997623152,0.01777989014144822,9,0,edge_state,0.07999999999999981,0.1999999999999995,ok
A,0.5,10,10,404,-0.04069667134394088,0.04069667134394088,0.37042394877139934,0.6112686036305164,0.018307447598084316,0,0,edge_state,0.07999999999999981,0.1999999999999995,ok
A,0.5,10,10,405,-0.040696671343940824,0.040696671343940824,0.3704239487713975,0.6112686036305177,0.018307447598084364,9,0,edge_state,0.07999999999999981,0.1999999999999995,ok
A,0.5,10,10,406,-0.03889492712934513,0.03889492712934513,0.34528046645412097,0.6053415315417019,0.04937800200417633,0,1,edge_state,0.07999999999999981,0.1999999999999995,ok
A,0.5,10,10,407,-0.038894927129344836,0.038894927129344836,0.34528046645411986,0.6053415315417036,0.049378002004176434,9,8,edge_state,0.07999999999999981,0.1999999999999995,ok
A,0.5,10,10,408,-0.014058189895961146,0.014058189895961146,0.24077252333729637,0.7113982725099822,0.047829204152721114,9,7,edge_state,0.07999999999999981,0.1999999999999995,ok
A,0.5,10,10,409,-0.014058189895960551,0.014058189895960551,0.24077252333729302,0.7113982725099852,0.04782920415272126,7,0,edge_state,0.07999999999999981,0.1999999999999995,ok
A,0.5,10,10,410,-0.006589351488483965,0.006589351488483965,0.3109483526949583,0.664483501389401,0.02456814591564095,0,0,edge_state,0.07999999999999981,0.1999999999999995,ok
A,0.5,10,10,411,-0.006589351488483416,0.006589351488483416,0.31094835269495713,0.664483501389402,0.024568145915640806,0,9,edge_state,0.07999999999999981,0.1999999999999995,ok
A,0.5,10,10,412,0.0076116908880065354,0.0076116908880065354,0.3382423988004388,0.6364130178513584,0.025344583348202738,9,9,edge_state,0.07999999999999981,0.1999999999999995,ok
A,0.5,10,10,413,0.007611690888006863,0.007611690888006863,0.3382423988004372,0.6364130178513612,0.025344583348202773,9,0,edge_state,0.07999999999999981,0.1999999999999995,ok
A,0.5,10,10,414,0.0143113539028606,0.0143113539028606,0.3039884517543846,0.61414558472132,0.08186596352429644,5,0,edge_state,0.07999999999999981,0.1999999999999995,ok
A,0.5,10,10,415,0.014311353902861071,0.014311353902861071,0.3039884517543855,0.61414558472132,0.08186596352429541,5,9,edge_state,0.07999999999999981,0.1999999999999995,ok
A,0.5,10,10,416,0.04467038261622797,0.04467038261622797,0.1636329175771209,0.7408958977477418,0.09547118467513813,0,6,edge_state,0.07999999999999981,0.1999999999999995,ok
A,0.5,10,10,417,0.044670382616228285,0.044670382616228285,0.16363291757712123,0.7408958977477418,0.09547118467513724,0,6,edge_state,0.07999999999999981,0.1999999999999995,ok
A,0.5,10,10,418,0.0533135100473066,0.0533135100473066,0.31254180303343215,0.655413354327567,0.03204484263900065,9,0,edge_state,0.07999999999999981,0.1999999999999995,ok
A,0.5,10,10,419,0.053313510047307014,0.053313510047307014,0.3125418030334327,0.6554133543275665,0.03204484263900057,9,9,edge_state,0.07999999999999981,0.1999999999999995,ok
A,0.5,10,10,420,0.0766870900762539,0.0766870900762539,0.3338544282003808,0.6280541296560131,0.03809144214360603,0,0,edge_state,0.07999999999999981,0.1999999999999995,ok
A,0.5,10,10,421,0.07668709007625414,0.07668709007625414,0.33385442820038175,0.628054129656012,0.03809144214360609,9,9,edge_state,0.07999999999999981,0.1999999999999995,ok
