center_rank,center_point_id,v,t,lm,w,gap,chern,obc_min_abs_energy,obc_count_absE_le_0p02
1.0,v_0p90_t_0p50_lm_0p20,0.7,0.5,0.0,1.3,0.19999999999999973,-1.368547468558013e-16,0.018827574358907775,4.0
1.0,v_0p90_t_0p50_lm_0p20,0.7,0.5,0.04,1.3,0.12000000000000016,-1.459101255785481e-16,0.009613929151201817,4.0
1.0,v_0p90_t_0p50_lm_0p20,0.7,0.5,0.08,1.3,0.040000000000000036,-1.407875222830969e-16,0.0037322779366238783,6.0
1.0,v_0p90_t_0p50_lm_0p20,0.7,0.5,0.12,1.3,0.03999999999999948,-1.807736972859923e-18,0.003005410059340135,6.0
1.0,v_0p90_t_0p50_lm_0p20,0.7,0.5,0.16,1.3,0.11999999999999938,-2.377042230598223e-16,0.006926153862892574,8.0
1.0,v_0p90_t_0p50_lm_0p20,0.7,0.5,0.2,1.3,0.19999999999999973,1.4999442520160518e-16,0.008031465905029145,8.0
1.0,v_0p90_t_0p50_lm_0p20,0.7,0.5,0.24,1.3,0.27999999999999947,3.071557471460333e-17,0.007698831122166804,6.0
1.0,v_0p90_t_0p50_lm_0p20,0.7,0.5,0.28,1.3,0.35999999999999993,8.367028944543758e-17,0.0038755929496501395,6.0
1.0,v_0p90_t_0p50_lm_0p20,0.7,0.5,0.32,1.3,0.44,2.4750978123887908e-17,0.0015974757372222718,4.0
1.0,v_0p90_t_0p50_lm_0p20,0.7,0.5,0.36,1.3,0.5199999999999992,-9.568297494704347e-17,0.009259856495634345,4.0
1.0,v_0p90_t_0p50_lm_0p20,0.7,0.5,0.4,1.3,0.5999999999999981,1.7360775703879122e-16,0.002544076403467637,2.0
1.0,v_0p90_t_0p50_lm_0p20,0.74,0.5,0.0,1.26,0.039999999999999036,2.0604220723450695e-19,0.006826932693063839,12.0
1.0,v_0p90_t_0p50_lm_0p20,0.74,0.5,0.04,1.26,0.039999999999999925,-5.0564961860124175e-17,0.00203909839163621,12.0
1.0,v_0p90_t_0p50_lm_0p20,0.74,0.5,0.08,1.26,0.11999999999999977,-6.354152028326868e-17,0.0018425354934353576,6.0
1.0,v_0p90_t_0p50_lm_0p20,0.74,0.5,0.12,1.26,0.1999999999999998,-8.611396587884914e-17,0.00920309297415354,6.0
1.0,v_0p90_t_0p50_lm_0p20,0.74,0.5,0.16,1.26,0.27999999999999964,-1.0186181885985926e-16,0.0032806303631764174,6.0
1.0,v_0p90_t_0p50_lm_0p20,0.74,0.5,0.2,1.26,0.36,2.157145217110291e-16,0.0008948745214339655,6.0
1.0,v_0p90_t_0p50_lm_0p20,0.74,0.5,0.24,1.26,0.4399999999999995,-4.847446415916707e-17,0.0003714615816935623,8.0
1.0,v_0p90_t_0p50_lm_0p20,0.74,0.5,0.28,1.26,0.5199999999999994,1.1351668768843032e-16,0.0026443134897598947,4.0
1.0,v_0p90_t_0p50_lm_0p20,0.74,0.5,0.32,1.26,0.6000000000000002,1.0381825071818417e-16,0.0065605673384686106,4.0
1.0,v_0p90_t_0p50_lm_0p20,0.74,0.5,0.36,1.26,0.6799999999999998,1.9342017908695966e-16,0.008021761640648608,4.0
1.0,v_0p90_t_0p50_lm_0p20,0.74,0.5,0.4,1.26,0.76,-1.566030385226019e-16,0.0003435011967851317,2.0
1.0,v_0p90_t_0p50_lm_0p20,0.78,0.5,0.0,1.22,-6.661338147750939e-16,-2.1017394571377115e-17,0.0056810341458780585,12.0
1.0,v_0p90_t_0p50_lm_0p20,0.78,0.5,0.04,1.22,0.08262013724623224,3.888122764213788e-17,0.004872783443645522,10.0
1.0,v_0p90_t_0p50_lm_0p20,0.78,0.5,0.08,1.22,0.17044707322176045,-1.3754610046204185e-16,0.004460227014705699,10.0
