kx,nu_y_1,nu_y_2,nu_y_3,nu_y_4
-3.141592653589793,0.6342728821858485,0.6736431630260753,0.7497150774049872,0.9415896081050225
-3.0793828980731637,0.3476190432681049,0.38464108988390466,0.47530748583647686,0.7916590061220392
-3.017173142556534,0.11909173226080053,0.42194411071820426,0.6911287031931825,0.7670795546925084
-2.9549633870399044,0.02624053334208236,0.14020066427499397,0.37585903508919766,0.45697231736444777
-2.892753631523275,0.03659361246522778,0.06264845228155978,0.33154664554131413,0.5685222953422685
-2.8305438760066455,0.15068077804419386,0.46912217999354544,0.5712291969888574,0.8083260498943429
-2.7683341204900156,0.5512183601386673,0.7255640661813612,0.7688545097650972,0.9537757328311132
-2.706124364973386,0.002050478711715538,0.3622056608032373,0.6850146510085972,0.9502019982340871
-2.6439146094567567,0.011705016938739364,0.07397578934205672,0.3040666158938819,0.6097894896351168
-2.581704853940127,0.08896390021753721,0.2612456610666044,0.7593972924567054,0.8899965665615626
-2.5194950984234974,0.16844918622940153,0.46695446594176365,0.6326224863368848,0.7316446589212473
-2.457285342906868,0.18403748452683025,0.43143411802019965,0.5115739949015057,0.872692080413862
-2.395075587390238,0.07996472051689041,0.3154359132332166,0.7084694913174728,0.8959327566100916
-2.3328658318736086,0.007060534483196787,0.27939345914664987,0.3267775790648806,0.38663385971437203
-2.270656076356979,0.07194991095449751,0.11034157090525898,0.2981272391532004,0.5195058401788355
-2.2084463208403498,0.12129794780115316,0.46024518160567707,0.5702741268355938,0.8481624434441876
-2.1462365653237203,0.20841869399304935,0.3618061720466279,0.5689934467211253,0.8608121519843919
-2.0840268098070904,0.25578872579288,0.29592464871239366,0.5036785014302939,0.9446847617418318
-2.021817054290461,0.1299820800764341,0.32706688490257124,0.6036191894590923,0.9394499862044362
-1.9596072987738313,0.2221463911809744,0.25137723917081073,0.5859322485062783,0.9406991333567362
-1.897397543257202,0.04792200163946133,0.13683789553799056,0.37258552618636553,0.4428419603001154
-1.8351877877405722,0.17262322406713568,0.30748926573057056,0.6381481644095569,0.8819548028016235
-1.7729780322239428,0.04102725273516204,0.42609296672454583,0.5423879545748651,0.9907313114498268
-1.7107682767073131,0.07812469847671698,0.4789643952473234,0.5007342481931661,0.9424364148076563
-1.6485585211906835,0.07579493154942524,0.2219071301975788,0.3047097261168775,0.39786479085516857
-1.586348765674054,0.5528664184075263,0.792457670419396,0.8023581229920502,0.8526080565965926
-1.5241390101574244,0.28064061662618944,0.3931301660887832,0.6398593636370322,0.6866709963976736
-1.461929254640795,0.20696875676731974,0.4922892580427273,0.5868747704310189,0.7141767265626706
-1.3997194991241653,0.2780288016246725,0.3629561418214688,0.4356755458390933,0.9236551845067894
