ky,nu_x_1,nu_x_2,nu_x_3,nu_x_4
-3.141592653589793,0.025814851010564806,0.18414771433427074,0.311637081790784,0.47721904523420106
-3.0793828980731637,0.2036899981175719,0.4811986922114964,0.52616626136033,0.7877782250259319
-3.017173142556534,0.6071357201548873,0.6373843699355648,0.8223010051979536,0.9320546827246219
-2.9549633870399044,0.0965076220857416,0.19047086690977702,0.7549119175861556,0.9570536335646276
-2.892753631523275,0.22641160733147267,0.3696669171009686,0.5216467811495638,0.8813088751138901
-2.8305438760066455,0.19267815320219592,0.3537262969627988,0.46853734599611657,0.9841996997074376
-2.7683341204900156,0.15620113179342673,0.5006760869661673,0.5945543640801911,0.7478292388689532
-2.706124364973386,0.13060912753252718,0.2956200081355152,0.5891378262113594,0.9840200185605479
-2.6439146094567567,0.5878107355959157,0.6472256685568314,0.766036241771798,0.9984425094913568
-2.581704853940127,0.5460981893175018,0.6621428228104258,0.8854302820059963,0.9059698671816344
-2.5194950984234974,0.07410186266239874,0.4563181936752674,0.7104551769360024,0.7588863670549681
-2.457285342906868,0.17546520052366193,0.277572289527837,0.5619048885432802,0.9849315358110983
-2.395075587390238,0.223469277294883,0.42563461958496257,0.5677091501021478,0.7831633084860304
-2.3328658318736086,0.1329550125568724,0.47066276450988664,0.5788064177854182,0.817643704985447
-2.270656076356979,0.17015141377040302,0.43896985349699646,0.499092912860201,0.891933951736215
-2.2084463208403498,0.13110265407942787,0.28999291032271873,0.741041967653087,0.8380795850504279
-2.1462365653237203,0.1509224774008053,0.505285036115358,0.6316887655183727,0.7123790005854096
-2.0840268098070904,0.47866186487345,0.6190890333883639,0.92968013812803,0.9728922559288883
-2.021817054290461,0.4265291716984588,0.6873708934173807,0.9233971008965354,0.9630648187858215
-1.9596072987738313,0.1711235317869636,0.3295233377896206,0.6904481077926619,0.8092972923743258
-1.897397543257202,0.1988031977418076,0.23970672126400577,0.5960950208937117,0.9658101470085195
-1.8351877877405722,0.0290458030490083,0.5194013539991207,0.7067473812626982,0.74523682420269
-1.7729780322239428,0.13013990526795427,0.45317569286264664,0.5329754904385513,0.8841508928884062
-1.7107682767073131,0.02935114803358489,0.4278561753301702,0.7132534487016492,0.829986997624504
-1.6485585211906835,0.21045047800072716,0.3760339955554102,0.4959709802920545,0.9179940305046451
-1.586348765674054,0.10400233405881369,0.12053814404106696,0.23116788756718837,0.5447394439607929
-1.5241390101574244,0.08356683790250546,0.14385053098051828,0.3586346038475446,0.4143913838799076
-1.461929254640795,0.36166406948467705,0.37265859780750765,0.4263680390321818,0.8397459595700647
-1.3997194991241653,0.27314316167760355,0.48677092168288894,0.5013524211245701,0.7391617073779655
