v,p_y_nu_x,p_x_nu_y,q_xy,wannier_gap_x,wannier_gap_y,min_sector_overlap_x,min_sector_overlap_y,reliability,t,w,lm
0.1,0.033684164801159884,0.10704815642189047,0.07036616061152517,0.09292768920267919,0.08539531070088374,0.06094564229280103,0.05548046923290153,unreliable,0.3,1.0,0.1
0.2,0.5434706408273738,0.2662809455271198,0.4048757931772468,0.06944545019398074,0.049830853463193936,0.06865437632681198,0.11005614042213609,unreliable,0.3,1.0,0.1
0.3,0.43885041970137745,0.5911458335320712,0.5149981266167243,0.11532291311731552,0.11302618953000149,0.0861028445121507,0.07264768604723287,unreliable,0.3,1.0,0.1
0.4,0.1456931346772788,0.3340375307355019,0.23986533270639035,0.1164858272265844,0.012868129220849067,0.04951335547663153,0.06127906193629831,unreliable,0.3,1.0,0.1
0.5,0.12215771900054835,0.38743926428823855,0.25479849164439344,0.14245686650457867,0.09307815206274228,0.04558114258495992,0.08570998224037218,unreliable,0.3,1.0,0.1
0.6,0.21170034971827548,0.7970292135682457,0.5043647816432606,0.11668397770246414,0.04997111683113903,0.07973090680441186,0.07133161176271839,unreliable,0.3,1.0,0.1
0.7,0.6195521372205419,0.550143785676964,0.584847961448753,0.062331804578812766,0.11682485007206095,0.0519294958138078,0.0948770821795252,unreliable,0.3,1.0,0.1
0.8,0.08123898644481681,0.20028835656359223,0.14076367150420452,0.019253063359832345,0.1115345317587052,0.029412209045729568,0.08772680597885966,unreliable,0.3,1.0,0.1
