v,t,w,J,has_soc_on,has_soc_off,gap_kz_min_soc_on,gap_kz_min_soc_off,delta_gap_kz_min,z2_kz_ones_soc_on,z2_kz_ones_soc_off,delta_z2_kz_ones_count,wilson_kz0_soc_on,wilson_kz0_soc_off,delta_wilson_kz0,comment
0.1,0.3,1.0,0.0,1,1,-0.40000000000000063,-0.40000000000000013,-4.996003610813204e-16,12,12,0,0.5826017823061869,-0.5588197600481671,1.1414215423543541,ok
0.3,0.3,1.0,0.0,1,1,-0.2,-0.3999999999999998,0.1999999999999998,12,12,0,1.0978517836195456,-0.3002580043686002,1.3981097879881457,ok
0.5,0.3,1.0,0.0,1,1,0.002416317026025905,-0.1999999999999998,0.2024163170260257,4,7,-3,-1.756278483816096,0.25976478496387995,-2.016043268779976,ok
0.8,0.3,1.0,0.0,1,1,0.04396650566989674,-1.0824674490095276e-15,0.04396650566989782,11,9,2,1.5104053792405867,0.4882370413701724,1.0221683378704143,ok
1.0,0.3,1.0,0.0,1,1,0.004459518267290852,-1.3282850912792133e-15,0.00445951826729218,8,13,-5,-0.9420731126361639,-0.5037041323606156,-0.43836898027554827,ok
