kz_frac,chern_slice,gap_slice,wilson_winding,z2
0.000000000000000000e+00,-1.369512430292531266e-17,-4.000000000000006328e-01,5.826017823061868661e-01,1.000000000000000000e+00
4.761904761904761640e-02,-1.030334994643057656e-16,-3.731939829403086994e-01,-1.447110815747733037e-01,0.000000000000000000e+00
9.523809523809523281e-02,9.895055726626275036e-18,-2.933747338867385701e-01,-1.478947896829738706e+00,1.000000000000000000e+00
1.428571428571428492e-01,-9.153457548471254608e-17,-1.623252829658063112e-01,7.599507710981459607e-02,0.000000000000000000e+00
1.904761904761904656e-01,9.304745607540421906e-17,1.702694164161230872e-02,2.626675316480222566e-01,0.000000000000000000e+00
2.380952380952380820e-01,1.018346508259978719e-16,2.406755076084153289e-01,1.461084317783693853e+00,1.000000000000000000e+00
2.857142857142856984e-01,5.537713629794947782e-17,5.036244755390386629e-01,8.566777356482191408e-01,1.000000000000000000e+00
3.333333333333333148e-01,-2.882093161578181798e-16,7.999999999999982681e-01,-9.359761528069729941e-01,1.000000000000000000e+00
3.809523809523809312e-01,-2.542278284972624632e-16,1.123181541520650750e+00,-1.274925817949388085e+00,1.000000000000000000e+00
4.285714285714285476e-01,-7.052432338638775021e-17,1.443966505669897149e+00,2.103100195607932932e+00,0.000000000000000000e+00
4.761904761904761640e-01,-3.660127967006941767e-16,1.680431850261720594e+00,1.129386224620168161e-01,0.000000000000000000e+00
5.238095238095237249e-01,2.198439280543872327e-16,1.680431850261721705e+00,-2.184816407082879053e+00,0.000000000000000000e+00
5.714285714285713969e-01,-1.207853986652618697e-16,1.443966505669896705e+00,-9.960897922702881546e-01,1.000000000000000000e+00
6.190476190476190688e-01,2.704745357658259272e-16,1.123181541520650972e+00,-7.046374807598717593e-01,1.000000000000000000e+00
6.666666666666666297e-01,1.437288941143782955e-18,8.000000000000004885e-01,5.904478595189791568e-01,1.000000000000000000e+00
7.142857142857141906e-01,1.971847732991542433e-16,5.036244755390395511e-01,-1.176019144781253134e+00,1.000000000000000000e+00
7.619047619047618625e-01,-2.460807225686927407e-16,2.406755076084166611e-01,1.657080949919174373e-01,0.000000000000000000e+00
8.095238095238095344e-01,-8.229502632415991078e-17,1.702694164161211443e-02,1.600218758744142544e+00,0.000000000000000000e+00
8.571428571428570953e-01,-1.183597436189855574e-17,-1.623252829658067553e-01,1.322973988998525030e+00,1.000000000000000000e+00
9.047619047619046562e-01,1.436315331793381926e-16,-2.933747338867377930e-01,1.288801382210400748e+00,1.000000000000000000e+00
9.523809523809523281e-01,4.912019033814901133e-17,-3.731939829403091435e-01,-1.540970902405345511e+00,0.000000000000000000e+00
