point_label,v,lm,t,w,m_trs_break,min_abs_E,nearzero_count_0p02,edge_weight,corner_weight,operator_note
A,0.9,0.2,0.5,1.1,0.0,2.2081922503958003e-05,6.0,0.9071230354869826,0.28871983242961896,"from model.sz with kron(I4, sz)"
A,0.9,0.2,0.5,1.1,0.05,0.0015476753935748822,5.0,0.9094179343334835,0.2902145471557198,"from model.sz with kron(I4, sz)"
A,0.9,0.2,0.5,1.1,0.1,9.274316575099364e-05,7.0,0.9127908369864622,0.291819410283441,"from model.sz with kron(I4, sz)"
B,1.1,0.2,0.5,0.8999999999999999,0.0,6.0796025384962516e-05,42.0,0.38993030174765864,0.08571729712927807,"from model.sz with kron(I4, sz)"
B,1.1,0.2,0.5,0.8999999999999999,0.05,0.001955211350941419,17.0,0.5695784018233987,0.10845584542703397,"from model.sz with kron(I4, sz)"
B,1.1,0.2,0.5,0.8999999999999999,0.1,0.00027783614846375876,34.0,0.36139568372479614,0.09891189078178635,"from model.sz with kron(I4, sz)"
C,1.9,0.0,0.5,0.10000000000000009,0.0,0.8011935785495304,0.0,0.04254048197695353,0.0033453587300094545,"from model.sz with kron(I4, sz)"
C,1.9,0.0,0.5,0.10000000000000009,0.05,0.7511935785495327,0.0,0.04254048197695363,0.0033453587300092203,"from model.sz with kron(I4, sz)"
C,1.9,0.0,0.5,0.10000000000000009,0.1,0.7011935785495268,0.0,0.04254048197695559,0.0033453587300098066,"from model.sz with kron(I4, sz)"
