point_label,v,lm,t,w,V_edge,min_abs_E,nearzero_count_0p02,edge_weight,corner_weight
A,0.9,0.2,0.5,1.1,0.0,2.208192250395802e-05,6.0,0.9071230354869827,0.288719832429619
A,0.9,0.2,0.5,1.1,0.1,0.0035577075812485356,8.0,0.9102444746381525,0.29360545133717547
A,0.9,0.2,0.5,1.1,0.2,0.0006865984268234256,10.0,0.9127970855589606,0.29089606815474844
B,1.1,0.2,0.5,0.8999999999999999,0.0,6.079602538496245e-05,42.0,0.3899303017476585,0.08571729712927807
B,1.1,0.2,0.5,0.8999999999999999,0.1,0.0003283505795726936,24.0,0.27048008592985695,0.07808260429150285
B,1.1,0.2,0.5,0.8999999999999999,0.2,0.004023431070612057,12.0,0.3676971614103033,0.17162662901198636
C,1.9,0.0,0.5,0.10000000000000009,0.0,0.8011935785495329,0.0,0.04254048197695594,0.0033453587300095035
C,1.9,0.0,0.5,0.10000000000000009,0.1,0.8017332843401752,0.0,0.0007179166268817203,0.0001341599523542283
C,1.9,0.0,0.5,0.10000000000000009,0.2,0.8017726582084626,0.0,0.00021797443389060897,9.913427468553409e-05
