center_label,v,lm,t,w,bulk_gap,direct_gap,indirect_gap,min_direct_gap,kx_min,ky_min,chern,z2,wilson,occupied_band_index,unoccupied_band_index,distance_to_center
A,0.8,0.1,0.5,1.2,0.21655250605964244,0.3999999999999993,0.21655250605964244,0.3999999999999993,0.5,0.5,-1.6403926445008266e-16,0,0.10388928172472842,3,4,0.1414213562373095
A,0.8,0.11,0.5,1.2,0.2399999999999992,0.4199999999999996,0.2399999999999992,0.4199999999999996,0.5,0.5,-9.791938531716052e-17,0,-0.045361824591775665,3,4,0.1345362404707371
A,0.8,0.12,0.5,1.2,0.2637646832622677,0.44,0.2637646832622677,0.44,0.5,0.5,1.9653532956681998e-17,0,0.38867319189347777,3,4,0.12806248474865697
A,0.8,0.13,0.5,1.2,0.28784363825366566,0.4600000000000001,0.28784363825366566,0.4600000000000001,0.5,0.5,-5.801190685345596e-17,1,1.0115389686107,3,4,0.12206555615733701
A,0.8,0.13999999999999999,0.5,1.2,0.31223374405994864,0.4800000000000002,0.31223374405994864,0.4800000000000002,0.5,0.5,1.2050641660298152e-17,1,-0.50355335303919,3,4,0.116619037896906
A,0.8,0.14999999999999997,0.5,1.2,0.3369316876852976,0.5,0.3369316876852976,0.5,0.5,0.5,-4.176008323916614e-17,0,0.10231404776321376,3,4,0.11180339887498948
A,0.8,0.15999999999999998,0.5,1.2,0.36193397570080155,0.5199999999999999,0.36193397570080155,0.5199999999999999,0.5,0.5,-5.4144649417561725e-17,0,0.2592119032303082,3,4,0.10770329614269007
A,0.8,0.16999999999999998,0.5,1.2,0.38723694621350807,0.5399999999999998,0.38723694621350807,0.5399999999999998,0.5,0.5,-4.7130642899064634e-18,1,0.8103077437492784,3,4,0.10440306508910549
A,0.8,0.17999999999999997,0.5,1.2,0.412836781069264,0.5599999999999994,0.412836781069264,0.5599999999999994,0.5,0.5,4.705109277722703e-17,0,-0.28163288414128723,3,4,0.10198039027185568
A,0.8,0.18999999999999995,0.5,1.2,0.43872951820476425,0.5799999999999998,0.43872951820476425,0.5799999999999998,0.5,0.5,3.541603040643808e-17,0,1.9435500383939022,3,4,0.10049875621120889
A,0.8,0.19999999999999996,0.5,1.2,0.464911064067351,0.6000000000000001,0.464911064067351,0.6000000000000001,0.5,0.5,-1.4404776844388632e-17,0,-0.37798023393182323,3,4,0.09999999999999998
A,0.8,0.20999999999999996,0.5,1.2,0.49137720602502477,0.6200000000000001,0.49137720602502477,0.6200000000000001,0.5,0.5,-4.9448739088362386e-17,1,0.5390234947134481,3,4,0.10049875621120888
A,0.8,0.21999999999999995,0.5,1.2,0.5181236246936356,0.6399999999999999,0.5181236246936356,0.6399999999999999,0.5,0.5,1.8608239695882212e-17,1,-1.4584343690267307,3,4,0.10198039027185567
A,0.8,0.22999999999999995,0.5,1.2,0.5451459061133862,0.6599999999999997,0.5451459061133862,0.6599999999999997,0.5,0.5,-1.5584243388678184e-18,1,0.7058137436123888,3,4,0.10440306508910546
A,0.8,0.23999999999999994,0.5,1.2,0.57243955371228,0.6799999999999997,0.57243955371228,0.6799999999999997,0.5,0.5,-2.750393359515005e-17,1,-0.7324590590507654,3,4,0.10770329614269003
A,0.8,0.24999999999999992,0.5,1.2,0.5999999999999983,0.6999999999999996,0.5999999999999983,0.6999999999999996,0.5,0.5,-4.890673220908653e-17,0,-0.052639360031973864,3,4,0.11180339887498943
A,0.8,0.2599999999999999,0.5,1.2,0.6278226179417443,0.7199999999999996,0.6278226179417443,0.7199999999999996,0.5,0.5,1.102180653909361e-16,0,-0.19495262457526102,3,4,0.11661903789690593
A,0.8,0.2699999999999999,0.5,1.2,0.6559027319676771,0.74,0.6559027319676771,0.74,0.5,0.5,-3.674594906096706e-17,0,-0.3414732019044798,3,4,0.12206555615733695
A,0.8,0.2799999999999999,0.5,1.2,0.6842356285797464,0.759999999999999,0.6842356285797464,0.759999999999999,0.5,0.5,3.5871135570412375e-17,1,-0.8076834208254461,3,4,0.1280624847486569
A,0.8,0.2899999999999999,0.5,1.2,0.7128165665236897,0.7799999999999996,0.7128165665236897,0.7799999999999996,0.5,0.5,4.5297899162336135e-17,1,-0.8962553183998734,3,4,0.13453624047073703
A,0.8,0.29999999999999993,0.5,1.2,0.7416407864998735,0.8000000000000003,0.7416407864998735,0.8000000000000003,0.5,0.5,-7.403248865496732e-17,1,-0.5633354314674303,3,4,0.14142135623730942
A,0.81,0.1,0.5,1.19,0.21668968670491112,0.3999999999999995,0.21668968670491112,0.3999999999999995,0.5,0.5,-1.9644225450062943e-17,0,-0.4085169065607005,3,4,0.1345362404707371
A,0.81,0.11,0.5,1.19,0.24016527796825995,0.4399999999999994,0.24016527796825995,0.4399999999999994,0.5,0.5,-7.575817622570681e-17,0,0.4087213696450851,3,4,0.12727922061357855
A,0.81,0.12,0.5,1.19,0.26396046064111844,0.47999999999999954,0.26396046064111844,0.47999999999999954,0.5,0.5,1.5574485393406615e-17,0,1.920464002578674,3,4,0.12041594578792295
A,0.81,0.13,0.5,1.19,0.28807224744675897,0.5000000000000001,0.28807224744675897,0.5000000000000001,0.5,0.5,-7.925798142696631e-17,0,0.40932009650148027,3,4,0.11401754250991378
A,0.81,0.13999999999999999,0.5,1.19,0.31249744376010785,0.5199999999999996,0.31249744376010785,0.5199999999999996,0.5,0.5,1.309306808540409e-16,0,0.4924889955797408,3,4,0.10816653826391967
A,0.81,0.14999999999999997,0.5,1.19,0.3372326592785887,0.5399999999999999,0.3372326592785887,0.5399999999999999,0.5,0.5,-6.26080139115265e-17,0,-0.03559930127720788,3,4,0.10295630140987
A,0.81,0.15999999999999998,0.5,1.19,0.3622743201089593,0.5599999999999998,0.3622743201089593,0.5599999999999998,0.5,0.5,-2.5637427670805088e-17,1,1.0967527688680596,3,4,0.09848857801796103
A,0.81,0.16999999999999998,0.5,1.19,0.3876186811776874,0.5799999999999997,0.3876186811776874,0.5799999999999997,0.5,0.5,-2.806541531875384e-17,0,-0.04192210594183543,3,4,0.09486832980505136
