center_label,v,lm,t,w,bulk_gap,direct_gap,indirect_gap,min_direct_gap,kx_min,ky_min,chern,z2,wilson,occupied_band_index,unoccupied_band_index,distance_to_center
B,1.0,0.1,0.5,1.0,0.21980390271855615,0.37054052090858614,0.21980390271855615,0.37054052090858614,0.5833333333333334,0.5,-5.591751007461013e-17,1,-0.5682397564650936,3,4,0.14142135623730956
B,1.0,0.11,0.5,1.0,0.24391405889361545,0.3985207757578677,0.24391405889361545,0.3985207757578677,0.3333333333333333,0.5,-1.120035052226483e-16,0,0.2696277173113045,3,4,0.13453624047073717
B,1.0,0.12,0.5,1.0,0.26839681057459447,0.41949825109611816,0.26839681057459447,0.41949825109611816,0.5,0.6666666666666666,-5.610127193175802e-19,1,-1.2017863198639818,3,4,0.12806248474865706
B,1.0,0.13,0.5,1.0,0.2932473082471581,0.44031282934463317,0.2932473082471581,0.44031282934463317,0.25,0.5,3.306921443915797e-17,1,0.9946024971317866,3,4,0.12206555615733711
B,1.0,0.13999999999999999,0.5,1.0,0.31846039885977256,0.4521957498390459,0.31846039885977256,0.4521957498390459,0.8333333333333334,0.5,1.8802797544730922e-17,1,-1.429659279402548,3,4,0.1166190378969061
B,1.0,0.14999999999999997,0.5,1.0,0.3440306508910546,0.458244213264149,0.3440306508910546,0.458244213264149,1.0,0.5,3.738225939969063e-17,0,0.3214555125870617,3,4,0.11180339887498958
B,1.0,0.15999999999999998,0.5,1.0,0.36995237987253377,0.46416594224562835,0.36995237987253377,0.46416594224562835,0.0,0.5,-5.431753719630673e-17,0,0.3305625032182139,3,4,0.10770329614269018
B,1.0,0.16999999999999998,0.5,1.0,0.3962196741208706,0.4704332364939662,0.3962196741208706,0.4704332364939662,0.5,0.0,4.2790179285160625e-17,1,-0.8238391884043418,3,4,0.1044030650891056
B,1.0,0.17999999999999997,0.5,1.0,0.4228264204469123,0.47703998282000715,0.4228264204469123,0.47703998282000715,1.0,0.5,9.518974732934713e-17,0,-0.026399106322748906,3,4,0.10198039027185579
B,1.0,0.18999999999999995,0.5,1.0,0.44976632962530544,0.4839798919983998,0.44976632962530544,0.4839798919983998,1.0,0.5,-2.3321891516586825e-18,1,-0.6995575524474135,3,4,0.100498756211209
B,1.0,0.19999999999999996,0.5,1.0,0.47703296142689966,0.49124652379999484,0.47703296142689966,0.49124652379999484,1.0,0.5,1.1436218595920248e-16,1,0.8762299297758603,3,4,0.10000000000000009
B,1.0,0.20999999999999996,0.5,1.0,0.4988333114095929,0.4988333114095929,0.4988333114095929,0.4988333114095929,1.0,0.5,1.2631078766110362e-19,1,-1.0862636835779735,3,4,0.10049875621120899
B,1.0,0.21999999999999995,0.5,1.0,0.5067335850729069,0.5067335850729073,0.5067335850729069,0.5067335850729073,0.0,0.5,-4.4081591633233123e-17,1,0.8292030632871652,3,4,0.10198039027185576
B,1.0,0.22999999999999995,0.5,1.0,0.5149405948384539,0.5149405948384546,0.5149405948384539,0.5149405948384546,1.0,0.5,3.536012908601181e-18,1,0.8592944190075059,3,4,0.10440306508910557
B,1.0,0.23999999999999994,0.5,1.0,0.5234475322820566,0.5234475322820571,0.5234475322820566,0.5234475322820571,0.0,0.5,6.355186088870292e-17,1,0.6758743748646374,3,4,0.10770329614269014
B,1.0,0.24999999999999992,0.5,1.0,0.5322475511229885,0.5322475511229885,0.5322475511229885,0.5322475511229885,1.0,0.5,1.3120656578469312e-16,0,-0.2957660614799754,3,4,0.11180339887498952
B,1.0,0.2599999999999999,0.5,1.0,0.541333786661524,0.541333786661524,0.541333786661524,0.541333786661524,0.5,1.0,-5.916158935831851e-17,1,1.4562728630211268,3,4,0.11661903789690603
B,1.0,0.2699999999999999,0.5,1.0,0.5506993739871225,0.5506993739871225,0.5506993739871225,0.5506993739871225,0.0,0.5,1.9244914424251873e-17,1,-1.0662365347810783,3,4,0.12206555615733704
B,1.0,0.2799999999999999,0.5,1.0,0.5603374649246463,0.5603374649246464,0.5603374649246463,0.5603374649246464,0.0,0.5,-4.1471191444973364e-17,1,-1.182596108467909,3,4,0.12806248474865697
B,1.0,0.2899999999999999,0.5,1.0,0.5702412437025679,0.5702412437025683,0.5702412437025679,0.5702412437025683,1.0,0.5,1.3585109502683983e-17,1,-0.6157808480180523,3,4,0.13453624047073712
