v,t,w,lm,E_a_numeric,E_b_numeric,E_a_formula,E_b_formula,overlap_a,overlap_b
0.55,0.3,1.0,0.0,0.14999999999999994,0.4499999999999995,0.15000000000000002,0.44999999999999996,0.9999999999999998,0.7915031225905271
0.551,0.3,1.0,0.0,0.1509999999999999,0.4489999999999993,0.15100000000000002,0.44899999999999995,0.9999999999999997,0.7853838929457454
0.552,0.3,1.0,0.0,0.15200000000000016,0.4480000000000003,0.15200000000000002,0.44799999999999995,0.9999999999999999,0.8389839400593779
0.553,0.3,1.0,0.0,0.1530000000000001,0.44699999999999934,0.15300000000000002,0.44699999999999995,1.0,0.8146102897487556
0.554,0.3,1.0,0.0,0.15400000000000005,0.4459999999999997,0.15400000000000003,0.44599999999999995,0.9999999999999998,0.7736464782692165
0.555,0.3,1.0,0.0,0.15499999999999997,0.44499999999999995,0.15500000000000003,0.44499999999999995,0.9999999999999998,0.850604175236882
0.556,0.3,1.0,0.0,0.1560000000000002,0.444,0.15600000000000003,0.44399999999999995,1.0000000000000002,0.8618543862913505
0.557,0.3,1.0,0.0,0.15699999999999975,0.4430000000000001,0.15700000000000003,0.44299999999999995,0.9999999999999998,0.7596847094849257
0.558,0.3,1.0,0.0,0.15799999999999984,0.4419999999999999,0.15800000000000003,0.44199999999999995,1.0000000000000002,0.8563113479007662
0.559,0.3,1.0,0.0,0.159,0.44099999999999995,0.15900000000000003,0.44099999999999995,0.9999999999999991,0.912857279351729
0.56,0.3,1.0,0.0,0.16000000000000011,0.44,0.16000000000000003,0.43999999999999995,1.0,0.8720485373567088
0.561,0.3,1.0,0.0,0.16099999999999998,0.43900000000000017,0.16100000000000003,0.43899999999999995,1.0,0.8469367913596841
0.562,0.3,1.0,0.0,0.1619999999999999,0.43799999999999983,0.16200000000000003,0.43799999999999994,0.9999999999999999,0.9375433180630777
0.5630000000000001,0.3,1.0,0.0,0.16299999999999998,0.43700000000000006,0.16300000000000003,0.43699999999999994,0.9999999999999996,0.9556115320947788
0.5640000000000001,0.3,1.0,0.0,0.1639999999999999,0.43600000000000005,0.16400000000000003,0.43599999999999994,1.0000000000000004,0.8148476888228577
0.5650000000000001,0.3,1.0,0.0,0.16500000000000023,0.435,0.16500000000000004,0.43499999999999994,0.9999999999999998,0.9513745539303284
0.5660000000000001,0.3,1.0,0.0,0.16599999999999984,0.43399999999999994,0.16600000000000004,0.43399999999999994,0.9999999999999998,0.7988294112128561
0.5670000000000001,0.3,1.0,0.0,0.1669999999999999,0.433,0.16700000000000004,0.43299999999999994,1.0,0.7156886468701815
0.5680000000000001,0.3,1.0,0.0,0.16799999999999968,0.4319999999999999,0.16800000000000004,0.43199999999999994,0.9999999999999996,0.9887010825834595
0.5690000000000001,0.3,1.0,0.0,0.16899999999999962,0.4309999999999998,0.16900000000000004,0.43099999999999994,0.9999999999999996,0.8729271671140306
0.5700000000000001,0.3,1.0,0.0,0.17000000000000004,0.42999999999999994,0.17000000000000004,0.42999999999999994,0.9999999999999999,0.9507189317593687
0.5710000000000001,0.3,1.0,0.0,0.17099999999999996,0.42899999999999994,0.17100000000000004,0.42899999999999994,0.9999999999999998,0.7071067811865477
0.5720000000000001,0.3,1.0,0.0,0.17199999999999974,0.42800000000000005,0.17200000000000004,0.42799999999999994,0.9999999999999994,0.8712155536402089
0.5730000000000001,0.3,1.0,0.0,0.17300000000000001,0.427,0.17300000000000004,0.42699999999999994,1.0,0.8834603122686425
0.5740000000000001,0.3,1.0,0.0,0.17399999999999993,0.42599999999999966,0.17400000000000004,0.42599999999999993,0.9999999999999998,0.9435061107623746
0.5750000000000001,0.3,1.0,0.0,0.17499999999999974,0.4249999999999998,0.17500000000000004,0.42499999999999993,0.9999999999999998,0.98802081851382
0.5760000000000001,0.3,1.0,0.0,0.1760000000000003,0.42400000000000027,0.17600000000000005,0.42399999999999993,1.0,0.8745475632074349
0.5770000000000001,0.3,1.0,0.0,0.17699999999999985,0.42299999999999993,0.17700000000000005,0.42299999999999993,0.9999999999999998,0.7071067811865477
0.5780000000000001,0.3,1.0,0.0,0.17800000000000027,0.422,0.17800000000000005,0.42199999999999993,0.9999999999999998,0.9755797016866654
0.5790000000000001,0.3,1.0,0.0,0.17900000000000013,0.4209999999999998,0.17900000000000005,0.42099999999999993,1.0,0.7550339169587811
0.5800000000000001,0.3,1.0,0.0,0.18000000000000022,0.42,0.18000000000000005,0.41999999999999993,1.0000000000000002,0.9436616290639777
0.5810000000000001,0.3,1.0,0.0,0.1810000000000004,0.41900000000000004,0.18100000000000005,0.41899999999999993,1.0000000000000002,0.9308275011577323
0.5820000000000001,0.3,1.0,0.0,0.18199999999999988,0.4179999999999999,0.18200000000000005,0.4179999999999999,0.9999999999999998,0.7071067811865476
0.5830000000000001,0.3,1.0,0.0,0.18299999999999986,0.4169999999999997,0.18300000000000005,0.4169999999999999,0.9999999999999998,0.7577202415916533
0.5840000000000001,0.3,1.0,0.0,0.18399999999999977,0.41599999999999976,0.18400000000000005,0.4159999999999999,0.9999999999999999,0.9322628744055311
0.5850000000000001,0.3,1.0,0.0,0.18499999999999975,0.41499999999999965,0.18500000000000005,0.4149999999999999,0.9999999999999999,0.8977017198369976
