v,t,w,lm,E_valence_M,E_conduction_M,Delta_M,m_M,2abs_m_M
0.55,0.3,1.0,0.0,0.14999999999999994,0.4499999999999995,0.2999999999999996,-0.1499999999999999,0.2999999999999998
0.551,0.3,1.0,0.0,0.1509999999999999,0.4489999999999993,0.2979999999999994,-0.14900000000000002,0.29800000000000004
0.552,0.3,1.0,0.0,0.15200000000000016,0.4480000000000003,0.29600000000000015,-0.1479999999999999,0.2959999999999998
0.553,0.3,1.0,0.0,0.1530000000000001,0.44699999999999934,0.29399999999999926,-0.14700000000000002,0.29400000000000004
0.554,0.3,1.0,0.0,0.15400000000000005,0.4459999999999997,0.2919999999999996,-0.1459999999999999,0.2919999999999998
0.555,0.3,1.0,0.0,0.15499999999999997,0.44499999999999995,0.29,-0.14500000000000002,0.29000000000000004
0.556,0.3,1.0,0.0,0.1560000000000002,0.444,0.2879999999999998,-0.1439999999999999,0.2879999999999998
0.557,0.3,1.0,0.0,0.15699999999999975,0.4430000000000001,0.28600000000000037,-0.14300000000000002,0.28600000000000003
0.558,0.3,1.0,0.0,0.15799999999999984,0.4419999999999999,0.28400000000000003,-0.1419999999999999,0.2839999999999998
0.559,0.3,1.0,0.0,0.159,0.44099999999999995,0.2819999999999999,-0.14100000000000001,0.28200000000000003
0.56,0.3,1.0,0.0,0.16000000000000011,0.44,0.2799999999999999,-0.1399999999999999,0.2799999999999998
0.561,0.3,1.0,0.0,0.16099999999999998,0.43900000000000017,0.2780000000000002,-0.139,0.278
0.562,0.3,1.0,0.0,0.1619999999999999,0.43799999999999983,0.2759999999999999,-0.1379999999999999,0.2759999999999998
0.5630000000000001,0.3,1.0,0.0,0.16299999999999998,0.43700000000000006,0.2740000000000001,-0.137,0.274
0.5640000000000001,0.3,1.0,0.0,0.1639999999999999,0.43600000000000005,0.27200000000000013,-0.1359999999999999,0.2719999999999998
0.5650000000000001,0.3,1.0,0.0,0.16500000000000023,0.435,0.2699999999999998,-0.135,0.27
0.5660000000000001,0.3,1.0,0.0,0.16599999999999984,0.43399999999999994,0.2680000000000001,-0.1339999999999999,0.2679999999999998
0.5670000000000001,0.3,1.0,0.0,0.1669999999999999,0.433,0.2660000000000001,-0.133,0.266
0.5680000000000001,0.3,1.0,0.0,0.16799999999999968,0.4319999999999999,0.26400000000000023,-0.1319999999999999,0.2639999999999998
0.5690000000000001,0.3,1.0,0.0,0.16899999999999962,0.4309999999999998,0.26200000000000023,-0.131,0.262
0.5700000000000001,0.3,1.0,0.0,0.17000000000000004,0.42999999999999994,0.2599999999999999,-0.1299999999999999,0.2599999999999998
0.5710000000000001,0.3,1.0,0.0,0.17099999999999996,0.42899999999999994,0.258,-0.129,0.258
0.5720000000000001,0.3,1.0,0.0,0.17199999999999974,0.42800000000000005,0.25600000000000034,-0.1279999999999999,0.2559999999999998
