v,Lx,Ly,bulk_gap,energy_window,state_index,energy,abs_energy
0.1,10,10,1.5113389222328681,0.6045355688931473,360,-0.31622776601683905,0.31622776601683905
0.1,10,10,1.5113389222328681,0.6045355688931473,361,-0.3162277660168381,0.3162277660168381
0.1,10,10,1.5113389222328681,0.6045355688931473,362,-9.511746442343523e-11,9.511746442343523e-11
0.1,10,10,1.5113389222328681,0.6045355688931473,363,-9.511726458550347e-11,9.511726458550347e-11
0.1,10,10,1.5113389222328681,0.6045355688931473,364,-9.511722274646219e-11,9.511722274646219e-11
0.1,10,10,1.5113389222328681,0.6045355688931473,365,-9.511721221712564e-11,9.511721221712564e-11
0.1,10,10,1.5113389222328681,0.6045355688931473,366,-9.503058784646499e-11,9.503058784646499e-11
0.1,10,10,1.5113389222328681,0.6045355688931473,367,-9.503025533620273e-11,9.503025533620273e-11
0.1,10,10,1.5113389222328681,0.6045355688931473,368,-9.50302434727451e-11,9.50302434727451e-11
0.1,10,10,1.5113389222328681,0.6045355688931473,369,-9.50296243227484e-11,9.50296243227484e-11
0.1,10,10,1.5113389222328681,0.6045355688931473,370,-9.488622895376233e-11,9.488622895376233e-11
0.1,10,10,1.5113389222328681,0.6045355688931473,371,-9.488620461772261e-11,9.488620461772261e-11
0.1,10,10,1.5113389222328681,0.6045355688931473,372,-9.488617986321531e-11,9.488617986321531e-11
0.1,10,10,1.5113389222328681,0.6045355688931473,373,-9.488613049254991e-11,9.488613049254991e-11
0.1,10,10,1.5113389222328681,0.6045355688931473,374,-9.468823383725225e-11,9.468823383725225e-11
0.1,10,10,1.5113389222328681,0.6045355688931473,375,-9.468813620778214e-11,9.468813620778214e-11
0.1,10,10,1.5113389222328681,0.6045355688931473,376,-9.468810265110377e-11,9.468810265110377e-11
0.1,10,10,1.5113389222328681,0.6045355688931473,377,-9.468801482257203e-11,9.468801482257203e-11
0.1,10,10,1.5113389222328681,0.6045355688931473,378,-9.444394901058681e-11,9.444394901058681e-11
0.1,10,10,1.5113389222328681,0.6045355688931473,379,-9.444387294618566e-11,9.444387294618566e-11
0.1,10,10,1.5113389222328681,0.6045355688931473,380,-9.44436676467699e-11,9.44436676467699e-11
0.1,10,10,1.5113389222328681,0.6045355688931473,381,-9.444359005837548e-11,9.444359005837548e-11
0.1,10,10,1.5113389222328681,0.6045355688931473,382,-9.41680785123345e-11,9.41680785123345e-11
0.1,10,10,1.5113389222328681,0.6045355688931473,383,-9.416806269105233e-11,9.416806269105233e-11
0.1,10,10,1.5113389222328681,0.6045355688931473,384,-9.416802205773162e-11,9.416802205773162e-11
