v,Lx,Ly,bulk_gap,energy_window,state_index,energy,abs_energy,W_corner,W_edge,W_bulk,max_position_x,max_position_y,classification
0.1,10,10,1.5113389222328681,0.4534016766698604,400,1.789500339494069e-17,1.789500339494069e-17,0.9998000003456735,0.000199989653360817,1.000096552481481e-08,0,9,corner_state
0.1,10,10,1.5113389222328681,0.4534016766698604,399,-1.6380307836034317e-16,1.6380307836034317e-16,0.999800012546108,0.00019997745414678542,9.999745366902155e-09,9,0,corner_state
0.1,10,10,1.5113389222328681,0.4534016766698604,401,3.791641179525239e-16,3.791641179525239e-16,0.9998000098620375,0.0001999801379486942,1.0000013792673213e-08,0,9,corner_state
0.1,10,10,1.5113389222328681,0.4534016766698604,398,-4.1048461363357e-16,4.1048461363357e-16,0.9998000130069358,0.0001999769933646435,9.999699298983587e-09,9,0,corner_state
0.1,10,10,1.5113389222328681,0.4534016766698604,402,9.34646990824102e-11,9.34646990824102e-11,0.10688645534279162,0.8930261765375085,8.736811969987724e-05,4,0,edge_state
0.1,10,10,1.5113389222328681,0.4534016766698604,403,9.346475189922789e-11,9.346475189922789e-11,0.10692558645642598,0.89298516011482,8.925342875399977e-05,4,0,edge_state
0.2,10,10,1.3147228770131711,0.39441686310395135,399,-3.025132657465539e-14,3.025132657465539e-14,0.9968025600701023,0.003194879930010133,2.5599998876565303e-06,9,0,corner_state
0.2,10,10,1.3147228770131711,0.39441686310395135,400,3.0282004944158704e-14,3.0282004944158704e-14,0.9968025600414967,0.0031948799585697516,2.5599999334987086e-06,9,0,corner_state
0.2,10,10,1.3147228770131711,0.39441686310395135,401,3.0549111681892606e-14,3.0549111681892606e-14,0.9968025599852959,0.0031948800146805734,2.5600000235638527e-06,0,9,corner_state
0.2,10,10,1.3147228770131711,0.39441686310395135,398,-3.082306658688173e-14,3.082306658688173e-14,0.996802559958033,0.003194880041899835,2.560000067255234e-06,0,9,corner_state
0.2,10,10,1.3147228770131711,0.39441686310395135,402,9.161366432540955e-08,9.161366432540955e-08,0.10725109175396821,0.8913212895344825,0.001427618711549266,4,0,edge_state
0.2,10,10,1.3147228770131711,0.39441686310395135,397,-9.161366449398272e-08,9.161366449398272e-08,0.10725272915525079,0.8913181259438272,0.0014291449009220063,0,4,edge_state
0.3,10,10,1.1190422434238938,0.3357126730271681,400,9.130718625087243e-11,9.130718625087243e-11,0.983865619281416,0.016068770794377192,6.560992420662379e-05,0,9,corner_state
0.3,10,10,1.1190422434238938,0.3357126730271681,399,-9.130741516177903e-11,9.130741516177903e-11,0.9838656192807296,0.016068770795058238,6.560992421223269e-05,9,0,corner_state
0.3,10,10,1.1190422434238938,0.3357126730271681,398,-9.130789397923243e-11,9.130789397923243e-11,0.9838656192818485,0.016068770793948493,6.560992420309574e-05,9,0,corner_state
0.3,10,10,1.1190422434238938,0.3357126730271681,401,9.130827334875593e-11,9.130827334875593e-11,0.983865619284616,0.01606877079120344,6.560992418049395e-05,0,9,corner_state
0.3,10,10,1.1190422434238938,0.3357126730271681,397,-4.922519371278456e-06,4.922519371278456e-06,0.10904096420924825,0.8838182333024938,0.007140802488258095,0,4,edge_state
0.3,10,10,1.1190422434238938,0.3357126730271681,402,4.922519371287064e-06,4.922519371287064e-06,0.10941764291318412,0.883064876141406,0.007517480945409605,0,4,edge_state
0.4,10,10,0.9247395985822477,0.2774218795746743,399,-2.4533439308370077e-08,2.4533439308370077e-08,0.949456401383951,0.04988826597559695,0.0006553326404519913,9,0,corner_state
0.4,10,10,0.9247395985822477,0.2774218795746743,400,2.4533439525406407e-08,2.4533439525406407e-08,0.9494564013833291,0.049888265976202543,0.000655332640468306,0,9,corner_state
0.4,10,10,0.9247395985822477,0.2774218795746743,398,-2.453344016421461e-08,2.453344016421461e-08,0.9494564013843989,0.04988826597516086,0.0006553326404402155,9,0,corner_state
0.4,10,10,0.9247395985822477,0.2774218795746743,401,2.453344019703607e-08,2.453344019703607e-08,0.949456401383562,0.049888265975976134,0.0006553326404622108,0,9,corner_state
0.4,10,10,0.9247395985822477,0.2774218795746743,397,-7.886867390939726e-05,7.886867390939726e-05,0.11373048046620776,0.863707074219261,0.022562445314531325,4,0,edge_state
0.4,10,10,0.9247395985822477,0.2774218795746743,402,7.886867390957248e-05,7.886867390957248e-05,0.11396902155295917,0.8632299920613837,0.022800986385657227,0,4,edge_state
0.5,10,10,0.7325810821533132,0.21977432464599395,399,-1.6963922868779326e-06,1.6963922868779326e-06,0.8789488317500613,0.11714775648314942,0.0039034117667892153,9,0,corner_state
0.5,10,10,0.7325810821533132,0.21977432464599395,400,1.6963922870496142e-06,1.6963922870496142e-06,0.878948831749977,0.11714775648322827,0.003903411766794836,9,0,corner_state
0.5,10,10,0.7325810821533132,0.21977432464599395,398,-1.6963922875754156e-06,1.6963922875754156e-06,0.8789488317500938,0.11714775648311919,0.003903411766787053,0,9,corner_state
0.5,10,10,0.7325810821533132,0.21977432464599395,401,1.6963922876474017e-06,1.6963922876474017e-06,0.878948831750002,0.11714775648320488,0.0039034117667931583,9,0,corner_state
0.5,10,10,0.7325810821533132,0.21977432464599395,397,-0.0006366099671160173,0.0006366099671160173,0.12432071028181332,0.8210430980195373,0.05463619169864936,0,4,edge_state
0.5,10,10,0.7325810821533132,0.21977432464599395,402,0.0006366099671160486,0.0006366099671160486,0.12512442279082386,0.8194356730016988,0.0554399042074772,0,4,edge_state
0.6,10,10,0.5440047606874248,0.16320142820622743,399,-4.737091840966625e-05,4.737091840966625e-05,0.7584421130454456,0.224887415710003,0.016670471244551455,0,9,corner_state
0.6,10,10,0.5440047606874248,0.16320142820622743,400,4.7370918409789654e-05,4.7370918409789654e-05,0.7584421130454588,0.2248874157099918,0.01667047124454945,9,0,corner_state
0.6,10,10,0.5440047606874248,0.16320142820622743,398,-4.7370918409889015e-05,4.7370918409889015e-05,0.7584421130454535,0.22488741570999615,0.016670471244550216,0,9,corner_state
0.6,10,10,0.5440047606874248,0.16320142820622743,401,4.737091840999387e-05,4.737091840999387e-05,0.7584421130454276,0.22488741571001833,0.01667047124455408,9,0,corner_state
0.6,10,10,0.5440047606874248,0.16320142820622743,397,-0.003244951414995216,0.003244951414995216,0.1389725697717352,0.7573844064922483,0.10364302373601662,0,3,edge_state
0.6,10,10,0.5440047606874248,0.16320142820622743,402,0.0032449514149953144,0.0032449514149953144,0.1430630418209098,0.7492034623936246,0.10773349578546575,0,3,edge_state
0.7,10,10,0.3620052322956887,0.10860156968870661,400,0.0006598064499955345,0.0006598064499955345,0.5862342514652243,0.35885021172724707,0.05491553680752873,9,0,bulk_or_mixed_state
0.7,10,10,0.3620052322956887,0.10860156968870661,399,-0.0006598064499958367,0.0006598064499958367,0.586234251465236,0.3588502117272388,0.05491553680752512,0,9,bulk_or_mixed_state
0.7,10,10,0.3620052322956887,0.10860156968870661,401,0.0006598064499959448,0.0006598064499959448,0.5862342514652188,0.3588502117272509,0.054915536807530245,9,0,bulk_or_mixed_state
0.7,10,10,0.3620052322956887,0.10860156968870661,398,-0.0006598064499968975,0.0006598064499968975,0.5862342514652295,0.35885021172724335,0.05491553680752699,0,9,bulk_or_mixed_state
0.7,10,10,0.3620052322956887,0.10860156968870661,397,-0.011689144866552965,0.011689144866552965,0.19989208095477126,0.5899534798995674,0.21015443914566154,3,0,bulk_or_mixed_state
0.7,10,10,0.3620052322956887,0.10860156968870661,396,-0.011689144866553057,0.011689144866553057,0.17321591506362827,0.643305811681776,0.18347827325459584,3,0,edge_state
0.8,10,10,0.19367418534244046,0.058102255602732134,400,0.005009455979049223,0.005009455979049223,0.3953797944280596,0.46682507140029406,0.13779513417164618,0,9,bulk_or_mixed_state
0.8,10,10,0.19367418534244046,0.058102255602732134,399,-0.005009455979049306,0.005009455979049306,0.3953797944280616,0.4668250714002936,0.13779513417164482,0,9,bulk_or_mixed_state
0.8,10,10,0.19367418534244046,0.058102255602732134,398,-0.0050094559790495674,0.0050094559790495674,0.39537979442806037,0.46682507140029367,0.13779513417164604,9,0,bulk_or_mixed_state
0.8,10,10,0.19367418534244046,0.058102255602732134,401,0.0050094559790495735,0.0050094559790495735,0.3953797944280544,0.46682507140029617,0.13779513417164946,9,0,bulk_or_mixed_state
0.8,10,10,0.19367418534244046,0.058102255602732134,402,0.03169086053904872,0.03169086053904872,0.1532503226256693,0.6317473481070011,0.21500232926732984,0,3,edge_state
0.8,10,10,0.19367418534244046,0.058102255602732134,403,0.031690860539049064,0.031690860539049064,0.18861915344978478,0.561009686458729,0.2503711600914864,0,3,bulk_or_mixed_state
0.9,10,10,0.057937972660556177,0.01738139179816685,400,0.02177402190916344,0.02177402190916344,0.2440348084143878,0.4999279710516558,0.25603722053395667,0,9,bulk_or_mixed_state
0.9,10,10,0.057937972660556177,0.01738139179816685,401,0.021774021909163686,0.021774021909163686,0.24403480841438835,0.4999279710516558,0.2560372205339557,9,0,bulk_or_mixed_state
1.0,10,10,7.622553749832773e-32,0.01,400,0.05945989195019771,0.05945989195019771,0.15306636140565844,0.47634120366970933,0.37059243492463245,0,9,bulk_or_mixed_state
1.0,10,10,7.622553749832773e-32,0.01,399,-0.059459891950197775,0.059459891950197775,0.15306636140565977,0.4763412036697102,0.3705924349246299,9,0,bulk_or_mixed_state
1.1,10,10,0.05793797266055629,0.017381391798166886,400,0.11737864182794698,0.11737864182794698,0.10409802790054981,0.4370884640831135,0.45881350801633664,5,5,bulk_or_mixed_state
1.1,10,10,0.05793797266055629,0.017381391798166886,399,-0.11737864182794704,0.11737864182794704,0.10409802790055009,0.43708846408311375,0.45881350801633614,5,5,bulk_or_mixed_state
