v,bulk_gap,gap_kx,gap_ky,n_occ,gap_status
0.1,1.5113389222328681,-3.141592653589793,-3.141592653589793,4,gapped
0.2,1.3147228770131711,-3.141592653589793,-3.141592653589793,4,gapped
0.3,1.1190422434238938,-3.141592653589793,-3.141592653589793,4,gapped
0.4,0.9247395985822477,-3.141592653589793,-3.141592653589793,4,gapped
0.5,0.7325810821533132,-3.141592653589793,-3.141592653589793,4,gapped
0.6,0.5440047606874248,-3.141592653589793,-3.141592653589793,4,gapped
0.7,0.3620052322956887,-3.141592653589793,-3.141592653589793,4,gapped
0.8,0.19367418534244046,-3.141592653589793,-3.141592653589793,4,gapped
0.9,0.057937972660556177,-3.141592653589793,-3.141592653589793,4,gapped
1.0,7.622553749832773e-32,-3.141592653589793,-3.141592653589793,4,gap_closed
1.1,0.05793797266055629,-3.141592653589793,-3.141592653589793,4,gapped
1.2,0.1936741853424404,-3.141592653589793,-3.141592653589793,4,gapped
1.3,0.3620052322956887,-3.141592653589793,-3.141592653589793,4,gapped
1.4,0.5440047606874245,-3.141592653589793,-3.141592653589793,4,gapped
1.5,0.7325810821533132,-3.141592653589793,-3.141592653589793,4,gapped
