v,Lx,Ly,bulk_gap,energy_window,num_states_summed,min_abs_energy_in_window,max_abs_energy_in_window,W_corner_sum,W_edge_sum,W_bulk_sum,classification_sum
0.1,10,10,1.5113389222328681,0.4534016766698604,24,1.789500339494069e-17,9.388736416855811e-11,0.37890134608722037,0.6210366365236154,6.201738916441395e-05,edge_state
0.2,10,10,1.3147228770131711,0.39441686310395135,24,3.025132657465539e-14,9.275087053630435e-08,0.37528576331047325,0.6237163696781544,0.000997867011372456,edge_state
0.3,10,10,1.1190422434238938,0.3357126730271681,24,9.130718625087243e-11,5.048094780034529e-06,0.3708837587096879,0.6240510635618097,0.005065177728502283,edge_state
0.4,10,10,0.9247395985822477,0.2774218795746743,24,2.4533439308370077e-08,8.250915034781917e-05,0.3641154637048833,0.6198828826275709,0.016001653667545874,edge_state
0.5,10,10,0.7325810821533132,0.21977432464599395,24,1.6963922868779326e-06,0.0006854441756126065,0.3527280808506841,0.6084630823638011,0.03880883678551464,edge_state
0.6,10,10,0.5440047606874248,0.16320142820622743,24,4.737091840966625e-05,0.003626480811068423,0.33423742229216014,0.5860004253494671,0.07976215235837282,bulk_or_mixed_state
0.7,10,10,0.3620052322956887,0.10860156968870661,24,0.0006598064499955345,0.01358760767032381,0.30358532306528035,0.555327461814616,0.14108721512010372,bulk_or_mixed_state
0.8,10,10,0.19367418534244046,0.058102255602732134,24,0.005009455979049223,0.03785476541095651,0.2610427370237025,0.521881342835162,0.21707592014113553,bulk_or_mixed_state
0.9,10,10,0.057937972660556177,0.01738139179816685,2,0.02177402190916344,0.021774021909163686,0.24403480841438807,0.49992797105165576,0.25603722053395617,bulk_or_mixed_state
1.0,10,10,7.622553749832773e-32,0.01,2,0.05945989195019771,0.059459891950197775,0.1530663614056591,0.47634120366970983,0.3705924349246312,bulk_or_mixed_state
1.1,10,10,0.05793797266055629,0.017381391798166886,2,0.11737864182794698,0.11737864182794704,0.10409802790054995,0.43708846408311364,0.45881350801633636,bulk_or_mixed_state
1.2,10,10,0.1936741853424404,0.05810225560273212,2,0.1894381851287271,0.18943818512872712,0.07729953026421019,0.4014568009251219,0.5212436688106679,bulk_or_mixed_state
1.3,10,10,0.3620052322956887,0.10860156968870661,2,0.27031557933703754,0.27031557933703815,0.06165592268570024,0.3733003682750232,0.5650437090392763,bulk_or_mixed_state
1.4,10,10,0.5440047606874245,0.16320142820622735,2,0.35667028815637414,0.3566702881563748,0.051859689683131135,0.35173507360628725,0.5964052367105813,bulk_or_mixed_state
1.5,10,10,0.7325810821533132,0.21977432464599395,2,0.4465437809310453,0.4465437809310477,0.04533223540641036,0.33516289048004133,0.6195048741135484,bulk_or_mixed_state
