model,v,bulk_gap,energy_window_raw,energy_window_cap,energy_window,num_states_summed,min_abs_energy_in_window,max_abs_energy_in_window,W_corner_sum,W_edge_sum,W_bulk_sum,selection_mode
model_a_full_t_full_soc,0.1,0.9999999999999999,0.31999999999999995,0.2,0.02,4,0.00296879533566427,0.0035353200633839216,0.3770951309349687,0.6221139763611466,0.0007908927038847624,window_with_jump_cut
model_a_full_t_full_soc,0.2,0.7999999999999998,0.25599999999999995,0.2,0.02,4,0.003996914484675449,0.0052471235295838215,0.38906032226782356,0.6075272646963273,0.0034124130358492125,window_with_jump_cut
model_a_full_t_full_soc,0.3,0.5999999999999999,0.19199999999999995,0.19199999999999995,0.02,2,0.010233997963632446,0.010233997963632887,0.38800662463226965,0.6075601565684003,0.004433218799330057,window_with_jump_cut
model_a_full_t_full_soc,0.4,0.39999999999999936,0.1279999999999998,0.1279999999999998,0.02,2,0.0069707094133526736,0.006970709413353315,0.30227642378931574,0.6844180108467863,0.013305565363897915,window_with_jump_cut
model_a_full_t_full_soc,0.5,0.1999999999999995,0.06399999999999985,0.06399999999999985,0.02,4,0.006589351488483416,0.007611690888006863,0.3245953757476977,0.6504482596203804,0.024956364631921805,window_with_jump_cut
model_a_full_t_full_soc,0.6,1.1102230246251565e-16,0.02,0.02,0.02,2,0.00531770048331768,0.005317700483318082,0.33618298523661483,0.6083612060328549,0.05545580873053029,window_with_jump_cut
model_a_full_t_full_soc,0.7,0.19999999999999962,0.06399999999999988,0.06399999999999988,0.02,4,0.0017512647657724227,0.0031212167160472363,0.20369369642219867,0.5484200233093697,0.2478862802684317,window_with_jump_cut
model_a_full_t_full_soc,0.8,0.3371248775652853,0.1078799608208913,0.1078799608208913,0.02,2,0.002537401344073943,0.0025374013440743635,0.3171830658162085,0.5180532166903149,0.16476371749347646,window_with_jump_cut
model_a_full_t_full_soc,0.9,0.34200418485276585,0.10944133915288508,0.10944133915288508,0.02,2,0.0001480072191746869,0.00014800721917479886,0.2732863681876331,0.4828308138593556,0.24388281795301125,window_with_jump_cut
model_a_full_t_full_soc,1.0,0.1860027864671774,0.05952089166949677,0.05952089166949677,0.02,4,0.005882282699085585,0.005953175848382697,0.03972299299713232,0.4904644077476378,0.46981259925523017,window_with_jump_cut
model_a_full_t_full_soc,1.1,0.014150193346085999,0.02,0.02,0.02,2,0.03152992494396416,0.03152992494396437,0.34389764771035514,0.595259120978884,0.060843231310760866,fallback_two_closest
model_a_full_t_full_soc,1.2,0.2140069761894593,0.06848223238062698,0.06848223238062698,0.02793411916517511,2,0.027934119165174964,0.02793411916517511,0.2540647380124904,0.5926593461212079,0.15327591586630188,window_with_jump_cut
model_a_full_t_full_soc,1.3,0.19999999999999962,0.06399999999999988,0.06399999999999988,0.02,2,0.005744717376359056,0.005744717376359426,0.20138491949144574,0.5662420049974395,0.23237307551111486,window_with_jump_cut
model_a_full_t_full_soc,1.4,1.6653345369377348e-16,0.02,0.02,0.02,2,0.06225350037380792,0.06225350037380819,0.16553202484453514,0.5476366610772555,0.2868313140782092,fallback_two_closest
model_a_full_t_full_soc,1.5,0.20000000000000015,0.06400000000000004,0.06400000000000004,0.02,2,0.01422561698714936,0.014225616987150915,0.07441022388333851,0.39944782430706327,0.5261419518095984,window_with_jump_cut
model_a_full_t_full_soc,1.6,0.4000000000000003,0.12800000000000009,0.12800000000000009,0.10072887682078523,2,0.10072887682078431,0.10072887682078523,0.05840137032955468,0.36761211936234517,0.5739865103081001,window_with_jump_cut
