v,bulk_gap,num_in_gap_edge_states,max_edge_weight,min_abs_edge_energy,edge_state_present,comment
0.8,0.06686451112581511,494,0.9982641613736862,9.356551880606509e-05,1,ok
0.9,0.08585180851744766,46,0.976530913215964,1.0204432149091991e-05,1,ok
0.95,0.06589893063634722,14,0.9987637286611399,0.0002789515980419828,1,ok
1.0,0.024006289258985403,12,0.9999939254664428,0.0005682362114369956,1,finite_size_sensitive_small_bulk_gap
1.05,0.04949497369523595,0,0.9983478829736048,0.027380809704491357,0,finite_size_sensitive_small_bulk_gap
1.1,0.07776285421210197,0,0.9895179581039186,0.06626532635572202,0,ok
1.2,0.07945237645363598,0,0.994702650354364,0.21710817799269463,0,ok
