v,global_bulk_gap,direct_bulk_gap_min,M_point_gap,band_min_k,band_min_kx,band_min_ky,is_bulk_gapped_insulator
0.3,0.5999999999999999,0.5999999999999999,0.5999999999999999,"(-3.141593,-3.141593)",-3.141592653589793,-3.141592653589793,1
0.4,0.39999999999999936,0.39999999999999936,0.3999999999999997,"(-3.141593,-3.141593)",-3.141592653589793,-3.141592653589793,1
0.5,0.1999999999999995,0.1999999999999995,0.20000000000000015,"(-3.141593,-3.141593)",-3.141592653589793,-3.141592653589793,1
