v,L,corner_like_count,max_W_corner,max_W_edge,energy_at_max_corner
0.3,20,0,0.2623657082180471,0.736706708675843,0.0009593840440646825
0.3,30,0,0.19119708828207604,0.8079866736700083,-0.0003242469708158712
0.3,40,0,0.17121612749758852,0.8279358721220937,0.0012505480681360272
0.4,20,0,0.30391749949087227,0.6927934838044566,0.003102775668974026
0.4,30,0,0.2032867378063582,0.7811869748893189,0.0006320008750271294
0.4,40,0,0.1836983078837344,0.8154692563661342,0.0014004703153006578
0.5,20,0,0.2966304936345825,0.6969340245103133,-0.008485716947081631
0.5,30,0,0.19680076462591672,0.7897224980639719,0.003584854529330446
0.5,40,0,0.19112799306416442,0.8058328345331551,-3.936751496057757e-05
