v,spin,ky,energy,left_edge_weight,right_edge_weight,bulk_weight,classification
0.5,spin_up,0.0,0.01271273497934588,2.2111953822759505e-19,0.9866294187455908,0.013370581254409153,edge_state
0.5,spin_up,0.7853981633974483,0.01221176162984428,0.9881764345894506,2.9416871046812246e-23,0.011823565410549408,edge_state
0.5,spin_up,1.5707963267948966,0.00787440020587841,0.9894562056326965,1.651831194285216e-24,0.01054379436730346,edge_state
0.5,spin_down,0.0,0.01271273497934588,2.2111953822759505e-19,0.9866294187455908,0.013370581254409153,edge_state
0.5,spin_down,0.7853981633974483,-0.008845679165315885,8.390870753038304e-22,0.9846058031477316,0.015394196852268394,edge_state
0.5,spin_down,1.5707963267948966,0.007874400205878259,0.9810669496203882,3.0581677230951847e-21,0.018933050379611793,edge_state
0.8,spin_up,0.0,0.01074393671678935,0.00678483458682721,0.7517309550892672,0.24148421032390555,edge_state
0.8,spin_up,0.7853981633974483,0.010798750382002611,0.7718128365238732,1.5014261807316317e-06,0.22818566204994606,edge_state
0.8,spin_up,1.5707963267948966,0.009639089067981695,0.7879747406409583,1.1070955313122085e-07,0.21202514864948863,edge_state
0.8,spin_down,0.0,0.01074393671678935,0.00678483458682721,0.7517309550892672,0.24148421032390555,edge_state
0.8,spin_down,0.7853981633974483,-0.004263479065961133,5.427564452649284e-06,0.7438573509855484,0.25613722144999895,edge_state
0.8,spin_down,1.5707963267948966,0.009639228511933693,0.7201031976354648,2.825664042188771e-06,0.279893976700493,edge_state
