v,bulk_gap,min_abs_edge_energy,num_in_gap_edge_states,max_edge_weight,edge_state_present
0.2,1.2052599251912999,7.063051162466468e-05,644,0.9999999699065054,1
0.4,0.8185364675383158,6.855113389520356e-06,644,0.9999760981967731,1
0.5,0.6243979581602837,0.00014551671221763426,644,0.9997607293902021,1
0.6,0.4327544501730032,0.00022388911594777903,644,0.9985129924993761,1
0.8,0.07061338643397554,0.00022983138835974305,446,0.9981595725741621,1
1.0,0.024006351382206362,0.0007075603509646453,10,0.999850329646903,1
1.2,0.0859812975544466,0.22125266129857604,0,0.9948093972824079,0
