v,termination,Lx,Ly,state_index,energy,abs_energy,W_corner,W_edge,W_bulk,classification,bulk_gap_used,in_gap_window
0.5,A,10,10,362,-0.10236952240056787,0.10236952240056787,0.715661682066214,0.26193967932392764,0.022398638609859158,corner_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,363,-0.10236952240056754,0.10236952240056754,0.7156616820662144,0.26193967932392526,0.022398638609858832,corner_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,364,-0.0999819968955812,0.0999819968955812,0.6994044385005153,0.27478206794446475,0.02581349355501953,corner_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,365,-0.09998199689558064,0.09998199689558064,0.6994044385005193,0.2747820679444644,0.02581349355501935,corner_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,366,-0.09747532928843199,0.09747532928843199,0.7408208590958069,0.23943004673257576,0.019749094171617302,corner_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,367,-0.0974753292884316,0.0974753292884316,0.740820859095805,0.23943004673257706,0.019749094171617614,corner_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,368,-0.06365540596303261,0.06365540596303261,0.15794944308119932,0.7724840994206765,0.06956645749812515,edge_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,369,-0.0636554059630325,0.0636554059630325,0.15794944308119815,0.7724840994206768,0.06956645749812518,edge_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,370,-0.05895087941789193,0.05895087941789193,0.12096215078997083,0.8056500895825547,0.07338775962747372,edge_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,371,-0.058950879417891594,0.058950879417891594,0.12096215078997137,0.8056500895825549,0.07338775962747357,edge_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,372,-0.0399190885322201,0.0399190885322201,0.2530673644598048,0.6935341493221243,0.05339848621807136,edge_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,373,-0.03991908853221962,0.03991908853221962,0.2530673644598036,0.6935341493221241,0.053398486218071216,edge_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,374,-0.034325816387270607,0.034325816387270607,0.21473688238760996,0.7271635019507451,0.05809961566164642,edge_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,375,-0.03432581638727028,0.03432581638727028,0.2147368823876104,0.727163501950743,0.05809961566164635,edge_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,376,-0.024987839567228633,0.024987839567228633,0.10897591524221537,0.8203347461990258,0.07068933855875903,edge_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,377,-0.02498783956722856,0.02498783956722856,0.10897591524221106,0.8203347461990284,0.07068933855875914,edge_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,378,-0.021096920169318276,0.021096920169318276,0.15176320828161946,0.7834172348197967,0.06481955689858443,edge_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,379,-0.0210969201693182,0.0210969201693182,0.15176320828162343,0.7834172348197913,0.06481955689858411,edge_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,380,-0.017537177986342606,0.017537177986342606,0.27493130420141537,0.6800238969519116,0.04504479884667257,edge_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,381,-0.017537177986342564,0.017537177986342564,0.27493130420140977,0.6800238969519163,0.04504479884667295,edge_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,382,-0.01377787932311563,0.01377787932311563,0.2952475060262215,0.6579428418660822,0.04680965210769668,edge_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,383,-0.013777879323115116,0.013777879323115116,0.29524750602622446,0.6579428418660802,0.04680965210769629,edge_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,384,-0.007823293414585066,0.007823293414585066,0.18149922189683446,0.7628128481677028,0.055687929935462586,edge_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,385,-0.007823293414584934,0.007823293414584934,0.18149922189683512,0.7628128481677023,0.05568792993546253,edge_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,386,-0.004991332995617283,0.004991332995617283,0.14571639006524373,0.7982713496170288,0.05601226031772656,edge_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,387,-0.004991332995617075,0.004991332995617075,0.145716390065248,0.7982713496170256,0.05601226031772609,edge_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,388,-0.0007997846632955183,0.0007997846632955183,0.36584281913191086,0.597413681693415,0.036743499174673046,bulk_or_mixed_state,0.6254680554388378,0.25018722217553513
0.5,A,10,10,389,-0.0007997846632954368,0.0007997846632954368,0.36584281913191086,0.5974136816934148,0.03674349917467314,bulk_or_mixed_state,0.6254680554388378,0.25018722217553513
