v,Lx,Ly,state_index,energy,abs_energy,W_corner,W_edge,W_bulk,max_position_x,max_position_y,classification,bulk_gap_used,in_gap_window
0.3,10,10,360,-0.31622776754376064,0.31622776754376064,0.9718909707458804,0.027908673591566537,0.00020035566255412272,9,9,corner_state,1.012350382975014,0.40494015319000565
0.3,10,10,361,-0.31622776754376064,0.31622776754376064,0.9718909707458803,0.027908673591566544,0.000200355662554123,9,9,corner_state,1.012350382975014,0.40494015319000565
0.3,10,10,362,-0.10005793301356973,0.10005793301356973,0.9308343588922194,0.0680328390099946,0.001132802097786579,0,0,corner_state,1.012350382975014,0.40494015319000565
0.3,10,10,363,-0.10005793301356941,0.10005793301356941,0.9308343588921971,0.06803283901001786,0.0011328020977872148,0,0,corner_state,1.012350382975014,0.40494015319000565
0.3,10,10,364,-0.10000001270096978,0.10000001270096978,0.9135098264440835,0.0848905881801956,0.0015995853757205436,0,9,corner_state,1.012350382975014,0.40494015319000565
0.3,10,10,365,-0.10000001270096885,0.10000001270096885,0.9135098264440837,0.08489058818019592,0.0015995853757205627,9,0,corner_state,1.012350382975014,0.40494015319000565
0.3,10,10,366,-0.09994140776969719,0.09994140776969719,0.932188409581,0.06669028954699788,0.0011213008720007288,0,0,corner_state,1.012350382975014,0.40494015319000565
0.3,10,10,367,-0.09994140776969687,0.09994140776969687,0.9321884095809784,0.06669028954702047,0.0011213008720013645,0,0,corner_state,1.012350382975014,0.40494015319000565
0.3,10,10,368,-0.059129790074334304,0.059129790074334304,0.09267598671558448,0.8958383705192812,0.011485642765135001,9,5,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,369,-0.0591297900743339,0.0591297900743339,0.09267598671558094,0.8958383705192838,0.011485642765135086,9,5,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,370,-0.057568575907552454,0.057568575907552454,0.06488562860248749,0.923043495318171,0.012070876079341373,5,9,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,371,-0.05756857590755243,0.05756857590755243,0.06488562860248567,0.923043495318171,0.012070876079341422,5,9,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,372,-0.04332251056806918,0.04332251056806918,0.23387608189352033,0.7578155698570316,0.008308348249447364,7,9,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,373,-0.04332251056806916,0.04332251056806916,0.2338760818935211,0.7578155698570311,0.008308348249447397,7,9,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,374,-0.03992558077383691,0.03992558077383691,0.18538311891490614,0.8053227447009547,0.009294136384139506,9,7,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,375,-0.03992558077383674,0.03992558077383674,0.18538311891490467,0.8053227447009551,0.00929413638413954,9,7,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,376,-0.024341009696835517,0.024341009696835517,0.3037624881526546,0.688931044845948,0.007306467001398469,5,9,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,377,-0.02434100969683495,0.02434100969683495,0.30376248815266804,0.6889310448459343,0.007306467001398188,5,9,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,378,-0.023292567409448232,0.023292567409448232,0.08090611985284463,0.9085262412366236,0.010567638910532334,0,4,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,379,-0.023292567409447892,0.023292567409447892,0.08090611985282237,0.9085262412366436,0.010567638910532775,4,0,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,380,-0.022081915396321625,0.022081915396321625,0.07992814958218955,0.9101052507766112,0.009966599641198776,5,0,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,381,-0.022081915396321483,0.022081915396321483,0.0799281495822173,0.9101052507765834,0.009966599641198406,0,5,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,382,-0.020022726508368376,0.020022726508368376,0.2841658276247596,0.7088287305124916,0.00700544186274829,7,9,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,383,-0.020022726508368293,0.020022726508368293,0.2841658276247433,0.7088287305125078,0.0070054418627484025,9,7,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,384,-0.013759474866329663,0.013759474866329663,0.17777611570561835,0.8137299583042652,0.008493925990117042,2,0,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,385,-0.013759474866328919,0.013759474866328919,0.17777611570562446,0.8137299583042583,0.00849392599011688,0,2,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,386,-0.011670194474538934,0.011670194474538934,0.1264067177796167,0.8651107306718459,0.008482551548536265,0,3,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,387,-0.01167019447453891,0.01167019447453891,0.12640671777961368,0.8651107306718493,0.008482551548536398,3,0,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,388,-0.0051886176054298525,0.0051886176054298525,0.3820889407614647,0.6121737863029717,0.005737272935564535,9,1,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,389,-0.00518861760542947,0.00518861760542947,0.38208894076146427,0.612173786302971,0.00573727293556453,9,1,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,390,-0.004004561659616544,0.004004561659616544,0.32272784369953705,0.6716114246523258,0.005660731648137675,0,7,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,391,-0.00400456165961592,0.00400456165961592,0.32272784369953494,0.6716114246523268,0.005660731648137679,0,7,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,392,-0.0024050409153491287,0.0024050409153491287,0.25556263117475886,0.7377781058186137,0.0066592630066276,2,0,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,393,-0.0024050409153490502,0.0024050409153490502,0.25556263117476047,0.7377781058186114,0.006659263006627611,2,0,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,394,-0.0009752255984088204,0.0009752255984088204,0.3800434369706456,0.6152482039548137,0.004708359074541704,1,9,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,395,-0.0009752255984084962,0.0009752255984084962,0.3800434369706328,0.6152482039548248,0.004708359074541663,1,9,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,396,0.003257523640838979,0.003257523640838979,0.40172034611245433,0.5934383433401331,0.004841310547413022,1,0,bulk_or_mixed_state,1.012350382975014,0.40494015319000565
0.3,10,10,397,0.0032575236408393187,0.0032575236408393187,0.4017203461124576,0.5934383433401296,0.004841310547412965,0,1,bulk_or_mixed_state,1.012350382975014,0.40494015319000565
0.3,10,10,398,0.004268286274866429,0.004268286274866429,0.3824415588270674,0.6125310020165324,0.005027439156400438,8,0,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,399,0.0042682862748666195,0.0042682862748666195,0.3824415588270656,0.6125310020165344,0.0050274391564005426,0,8,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,400,0.008246420042099469,0.008246420042099469,0.4362725992320012,0.5594718391485225,0.0042555616194769235,0,8,bulk_or_mixed_state,1.012350382975014,0.40494015319000565
0.3,10,10,401,0.008246420042099472,0.008246420042099472,0.4362725992319965,0.5594718391485266,0.004255561619477231,8,0,bulk_or_mixed_state,1.012350382975014,0.40494015319000565
0.3,10,10,402,0.008840132370542252,0.008840132370542252,0.4613942583256333,0.5345484522320081,0.004057289442358513,1,0,bulk_or_mixed_state,1.012350382975014,0.40494015319000565
0.3,10,10,403,0.00884013237054231,0.00884013237054231,0.46139425832562797,0.5345484522320142,0.00405728944235853,1,0,bulk_or_mixed_state,1.012350382975014,0.40494015319000565
0.3,10,10,404,0.011564972015857709,0.011564972015857709,0.36052720384137954,0.6350257362746942,0.004447059883926285,0,8,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,405,0.01156497201585833,0.01156497201585833,0.3605272038413746,0.6350257362746984,0.004447059883926353,8,0,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,406,0.011867707702240585,0.011867707702240585,0.4164523800195701,0.5794475250849113,0.004100094895518615,0,1,bulk_or_mixed_state,1.012350382975014,0.40494015319000565
0.3,10,10,407,0.011867707702241492,0.011867707702241492,0.4164523800195654,0.5794475250849158,0.004100094895518469,1,0,bulk_or_mixed_state,1.012350382975014,0.40494015319000565
0.3,10,10,408,0.013063929463164266,0.013063929463164266,0.38931960279380495,0.6062964224522712,0.004383974753923984,1,9,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,409,0.013063929463164285,0.013063929463164285,0.38931960279382316,0.606296422452254,0.004383974753923913,1,9,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,410,0.013709586484485375,0.013709586484485375,0.2284454006082044,0.7660579418023592,0.00549665758943614,7,0,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,411,0.013709586484485605,0.013709586484485605,0.2284454006082144,0.7660579418023481,0.005496657589436157,7,0,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,412,0.013831244074581911,0.013831244074581911,0.27353304032440134,0.721591410132222,0.004875549543376585,0,7,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,413,0.013831244074582597,0.013831244074582597,0.2735330403244003,0.7215914101322228,0.004875549543376635,0,7,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,414,0.014841344841978901,0.014841344841978901,0.06469479400043407,0.9289985317711802,0.006306674228385219,5,0,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,415,0.014841344841979031,0.014841344841979031,0.06469479400043669,0.9289985317711782,0.0063066742283851744,5,0,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,416,0.014869432035105573,0.014869432035105573,0.08131571789206839,0.9125757095444439,0.006108572563486878,0,4,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,417,0.014869432035105778,0.014869432035105778,0.08131571789210568,0.9125757095444074,0.006108572563486517,0,4,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,418,0.016247048071551327,0.016247048071551327,0.4296917293143762,0.5663304255326912,0.003977845152932409,9,8,bulk_or_mixed_state,1.012350382975014,0.40494015319000565
0.3,10,10,419,0.016247048071551688,0.016247048071551688,0.4296917293143783,0.5663304255326878,0.003977845152932456,8,9,bulk_or_mixed_state,1.012350382975014,0.40494015319000565
0.3,10,10,420,0.029037932516498104,0.029037932516498104,0.33051596088824375,0.6651578216704541,0.004326217441302006,7,9,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,421,0.02903793251649849,0.02903793251649849,0.3305159608882457,0.6651578216704528,0.004326217441302006,7,9,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,422,0.03150522605353371,0.03150522605353371,0.3693248865037548,0.6267818577628963,0.003893255733349134,9,8,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,423,0.031505226053534265,0.031505226053534265,0.36932488650375755,0.6267818577628945,0.00389325573334915,9,8,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,424,0.04275987393619153,0.04275987393619153,0.1943236614169203,0.8010267379280289,0.004649600655047866,9,2,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,425,0.04275987393619216,0.04275987393619216,0.19432366141691712,0.8010267379280355,0.004649600655047957,9,2,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,426,0.04428981191192279,0.04428981191192279,0.2413416926133243,0.7542529795708524,0.004405327815822242,9,7,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,427,0.04428981191192289,0.04428981191192289,0.24134169261332972,0.7542529795708475,0.004405327815822185,7,9,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,428,0.05269761568303735,0.05269761568303735,0.05914924711651205,0.9357966722264017,0.005054080657085384,5,9,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,429,0.05269761568303743,0.05269761568303743,0.0591492471165119,0.9357966722264015,0.005054080657085379,9,5,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,430,0.05320279136848745,0.05320279136848745,0.08128569768952823,0.9137329367223954,0.004981365588075764,9,5,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,431,0.053202791368487476,0.053202791368487476,0.081285697689529,0.9137329367223939,0.0049813655880757155,5,9,edge_state,1.012350382975014,0.40494015319000565
0.3,10,10,432,0.09999993346492489,0.09999993346492489,0.9891062511447696,0.010878862165345869,1.488668988337474e-05,0,0,corner_state,1.012350382975014,0.40494015319000565
0.3,10,10,433,0.09999993346492501,0.09999993346492501,0.9891062511423823,0.01087886216773161,1.4886689887200258e-05,0,0,corner_state,1.012350382975014,0.40494015319000565
0.3,10,10,434,0.0999999999201997,0.0999999999201997,0.981527424328482,0.018445536410357767,2.703926115851466e-05,9,0,corner_state,1.012350382975014,0.40494015319000565
0.3,10,10,435,0.0999999999202003,0.0999999999202003,0.9815274243285743,0.018445536410265594,2.7039261158354914e-05,0,9,corner_state,1.012350382975014,0.40494015319000565
0.3,10,10,436,0.10000006555780333,0.10000006555780333,0.9892232177175255,0.010762068828368422,1.4713454106611812e-05,0,0,corner_state,1.012350382975014,0.40494015319000565
0.3,10,10,437,0.10000006555780376,0.10000006555780376,0.989223217717057,0.010762068828834638,1.471345410734121e-05,0,0,corner_state,1.012350382975014,0.40494015319000565
0.3,10,10,438,0.3162277660525464,0.3162277660525464,0.986912572970616,0.013044324321573002,4.3102707809136574e-05,9,9,corner_state,1.012350382975014,0.40494015319000565
0.3,10,10,439,0.3162277660525471,0.3162277660525471,0.9869125729706183,0.01304432432157303,4.3102707809136784e-05,9,9,corner_state,1.012350382975014,0.40494015319000565
