v,bulk_gap,p_x,p_y,p_x_class,p_y_class,polarization_type,wannier_gap_x,wannier_gap_y,nested_allowed,unitarity_error_x,unitarity_error_y
0.1,1.3957695521299236,0.5049561633628833,0.5247581435609032,nontrivial_0p5,nontrivial_0p5,2D_SSH_like_polarized,0.009444016958928048,0.004112164659328066,0,2.431908055217135e-14,2.3823940092755805e-14
0.2,1.2051681028219523,0.4950617553599904,0.4975370028847429,nontrivial_0p5,nontrivial_0p5,2D_SSH_like_polarized,0.0037141164954416217,0.005046701072660031,0,2.71081127980503e-14,2.6944424990530755e-14
0.3,1.012350382975014,0.5049715467233336,0.4925953090995712,nontrivial_0p5,nontrivial_0p5,2D_SSH_like_polarized,0.007379962986332811,0.017944077676820408,0,2.368339004184067e-14,2.3943988497536616e-14
0.4,0.817874845550107,0.495084001389787,0.5173612291125592,nontrivial_0p5,nontrivial_0p5,2D_SSH_like_polarized,0.004679042284102097,0.016932375876910155,0,2.90524767076547e-14,2.616333723757773e-14
0.5,0.6254680554388378,0.5050085430824994,0.5223352757557668,nontrivial_0p5,nontrivial_0p5,2D_SSH_like_polarized,0.011173374415872295,0.004604269889509016,0,2.6805503644128456e-14,2.5729437725650454e-14
0.6,0.4350377177202084,0.5025819044144348,0.5001066568896824,nontrivial_0p5,nontrivial_0p5,2D_SSH_like_polarized,0.006678019596034646,0.009244612179454825,0,2.8418914143776287e-14,2.655131457423061e-14
0.7,0.2480111024145765,0.49033282569822867,0.49775856827248605,nontrivial_0p5,nontrivial_0p5,2D_SSH_like_polarized,0.004495031925673132,0.0010106232090250078,0,3.079357242941663e-14,3.027975167605816e-14
0.8,0.07123465815865199,0.5081806064594736,0.48095288368719635,nontrivial_0p5,nontrivial_0p5,2D_SSH_like_polarized,0.009558399001686646,0.00387574220523601,0,3.014531852970617e-14,2.456248009896324e-14
1.0,0.024006388438083805,0.5026980329035721,0.4779455576560475,nontrivial_0p5,nontrivial_0p5,2D_SSH_like_polarized,0.010616461434998947,0.008460513018898053,0,2.6171286562745314e-14,2.216268756391789e-14
