v,t,w,lm,direct_gap,indirect_gap,kx_min,ky_min,chern_total,z2,z2_reliable,phase_label,comment,z2_wilson,z2_fu_kane,wilson_winding_kx,wilson_winding_ky,fu_kane_quality,k_u_min,k_v_min
0.0,0.3,1.0,0.0,1.4000000000000001,0.8000000000000008,0.0,0.0,-4.320593578770667e-16,0,1,trivial_insulator,z2 source=fu_kane,0,0,1.9798257762991955,-1.5467000618009656,1.3322676295501878e-15,0.0,0.0
0.01,0.3,1.0,0.0,1.3799999999999992,0.7999999999999998,3.141592653589793,3.141592653589793,-5.904595563499888e-16,0,1,trivial_insulator,z2 source=fu_kane,1,0,-1.3195860401430035,0.7381810575273208,1.1102230246251565e-15,0.5,0.5
0.02,0.3,1.0,0.0,1.3599999999999994,0.7999999999999996,3.141592653589793,3.141592653589793,3.6133424900091607e-16,0,1,trivial_insulator,z2 source=fu_kane,0,0,1.9740478276624367,0.2565057935913996,1.2212453270876722e-15,0.5,0.5
0.03,0.3,1.0,0.0,1.3399999999999999,0.8000000000000003,3.141592653589793,3.141592653589793,-2.965019718961484e-17,0,1,trivial_insulator,z2 source=fu_kane,-1,0,-0.478438751266961,-0.6443814464404467,8.881784197001252e-16,0.5,0.5
0.04,0.3,1.0,0.0,1.32,0.7999999999999996,3.141592653589793,3.141592653589793,9.364963404054107e-17,0,1,trivial_insulator,z2 source=fu_kane,-1,0,1.908229691221103,0.8425375163579042,1.7763568394002505e-15,0.5,0.5
0.05,0.3,1.0,0.0,1.3,0.7999999999999999,3.141592653589793,3.141592653589793,-1.5288294451448152e-16,0,1,trivial_insulator,z2 source=fu_kane,-1,0,1.974259167312382,-0.7042770946204162,1.1102230246251565e-15,0.5,0.5
0.06,0.3,1.0,0.0,1.2799999999999994,0.8,3.141592653589793,3.141592653589793,-7.570842225667737e-17,0,1,trivial_insulator,z2 source=fu_kane,0,0,0.19717092991110274,-0.22009393740054717,1.4432899320127035e-15,0.5,0.5
0.07,0.3,1.0,0.0,1.259999999999999,0.7999999999999992,3.141592653589793,3.141592653589793,-7.894187360126949e-17,0,1,trivial_insulator,z2 source=fu_kane,-1,0,0.4405667251300682,2.5148839660929445,9.992007221626409e-16,0.5,0.5
0.08,0.3,1.0,0.0,1.2399999999999989,0.7999999999999996,3.141592653589793,3.141592653589793,7.233144793496381e-17,0,1,trivial_insulator,z2 source=fu_kane,-1,0,2.018315749484956,-1.4969906840900435,9.992007221626409e-16,0.5,0.5
0.09,0.3,1.0,0.0,1.2199999999999993,0.8000000000000003,3.141592653589793,3.141592653589793,2.3511945643534013e-17,0,1,trivial_insulator,z2 source=fu_kane,-1,0,-0.05167107248944048,-0.9898357767893883,1.2212453270876722e-15,0.5,0.5
