lm,v,bulk_gap,spin_conserved,commutator_norm_H_sz,C_up,C_down,C_spin,C_up_rounded,C_down_rounded,C_spin_rounded,integer_error_up,integer_error_down,crossings_ref_0p45,crossings_ref_0p50,crossings_ref_0p55,Z2_crossing_raw,Z2_from_spin_chern,Z2_final,QSH_supported,warning
0.2,0.9,0.0517554350153671,1,0.0,1.943285687566802e-18,8.921584264678392e-17,-4.363627847960856e-17,0,0,0,1.943285687566802e-18,8.921584264678392e-17,65,60,74,0,0,0,0,
0.2,1.0,7.66612676291362e-32,1,0.0,2.0000000000000004,-7.067899292141149e-16,1.0000000000000007,2,0,1,4.440892098500626e-16,7.067899292141149e-16,64,66,64,0,1,1,1,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
0.2,1.1,0.05175543501536719,1,0.0,2.418340934009856e-16,2.896756656310088e-17,1.0643326341894236e-16,0,0,0,2.418340934009856e-16,2.896756656310088e-17,53,58,62,0,0,0,0,
0.2,1.2,0.17796135316705133,1,0.0,1.7075236221750039e-16,8.028223250294267e-17,4.523506485727886e-17,0,0,0,1.7075236221750039e-16,8.028223250294267e-17,68,65,67,1,0,0,0,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
0.2,1.3,0.33944487245360133,1,0.0,-3.5270248564899325e-17,-3.186078384280965e-17,-1.7047323610448388e-18,0,0,0,3.5270248564899325e-17,3.186078384280965e-17,77,71,62,1,0,0,0,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
0.2,1.4,0.5169413111928131,1,0.0,7.58044297136191e-17,7.190482611115105e-17,1.949801801234022e-18,0,0,0,7.58044297136191e-17,7.190482611115105e-17,65,64,68,0,0,0,0,
0.2,1.5,0.7024594537270662,1,0.0,9.185233496601828e-17,5.3470855533990125e-17,1.9190739716014077e-17,0,0,0,9.185233496601828e-17,5.3470855533990125e-17,98,96,89,0,0,0,0,
0.3,0.1,1.4250601321787646,1,0.0,-2.725535956638411e-16,2.396477870401799e-16,-2.561006913520105e-16,0,0,0,2.725535956638411e-16,2.396477870401799e-16,75,83,79,1,0,0,0,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
0.3,0.2,1.231030467012756,1,0.0,1.4612002397359623e-16,2.0790776167600944e-16,-3.08938688512066e-17,0,0,0,1.4612002397359623e-16,2.0790776167600944e-16,63,72,69,0,0,0,0,
0.3,0.3,1.038609815120851,1,0.0,1.8648727241736354e-16,-2.3094868495814495e-17,1.0479107045658902e-16,0,0,0,1.8648727241736354e-16,2.3094868495814495e-17,73,77,73,1,0,0,0,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
0.3,0.4,0.8485281374238569,1,0.0,6.721836002841143e-17,3.1015965092965066e-17,1.810119746772318e-17,0,0,0,6.721836002841143e-17,3.1015965092965066e-17,73,63,66,1,0,0,0,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
