ky,nu_x_1,nu_x_2,nu_x_3,nu_x_4
-3.141592653589793,0.2382617676638774,0.33685166520614185,0.6511530928632572,0.7737334742667235
-3.0793828980731637,0.20035399305807472,0.26469147186200576,0.7442355234497777,0.7907190116301418
-3.017173142556534,0.2963031422393524,0.3319240272200038,0.6618229753726723,0.7099498551679724
-2.9549633870399044,0.3319274765101378,0.3920615173180528,0.6061775319529437,0.6698334742188652
-2.892753631523275,0.2407232059941585,0.26742644566551665,0.7168761401781978,0.7749742081621267
-2.8305438760066455,0.33756879468510936,0.3702042020896327,0.6044800642042627,0.6877469390209946
-2.7683341204900156,0.0632812946968911,0.28167622760016464,0.7262963104311254,0.9287461672718189
-2.706124364973386,0.30245438505120903,0.4304100836016622,0.5821912043070696,0.6849443270400588
-2.6439146094567567,0.21329566334231811,0.2692411056198898,0.7255710953015113,0.7918921357362807
-2.581704853940127,0.31993852247111165,0.4073557074875614,0.5983861215683413,0.6743196484729861
-2.5194950984234974,0.17998848728834851,0.20855867935941685,0.787927722889257,0.8235251104629766
-2.457285342906868,0.30623599885979935,0.406005555655915,0.6019435001841773,0.6858149453001081
-2.395075587390238,0.37805134081233777,0.4440007313176281,0.562028775598679,0.615919152271355
-2.3328658318736086,0.0354106387104188,0.317894105248345,0.6820232514838223,0.9646720045574144
-2.270656076356979,0.17813622501310006,0.20185391680931666,0.7871284896201443,0.832881368557439
-2.2084463208403498,0.07782715835721495,0.24057159978769913,0.7698899894668665,0.9117112523882196
-2.1462365653237203,0.2908790456940001,0.3340876732619696,0.673356945539104,0.7016763355049258
-2.0840268098070904,0.14491122754850008,0.18971089541597777,0.8023306707564599,0.8630472062790621
-2.021817054290461,0.17765673873623197,0.38567538538363816,0.6156936082805841,0.8209742675995453
-1.9596072987738313,0.13340556938780088,0.24650858120200733,0.7673391691341876,0.8527466802760044
-1.897397543257202,0.17361421859844212,0.3725108520078704,0.6261490056408292,0.8277259237528578
-1.8351877877405722,0.08251730709845043,0.25202871700785145,0.7533183404860886,0.9121356354076091
-1.7729780322239428,0.14311097267523426,0.26255901415020944,0.7351830555813365,0.859146957593219
-1.7107682767073131,0.2259344183789876,0.3125365881463927,0.6814507348185359,0.7800782586560835
-1.6485585211906835,0.19542942913909717,0.281094161720007,0.7306833964825554,0.7927930126583406
-1.586348765674054,0.3644628525059481,0.42411576450577343,0.5661999270956081,0.6452214558926705
-1.5241390101574244,0.052857496824848145,0.12417744308674802,0.8877213534433126,0.935243706645091
-1.461929254640795,0.13769964910171548,0.31071053488133527,0.693077825437589,0.8585119905793599
-1.3997194991241653,0.18111141326458433,0.25337615882464687,0.7605587232627691,0.804953704647999
-1.3375097436075358,0.2508405770406157,0.2729411883281306,0.7143953365695546,0.7618228980616994
-1.2752999880909062,0.2798619186675049,0.32673387609233107,0.6685187342155152,0.7248854710246488
-1.2130902325742767,0.1370095047646042,0.22501822500408786,0.7739323356337684,0.8640399345975383
-1.150880477057647,0.12307083427831199,0.3207469640792846,0.6799903329338248,0.8761918687085787
-1.0886707215410176,0.28028302365061103,0.3525326453182483,0.6468343878086015,0.7203499432225398
-1.0264609660243877,0.21132091512010673,0.3177280276396795,0.6822281996584301,0.7887228575817834
-0.9642512105077583,0.17731729979307653,0.2594416802813585,0.7386288996353658,0.8246121202902
-0.9020414549911289,0.24648562474945995,0.3524382964852331,0.6457111634587908,0.7553649153065164
-0.8398316994744994,0.16060176700395884,0.433022081535237,0.5665635589475659,0.8398125925132378
-0.7776219439578695,0.2701019416891145,0.3352154136563371,0.663417292706769,0.7312653519477792
-0.7154121884412401,0.129853355181495,0.39361390958289877,0.609721190936235,0.8668115442993714
-0.6532024329246107,0.1525621643183945,0.22627214256916536,0.7693849598235577,0.8517807332888827
-0.5909926774079808,0.1006921969050465,0.2772373783477206,0.723852464382995,0.8982179603642383
-0.5287829218913513,0.32464448858986256,0.36175688666148925,0.6450564070842406,0.6685422176644074
-0.4665731663747219,0.11873785926402913,0.4277379120246567,0.571577899096001,0.881946329615314
-0.40436341085809246,0.06570540854890368,0.21974882056297454,0.7780388454297817,0.9365069254583395
-0.3421536553414626,0.11113754597744155,0.2112536903284925,0.789975154506733,0.8876336091873328
-0.27994389982483314,0.25082625332547387,0.4259810356843073,0.5752728584672174,0.7479198525230014
-0.2177341443082037,0.22213703354472306,0.3393856441749537,0.6684037694273717,0.7700735528529513
-0.15552438879157382,0.22837535496736666,0.4211908688814124,0.579667234589303,0.770766541561918
-0.09331463327494438,0.095343158299076,0.3017364013244167,0.6948045878084015,0.908115852568106
