v,bulk_gap,p_x,p_y,p_x_class,p_y_class,unitarity_error_x,unitarity_error_y,polarization_type,wannier_gap_x,wannier_gap_y,nested_allowed
0.1,0.8003576832899028,0.5,0.5,nontrivial_0p5,nontrivial_0p5,2.4656203832438173e-14,2.4433103240500974e-14,2D_SSH_like_polarized,0.2764358280094177,0.25673812147004815,1
0.2,0.7999999999999998,0.5,0.5,nontrivial_0p5,nontrivial_0p5,2.8046183978937673e-14,2.538840817920884e-14,2D_SSH_like_polarized,0.26376055440140367,0.28321064710950483,1
0.3,0.5999999999999999,0.5,0.5,nontrivial_0p5,nontrivial_0p5,2.0857716086322367e-14,2.3070978591650646e-14,2D_SSH_like_polarized,0.2833772163174876,0.25657585865837784,1
0.4,0.39999999999999936,0.5,0.5,nontrivial_0p5,nontrivial_0p5,2.527794880887161e-14,2.5556692737495322e-14,2D_SSH_like_polarized,0.279033207461745,0.2728843621577781,1
0.5,0.1999999999999995,0.5,0.5,nontrivial_0p5,nontrivial_0p5,2.2640335782267806e-14,2.2940110859956427e-14,2D_SSH_like_polarized,0.275907116573088,0.26107706393076335,1
0.6,1.1102230246251565e-16,0.5000209223524463,0.5007770582252343,nontrivial_0p5,nontrivial_0p5,2.2672005841745492e-14,2.2802362953986152e-14,2D_SSH_like_polarized,0.2691817109688778,0.2631620377603896,1
0.7,0.19999999999999962,0.5,0.5,nontrivial_0p5,nontrivial_0p5,2.5432350025420287e-14,2.5157120826180726e-14,2D_SSH_like_polarized,0.2701319962085954,0.283972086751634,1
0.8,0.21980621599375705,0.5,0.5,nontrivial_0p5,nontrivial_0p5,2.2514243816367794e-14,2.6526478024371742e-14,2D_SSH_like_polarized,0.2744389008906538,0.27782496858678274,1
1.0,0.186009279944177,0.5,0.5,nontrivial_0p5,nontrivial_0p5,2.453063852629492e-14,2.2235326603868707e-14,2D_SSH_like_polarized,0.26120608300277426,0.26470795810442005,1
