kx,nu_y_1,nu_y_2,nu_y_3,nu_y_4
-3.141592653589793,0.16292640677719702,0.27876675921360655,0.7071504006487705,0.8511564333604258
-3.0793828980731637,0.18488912290933568,0.33677663190533297,0.6602760040524844,0.8180582411328468
-3.017173142556534,0.16118598014156177,0.36937760002325454,0.6273789643736379,0.842057455461545
-2.9549633870399044,0.19321916561217362,0.21891145857915145,0.7644001067494963,0.8234692690591787
-2.892753631523275,0.18915971430148928,0.27049502481371734,0.730536775556079,0.809808485328714
-2.8305438760066455,0.19029959776364722,0.2777693679324045,0.7447466835001597,0.7871843508037886
-2.7683341204900156,0.22146181444256838,0.32610888914998054,0.679446835764538,0.7729824606429136
-2.706124364973386,0.0834783335866957,0.2587407044408704,0.7343659879071891,0.9234149740652439
-2.6439146094567567,0.122754694339892,0.26651422707044087,0.7367377701187855,0.8739933084708811
-2.581704853940127,0.21714064236000669,0.30843398080902285,0.6845517196431088,0.7898736571878617
-2.5194950984234974,0.2080625006858527,0.320972443091094,0.7183875079623538,0.7525775482606993
-2.457285342906868,0.2829348897733312,0.4534169781875086,0.5320242961434747,0.7316238358956859
-2.395075587390238,0.0925897532889213,0.3404887319420479,0.66383022711289,0.9030912876561403
-2.3328658318736086,0.0932124236529559,0.3890552159343018,0.6135641836195214,0.9041681767932207
-2.270656076356979,0.12227054654037006,0.27931261656394535,0.7313273779787779,0.8670894589169063
-2.2084463208403498,0.2911228067152928,0.3632876924912905,0.6187328398816234,0.726856660911793
-2.1462365653237203,0.07174261987631447,0.17987496978181905,0.8287655913158266,0.9196168190260403
-2.0840268098070904,0.19240593827801966,0.42998804792658635,0.5782201232348829,0.799385890560512
-2.021817054290461,0.259615593183698,0.35418819434396653,0.6614371710478362,0.7247590414244993
-1.9596072987738313,0.2298835943797081,0.30071021855938174,0.6973876906013542,0.7720184964595572
-1.897397543257202,0.17044172024496299,0.3264333874114852,0.6485392669834735,0.8545856253600788
-1.8351877877405722,0.16269229467116678,0.25993561902705065,0.7411749588524386,0.8361971274493443
-1.7729780322239428,0.1918259430526277,0.426845419519744,0.5610571930486623,0.8202714443789653
-1.7107682767073131,0.09976528691883964,0.31497881118896903,0.6974843036975806,0.8877715981946098
-1.6485585211906835,0.20809058351889817,0.37736535834589147,0.6288306717531751,0.7857133863820358
-1.586348765674054,0.20014883272925252,0.30999303099727676,0.6933813084705307,0.7964768278029397
-1.5241390101574244,0.20863146330429502,0.2561321668262241,0.7397887995182519,0.7954475703512294
-1.461929254640795,0.17925798004987764,0.28451228469657,0.7070133341073704,0.8292164011461818
-1.3997194991241653,0.2336721258209827,0.31600301460081015,0.687841810151494,0.7624830494267135
-1.3375097436075358,0.2526982220949899,0.3143825800985634,0.6805338561297756,0.7523853416766709
-1.2752999880909062,0.20393408090496887,0.28129813573700035,0.71784512504731,0.7969226583107211
-1.2130902325742767,0.1677490891492208,0.27785562488739257,0.710938106112082,0.843457179851305
-1.150880477057647,0.08257761829400621,0.37192779618654415,0.6294055691789313,0.9160890163405186
-1.0886707215410176,0.16755759122289715,0.33412686262492064,0.6914565150553103,0.8068590310968733
-1.0264609660243877,0.1990662577370136,0.2955257316228833,0.7043191438166839,0.8010888668234193
-0.9642512105077583,0.24059667490083292,0.31949396530809154,0.6830155736007292,0.7568937861903469
-0.9020414549911289,0.2617451205353691,0.3659196948105494,0.6412802580716306,0.7310549265824502
-0.8398316994744994,0.251328626593771,0.3475100918299673,0.6761246707295749,0.7250366108466866
-0.7776219439578695,0.24044966940278947,0.40724256651625407,0.5973908168423817,0.7549169472385753
-0.7154121884412401,0.15800927666001602,0.3276548862448979,0.6686338843680001,0.8457019527270864
-0.6532024329246107,0.1371740026122376,0.26583592897076536,0.7320629147271681,0.864927153689829
-0.5909926774079808,0.17781517310795444,0.24284597304341266,0.7567532199648545,0.8225856338837778
-0.5287829218913513,0.24779876586896177,0.3366274358648941,0.662220441606157,0.7533533566599872
-0.4665731663747219,0.30153703402606413,0.33962843414458554,0.6636589028451618,0.6951756289841884
-0.40436341085809246,0.12007763624181608,0.32941166405025535,0.6725575906981326,0.877953109009795
-0.3421536553414626,0.11534611879711225,0.44476505756585594,0.5525412757414675,0.8873475478955637
-0.27994389982483314,0.08894287051558991,0.1251162956591378,0.8329353557121421,0.9530054781131301
-0.2177341443082037,0.34502878870714754,0.4089771540075336,0.5904089008526324,0.6555851564326864
-0.15552438879157382,0.12775169934716638,0.22764677621356205,0.7733820817156921,0.871219442723579
-0.09331463327494438,0.07969021999791905,0.28620777155759736,0.7097255816404913,0.9243764268039916
-0.03110487775831494,0.11955680112762286,0.27969600763260466,0.7184338579243412,0.8823133333154308
0.031104877758314498,0.21707386713033747,0.2999147692080746,0.7024175754386766,0.7805937882229117
0.09331463327494438,0.2523058523703579,0.3487715401641199,0.667411325723267,0.7315112817422562
0.15552438879157382,0.14006064201910115,0.17067127973168547,0.823295224394918,0.8659728538542956
0.21773414430820326,0.07910810528820131,0.26043592815258565,0.743106549723559,0.9173494168356546
0.2799438998248327,0.20955860809830387,0.23733435641602638,0.7526937280533089,0.8004133074323609
0.3421536553414626,0.1426852499752871,0.18382626063396168,0.8187571270257277,0.8547313623650231
0.404363410858092,0.20874729480803567,0.2446616441580098,0.7482385496512272,0.7983525113827279
0.46657316637472146,0.11424219643167406,0.23753666077878277,0.7574687418271422,0.8907524009624009
0.5287829218913513,0.22973305617016757,0.3580179863123964,0.6466122061109537,0.7656367514064819
0.5909926774079808,0.05900249768524385,0.3269046184413887,0.6594863918548819,0.9546064920184849
0.6532024329246102,0.07847484817580022,0.2985845911972677,0.7015387040817691,0.9214018565451633
0.7154121884412397,0.12577422935108662,0.2526139680891467,0.7646163768750414,0.856995425684725
0.7776219439578695,0.11142503799209906,0.2022015846879528,0.7875771361317068,0.8987962411882415
0.839831699474499,0.166280009558714,0.35088127966845456,0.6506077990840828,0.8322309116887489
0.9020414549911289,0.35711624527799024,0.41884434333604964,0.5680630220398303,0.6559763893461296
0.9642512105077579,0.259677895188085,0.33842976196132196,0.6689412548624231,0.7329510879881702
1.0264609660243877,0.15927449563654733,0.467553881230932,0.5288890792611401,0.8442825438713808
1.0886707215410176,0.2178858070202535,0.2974725546552194,0.7036012635509835,0.781040374773544
1.1508804770576466,0.18067969290258523,0.3073946088114922,0.6784825151057416,0.8334431831801806
1.2130902325742765,0.13989317169042637,0.22804607565389248,0.7874327834177386,0.8446279692379427
1.2752999880909055,0.20020487725054995,0.28726646033998743,0.7387688018505423,0.7737598605589208
1.3375097436075354,0.09050015795871012,0.2901877603353251,0.7222093139908614,0.897102767715103
1.3997194991241653,0.24000583127658906,0.366791435994279,0.6575770865663892,0.7356256461627418
1.4619292546407943,0.28835964684722043,0.318851362983014,0.6836367540144612,0.7091522361553042
1.5241390101574241,0.19358175620431523,0.2800518461215431,0.7195321752342834,0.8068342224398581
1.586348765674054,0.3302361672585858,0.37058885352667814,0.6033749978971342,0.6957999813176015
1.648558521190683,0.1130680591012707,0.3391971058519059,0.654852817067683,0.8928820179791411
1.710768276707313,0.2514937222087376,0.31939393547498823,0.6628885659540227,0.7662237763622515
1.7729780322239428,0.19765201881577182,0.3847841021207395,0.6124832159337384,0.8050806631297506
1.8351877877405718,0.22955143784297488,0.3368305109020462,0.6574511913722164,0.7761668598827628
1.8973975432572017,0.26043287365659257,0.3205583315526108,0.6659575943188099,0.7530512004719865
1.9596072987738316,0.20769962011948137,0.29218194512845486,0.7007552850024008,0.7993631497496633
2.0218170542904605,0.07146963470416716,0.25792893863534344,0.7644038473777123,0.9061975792827776
2.0840268098070904,0.23707863557787412,0.29736024082408397,0.6813042914666696,0.7842568321313729
2.1462365653237194,0.1850721030249069,0.21787994180312767,0.766880789702782,0.8301671654691843
2.2084463208403493,0.12516250494177839,0.2288077807457683,0.7844248362297689,0.8616048780826848
2.270656076356979,0.25626849925926143,0.3651175932870781,0.6233874412436592,0.7552264662100012
2.332865831873608,0.17818950963235244,0.27223646770273713,0.7371269928031247,0.8124470298617854
2.395075587390238,0.2823724157044667,0.4159970433787561,0.5848487556302957,0.7167817852864821
2.457285342906868,0.23635473297832332,0.2994172335230225,0.6959971051103442,0.7682309283883103
2.519495098423497,0.17294529428893216,0.3310500938307085,0.6469368120300553,0.8490677998503036
2.581704853940127,0.1238111763768867,0.37865143633374093,0.6164147145924763,0.8811226726968964
2.6439146094567567,0.17872434545974028,0.3804383791419548,0.6151888437303275,0.8256484316679779
2.7061243649733857,0.06722237384908179,0.34304341825943624,0.6564228619112835,0.933311345980198
2.7683341204900156,0.09456091441301676,0.33002949613234217,0.6771415566585153,0.8982680327961257
2.8305438760066455,0.15653029670830773,0.24123899282158037,0.7528426697219619,0.8493880407481503
2.8927536315232745,0.20964994333559897,0.2684468156001407,0.7170451438424796,0.8048580972217811
2.9549633870399044,0.25943015218936727,0.33213990776479063,0.6624483972471199,0.7459815427987232
3.0171731425565333,0.23255449847900966,0.3736014721494339,0.6252116449152418,0.7686323844563152
3.0793828980731632,0.14181300545871614,0.346038857732526,0.6452746308189451,0.8668735059898119
