kx,ky,err_H0,err_H_chiral,block_reconstruction_err
-3.141592653589793,-3.141592653589793,0.914991421995628,0.0,0.0
-3.141592653589793,-3.0793828980731637,0.9139641070386163,0.0,0.0
-3.141592653589793,-3.017173142556534,0.9109067283953687,0.0,0.0
-3.141592653589793,-2.9549633870399044,0.9058914420897225,0.0,0.0
-3.141592653589793,-2.892753631523275,0.8990335522786694,0.0,0.0
-3.141592653589793,-2.8305438760066455,0.8904846931607898,0.0,0.0
-3.141592653589793,-2.7683341204900156,0.8804243945080626,0.0,0.0
-3.141592653589793,-2.706124364973386,0.8690508941833424,0.0,0.0
-3.141592653589793,-2.6439146094567567,0.856572028505453,0.0,0.0
-3.141592653589793,-2.581704853940127,0.8431968905852386,0.0,0.0
-3.141592653589793,-2.5194950984234974,0.8291287422264166,0.0,0.0
-3.141592653589793,-2.457285342906868,0.8145594435907775,0.0,0.0
-3.141592653589793,-2.395075587390238,0.7996654646256826,0.0,0.0
-3.141592653589793,-2.3328658318736086,0.7846053867001345,0.0,0.0
-3.141592653589793,-2.270656076356979,0.769518700578906,0.0,0.0
-3.141592653589793,-2.2084463208403498,0.7545256548292415,0.0,0.0
-3.141592653589793,-2.1462365653237203,0.7397278972053394,0.0,0.0
-3.141592653589793,-2.0840268098070904,0.7252096681844704,0.0,0.0
-3.141592653589793,-2.021817054290461,0.7110393389012243,0.0,0.0
-3.141592653589793,-1.9596072987738313,0.6972711257627052,0.0,0.0
-3.141592653589793,-1.897397543257202,0.6839468543419359,0.0,0.0
-3.141592653589793,-1.8351877877405722,0.6710976816619217,0.0,0.0
-3.141592653589793,-1.7729780322239428,0.6587457166922701,0.0,0.0
-3.141592653589793,-1.7107682767073131,0.6469055032261836,0.0,0.0
-3.141592653589793,-1.6485585211906835,0.6355853476230435,0.0,0.0
-3.141592653589793,-1.586348765674054,0.6247884869899918,0.0,0.0
-3.141592653589793,-1.5241390101574244,0.6145141022045648,0.0,0.0
-3.141592653589793,-1.461929254640795,0.6047581857092594,0.0,0.0
-3.141592653589793,-1.3997194991241653,0.5955142770919718,0.0,0.0
-3.141592653589793,-1.3375097436075358,0.58677408081295,0.0,0.0
-3.141592653589793,-1.2752999880909062,0.5785279806090905,0.0,0.0
-3.141592653589793,-1.2130902325742767,0.5707654645240541,0.0,0.0
-3.141592653589793,-1.150880477057647,0.5634754734870665,0.0,0.0
-3.141592653589793,-1.0886707215410176,0.5566466851121488,0.0,0.0
-3.141592653589793,-1.0264609660243877,0.5502677430602431,0.0,0.0
-3.141592653589793,-0.9642512105077583,0.5443274409944746,0.0,0.0
-3.141592653589793,-0.9020414549911289,0.5388148689212773,0.0,0.0
-3.141592653589793,-0.8398316994744994,0.5337195285787442,0.0,0.0
-3.141592653589793,-0.7776219439578695,0.5290314235221126,0.0,0.0
-3.141592653589793,-0.7154121884412401,0.5247411286669956,0.0,0.0
-3.141592653589793,-0.6532024329246107,0.5208398432789717,0.0,0.0
-3.141592653589793,-0.5909926774079808,0.51731943073458,0.0,0.0
-3.141592653589793,-0.5287829218913513,0.5141724478127041,0.0,0.0
-3.141592653589793,-0.4665731663747219,0.511392165795277,0.0,0.0
-3.141592653589793,-0.40436341085809246,0.5089725852507534,0.0,0.0
-3.141592653589793,-0.3421536553414626,0.506908446032196,0.0,0.0
-3.141592653589793,-0.27994389982483314,0.5051952337342006,0.0,0.0
-3.141592653589793,-0.2177341443082037,0.5038291836103962,0.0,0.0
-3.141592653589793,-0.15552438879157382,0.502807282747955,0.0,0.0
-3.141592653589793,-0.09331463327494438,0.5021272711204107,0.0,0.0
-3.141592653589793,-0.03110487775831494,0.5017876419888777,0.0,0.0
-3.141592653589793,0.031104877758314498,0.5017876419888777,0.0,0.0
-3.141592653589793,0.09331463327494438,0.5021272711204107,0.0,0.0
-3.141592653589793,0.15552438879157382,0.502807282747955,0.0,0.0
-3.141592653589793,0.21773414430820326,0.5038291836103963,0.0,0.0
-3.141592653589793,0.2799438998248327,0.5051952337342006,0.0,0.0
-3.141592653589793,0.3421536553414626,0.506908446032196,0.0,0.0
-3.141592653589793,0.404363410858092,0.5089725852507534,0.0,0.0
-3.141592653589793,0.46657316637472146,0.5113921657952769,0.0,0.0
-3.141592653589793,0.5287829218913513,0.5141724478127041,0.0,0.0
-3.141592653589793,0.5909926774079808,0.51731943073458,0.0,0.0
-3.141592653589793,0.6532024329246102,0.5208398432789718,0.0,0.0
-3.141592653589793,0.7154121884412397,0.5247411286669955,0.0,0.0
-3.141592653589793,0.7776219439578695,0.5290314235221126,0.0,0.0
-3.141592653589793,0.839831699474499,0.5337195285787442,0.0,0.0
-3.141592653589793,0.9020414549911289,0.5388148689212773,0.0,0.0
-3.141592653589793,0.9642512105077579,0.5443274409944745,0.0,0.0
-3.141592653589793,1.0264609660243877,0.5502677430602431,0.0,0.0
-3.141592653589793,1.0886707215410176,0.5566466851121488,0.0,0.0
-3.141592653589793,1.1508804770576466,0.5634754734870665,0.0,0.0
-3.141592653589793,1.2130902325742765,0.5707654645240541,0.0,0.0
-3.141592653589793,1.2752999880909055,0.5785279806090905,0.0,0.0
-3.141592653589793,1.3375097436075354,0.58677408081295,0.0,0.0
-3.141592653589793,1.3997194991241653,0.5955142770919718,0.0,0.0
-3.141592653589793,1.4619292546407943,0.6047581857092593,0.0,0.0
-3.141592653589793,1.5241390101574241,0.6145141022045648,0.0,0.0
-3.141592653589793,1.586348765674054,0.6247884869899918,0.0,0.0
-3.141592653589793,1.648558521190683,0.6355853476230435,0.0,0.0
-3.141592653589793,1.710768276707313,0.6469055032261835,0.0,0.0
-3.141592653589793,1.7729780322239428,0.6587457166922701,0.0,0.0
-3.141592653589793,1.8351877877405718,0.6710976816619217,0.0,0.0
-3.141592653589793,1.8973975432572017,0.6839468543419359,0.0,0.0
-3.141592653589793,1.9596072987738316,0.6972711257627052,0.0,0.0
-3.141592653589793,2.0218170542904605,0.7110393389012242,0.0,0.0
-3.141592653589793,2.0840268098070904,0.7252096681844704,0.0,0.0
-3.141592653589793,2.1462365653237194,0.7397278972053393,0.0,0.0
-3.141592653589793,2.2084463208403493,0.7545256548292415,0.0,0.0
-3.141592653589793,2.270656076356979,0.769518700578906,0.0,0.0
-3.141592653589793,2.332865831873608,0.7846053867001344,0.0,0.0
-3.141592653589793,2.395075587390238,0.7996654646256826,0.0,0.0
-3.141592653589793,2.457285342906868,0.8145594435907775,0.0,0.0
-3.141592653589793,2.519495098423497,0.8291287422264165,0.0,0.0
-3.141592653589793,2.581704853940127,0.8431968905852386,0.0,0.0
-3.141592653589793,2.6439146094567567,0.856572028505453,0.0,0.0
-3.141592653589793,2.7061243649733857,0.8690508941833421,0.0,0.0
-3.141592653589793,2.7683341204900156,0.8804243945080626,0.0,0.0
-3.141592653589793,2.8305438760066455,0.8904846931607898,0.0,0.0
-3.141592653589793,2.8927536315232745,0.8990335522786694,0.0,0.0
-3.141592653589793,2.9549633870399044,0.9058914420897225,0.0,0.0
-3.141592653589793,3.0171731425565333,0.9109067283953687,0.0,0.0
-3.141592653589793,3.0793828980731632,0.9139641070386163,0.0,0.0
-3.0793828980731637,-3.141592653589793,0.9139641070386163,0.0,0.0
-3.0793828980731637,-3.0793828980731637,0.9129402446112984,0.0,0.0
-3.0793828980731637,-3.017173142556534,0.9098930952887108,0.0,0.0
-3.0793828980731637,-2.9549633870399044,0.9048944413394892,0.0,0.0
-3.0793828980731637,-2.892753631523275,0.8980589991391109,0.0,0.0
-3.0793828980731637,-2.8305438760066455,0.8895376482777391,0.0,0.0
-3.0793828980731637,-2.7683341204900156,0.8795090534385414,0.0,0.0
-3.0793828980731637,-2.706124364973386,0.8681705352839937,0.0,0.0
-3.0793828980731637,-2.6439146094567567,0.8557290148658746,0.0,0.0
-3.0793828980731637,-2.581704853940127,0.8423927170341314,0.0,0.0
-3.0793828980731637,-2.5194950984234974,0.8283641158761591,0.0,0.0
-3.0793828980731637,-2.457285342906868,0.8138343858060818,0.0,0.0
-3.0793828980731637,-2.395075587390238,0.7989794232680294,0.0,0.0
-3.0793828980731637,-2.3328658318736086,0.7839573494359328,0.0,0.0
-3.0793828980731637,-2.270656076356979,0.7689073023921144,0.0,0.0
-3.0793828980731637,-2.2084463208403498,0.7539492752153816,0.0,0.0
-3.0793828980731637,-2.1462365653237203,0.7391847445653611,0.0,0.0
-3.0793828980731637,-2.0840268098070904,0.7246978505495353,0.0,0.0
-3.0793828980731637,-2.021817054290461,0.7105569212778193,0.0,0.0
-3.0793828980731637,-1.9596072987738313,0.6968161751347496,0.0,0.0
-3.0793828980731637,-1.897397543257202,0.6835174737794555,0.0,0.0
-3.0793828980731637,-1.8351877877405722,0.6706920351497111,0.0,0.0
-3.0793828980731637,-1.7729780322239428,0.658362046285361,0.0,0.0
-3.0793828980731637,-1.7107682767073131,0.6465421400266899,0.0,0.0
-3.0793828980731637,-1.6485585211906835,0.6352407179040855,0.0,0.0
-3.0793828980731637,-1.586348765674054,0.6244611146013876,0.0,0.0
-3.0793828980731637,-1.5241390101574244,0.6142026082042314,0.0,0.0
-3.0793828980731637,-1.461929254640795,0.6044612859870653,0.0,0.0
-3.0793828980731637,-1.3997194991241653,0.5952307785958985,0.0,0.0
-3.0793828980731637,-1.3375097436075358,0.586502876853265,0.0,0.0
-3.0793828980731637,-1.2752999880909062,0.5782680456045568,0.0,0.0
-3.0793828980731637,-1.2130902325742767,0.570515848463219,0.0,0.0
-3.0793828980731637,-1.150880477057647,0.5632352963048839,0.0,0.0
-3.0793828980731637,-1.0886707215410176,0.5564151311248805,0.0,0.0
-3.0793828980731637,-1.0264609660243877,0.5500440555571121,0.0,0.0
-3.0793828980731637,-0.9642512105077583,0.5441109170505187,0.0,0.0
-3.0793828980731637,-0.9020414549911289,0.5386048544701778,0.0,0.0
-3.0793828980731637,-0.8398316994744994,0.5335154137653257,0.0,0.0
-3.0793828980731637,-0.7776219439578695,0.5288326383402635,0.0,0.0
-3.0793828980731637,-0.7154121884412401,0.5245471388787563,0.0,0.0
-3.0793828980731637,-0.6532024329246107,0.520650146603554,0.0,0.0
-3.0793828980731637,-0.5909926774079808,0.5171335532913296,0.0,0.0
-3.0793828980731637,-0.5287829218913513,0.5139899407989562,0.0,0.0
-3.0793828980731637,-0.4665731663747219,0.5112126023781891,0.0,0.0
-3.0793828980731637,-0.40436341085809246,0.5087955576512065,0.0,0.0
