kx,ky,err_H0,err_H_chiral,block_reconstruction_err
-3.141592653589793,-3.141592653589793,1.1547005383792515,0.0,0.0
-3.141592653589793,-3.0793828980731637,1.1518159039033837,0.0,0.0
-3.141592653589793,-3.017173142556534,1.143300882919719,0.0,0.0
-3.141592653589793,-2.9549633870399044,1.129554328003702,0.0,0.0
-3.141592653589793,-2.892753631523275,1.111185991869671,0.0,0.0
-3.141592653589793,-2.8305438760066455,1.0889474679439686,0.0,0.0
-3.141592653589793,-2.7683341204900156,1.063657332523702,0.0,0.0
-3.141592653589793,-2.706124364973386,1.0361331708203025,0.0,0.0
-3.141592653589793,-2.6439146094567567,1.0071387493184236,0.0,0.0
-3.141592653589793,-2.581704853940127,0.9773494521509767,0.0,0.0
-3.141592653589793,-2.5194950984234974,0.9473349443909469,0.0,0.0
-3.141592653589793,-2.457285342906868,0.9175555984570707,0.0,0.0
-3.141592653589793,-2.395075587390238,0.8883684210272058,0.0,0.0
-3.141592653589793,-2.3328658318736086,0.8600385270656735,0.0,0.0
-3.141592653589793,-2.270656076356979,0.8327530565193024,0.0,0.0
-3.141592653589793,-2.2084463208403498,0.8066353955776383,0.0,0.0
-3.141592653589793,-2.1462365653237203,0.7817584121545913,0.0,0.0
-3.141592653589793,-2.0840268098070904,0.7581560553157345,0.0,0.0
-3.141592653589793,-2.021817054290461,0.7358330994463576,0.0,0.0
-3.141592653589793,-1.9596072987738313,0.7147730742046386,0.0,0.0
-3.141592653589793,-1.897397543257202,0.6949445584010708,0.0,0.0
-3.141592653589793,-1.8351877877405722,0.6763060724209332,0.0,0.0
-3.141592653589793,-1.7729780322239428,0.6588098121176832,0.0,0.0
-3.141592653589793,-1.7107682767073131,0.6424044496411738,0.0,0.0
-3.141592653589793,-1.6485585211906835,0.6270371976819838,0.0,0.0
-3.141592653589793,-1.586348765674054,0.612655301516692,0.0,0.0
-3.141592653589793,-1.5241390101574244,0.5992070925482513,0.0,0.0
-3.141592653589793,-1.461929254640795,0.5866427098559337,0.0,0.0
-3.141592653589793,-1.3997194991241653,0.574914573300591,0.0,0.0
-3.141592653589793,-1.3375097436075358,0.5639776729170809,0.0,0.0
-3.141592653589793,-1.2752999880909062,0.5537897242497922,0.0,0.0
-3.141592653589793,-1.2130902325742767,0.5443112273992466,0.0,0.0
-3.141592653589793,-1.150880477057647,0.535505458286866,0.0,0.0
-3.141592653589793,-1.0886707215410176,0.5273384134986863,0.0,0.0
-3.141592653589793,-1.0264609660243877,0.5197787245962687,0.0,0.0
-3.141592653589793,-0.9642512105077583,0.5127975536191854,0.0,0.0
-3.141592653589793,-0.9020414549911289,0.506368478353371,0.0,0.0
-3.141592653589793,-0.8398316994744994,0.5004673735693294,0.0,0.0
-3.141592653589793,-0.7776219439578695,0.4950722926603878,0.0,0.0
-3.141592653589793,-0.7154121884412401,0.4901633527916249,0.0,0.0
-3.141592653589793,-0.6532024329246107,0.48572262569519375,0.0,0.0
-3.141592653589793,-0.5909926774079808,0.48173403553350536,0.0,0.0
-3.141592653589793,-0.5287829218913513,0.47818326473405287,0.0,0.0
