point_id,v,t,lm,w,status,chern,z2,wilson,topology_status
v_0p70_t_0p50_lm_0p10,0.7,0.5,0.1,1.3,ok,3.023078603775863e-16,1,-0.9726210687570239,ok
v_0p70_t_0p50_lm_0p20,0.7,0.5,0.2,1.3,ok,-3.1276404829959714e-16,1,-0.8367282877825787,ok
v_0p70_t_0p50_lm_0p30,0.7,0.5,0.3,1.3,ok,6.649600622101297e-17,1,-1.069199427588682,ok
v_0p70_t_0p50_lm_0p40,0.7,0.5,0.4,1.3,ok,-1.4995810219377512e-17,0,1.9960369082929978,ok
v_0p70_t_0p50_lm_0p50,0.7,0.5,0.5,1.3,ok,-1.3848964345345464e-16,1,0.75379263656723,ok
v_0p80_t_0p50_lm_0p00,0.8,0.5,0.0,1.2,ok,-6.222222839059023e-17,1,-2.5250575416255665,ok
v_0p80_t_0p50_lm_0p10,0.8,0.5,0.1,1.2,ok,2.300126766501222e-16,1,1.123513612928537,ok
v_0p80_t_0p50_lm_0p20,0.8,0.5,0.2,1.2,ok,5.713181819195338e-17,1,-1.2755312187107823,ok
v_0p80_t_0p50_lm_0p30,0.8,0.5,0.3,1.2,ok,2.5593260318595935e-16,1,1.166301025173239,ok
v_0p80_t_0p50_lm_0p40,0.8,0.5,0.4,1.2,ok,-9.255766151337647e-17,1,-0.9598075069860618,ok
v_0p80_t_0p50_lm_0p50,0.8,0.5,0.5,1.2,ok,-1.6389250160536648e-16,1,0.8203710822493647,ok
v_0p90_t_0p50_lm_0p00,0.9,0.5,0.0,1.1,ok,9.305994957682824e-17,0,-2.1609807283473175,ok
v_0p90_t_0p50_lm_0p10,0.9,0.5,0.1,1.1,ok,2.06228808695378e-16,1,1.0639008794627014,ok
v_0p90_t_0p50_lm_0p20,0.9,0.5,0.2,1.1,ok,-4.441649548505126e-17,0,2.1093883938796214,ok
v_0p90_t_0p50_lm_0p30,0.9,0.5,0.3,1.1,ok,-4.9680818339204074e-17,1,2.8565045672784413,ok
v_0p90_t_0p50_lm_0p40,0.9,0.5,0.4,1.1,ok,2.3301289057219085e-17,0,-0.1419614834789964,ok
v_0p90_t_0p50_lm_0p50,0.9,0.5,0.5,1.1,ok,7.317835458051227e-17,1,1.1015953386382926,ok
v_1p00_t_0p50_lm_0p00,1.0,0.5,0.0,1.0,ok,6.36737338195123e-17,1,-0.9617199024770835,ok
v_1p00_t_0p50_lm_0p10,1.0,0.5,0.1,1.0,ok,-1.4416327019495353e-16,1,0.6495333710308122,ok
v_1p00_t_0p50_lm_0p20,1.0,0.5,0.2,1.0,ok,-1.7713081590498925e-17,1,1.4049821426937201,ok
v_1p00_t_0p50_lm_0p30,1.0,0.5,0.3,1.0,ok,-1.5637454690778453e-16,0,0.046579352970934865,ok
v_1p00_t_0p50_lm_0p40,1.0,0.5,0.4,1.0,ok,-3.3022580018934083e-16,1,1.2778421701884743,ok
v_1p00_t_0p50_lm_0p50,1.0,0.5,0.5,1.0,ok,1.369329814366105e-16,1,-1.2205433920803637,ok
v_1p10_t_0p50_lm_0p00,1.1,0.5,0.0,0.8999999999999999,ok,-1.0641190700550177e-16,1,-1.1597182472124274,ok
v_1p10_t_0p50_lm_0p10,1.1,0.5,0.1,0.8999999999999999,ok,-5.207164973174292e-16,0,-0.10888365923739833,ok
v_1p10_t_0p50_lm_0p20,1.1,0.5,0.2,0.8999999999999999,ok,-1.1267469930180668e-16,1,1.4922504110034887,ok
v_1p10_t_0p50_lm_0p30,1.1,0.5,0.3,0.8999999999999999,ok,-2.0502229515111894e-16,0,-0.18135526923855047,ok
v_1p10_t_0p50_lm_0p40,1.1,0.5,0.4,0.8999999999999999,ok,1.9119646169691056e-16,1,0.6678455954872183,ok
v_1p10_t_0p50_lm_0p50,1.1,0.5,0.5,0.8999999999999999,ok,8.388285151258499e-17,0,-1.9414817708227918,ok
v_1p20_t_0p50_lm_0p00,1.2,0.5,0.0,0.8,ok,1.9285873312583447e-16,1,1.4257568058333758,ok
v_1p20_t_0p50_lm_0p10,1.2,0.5,0.1,0.8,ok,-7.237263273900457e-18,1,-1.1446069243425794,ok
v_1p20_t_0p50_lm_0p20,1.2,0.5,0.2,0.8,ok,-2.227876895073707e-16,1,0.8882516494576871,ok
v_1p20_t_0p50_lm_0p30,1.2,0.5,0.3,0.8,ok,1.6372119972193936e-16,1,1.4393534743819818,ok
v_1p20_t_0p50_lm_0p40,1.2,0.5,0.4,0.8,ok,3.114432866523564e-16,0,-0.12340629232523903,ok
v_1p20_t_0p50_lm_0p50,1.2,0.5,0.5,0.8,ok,-3.7381320361700496e-17,0,0.4682418922670692,ok
v_1p30_t_0p50_lm_0p00,1.3,0.5,0.0,0.7,ok,-1.8162164841133095e-16,0,-0.023670575320475774,ok
v_1p30_t_0p50_lm_0p10,1.3,0.5,0.1,0.7,ok,-2.0459753621882465e-16,1,0.9521596417230569,ok
v_1p30_t_0p50_lm_0p20,1.3,0.5,0.2,0.7,ok,-2.6027060978553727e-17,1,-0.7039065586404538,ok
