v_group,point_id,v,t,lm,w,status,band_path,ribbon_path
v_1p30,v_1p30_t_0p50_lm_0p00,1.3,0.5,0.0,0.7,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_1p30/v_1p30_t_0p50_lm_0p00/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_1p30/v_1p30_t_0p50_lm_0p00/ribbon.png
v_1p30,v_1p30_t_0p50_lm_0p10,1.3,0.5,0.1,0.7,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_1p30/v_1p30_t_0p50_lm_0p10/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_1p30/v_1p30_t_0p50_lm_0p10/ribbon.png
v_1p30,v_1p30_t_0p50_lm_0p20,1.3,0.5,0.2,0.7,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_1p30/v_1p30_t_0p50_lm_0p20/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_1p30/v_1p30_t_0p50_lm_0p20/ribbon.png
v_1p30,v_1p30_t_0p50_lm_0p30,1.3,0.5,0.3,0.7,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_1p30/v_1p30_t_0p50_lm_0p30/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_1p30/v_1p30_t_0p50_lm_0p30/ribbon.png
v_1p30,v_1p30_t_0p50_lm_0p40,1.3,0.5,0.4,0.7,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_1p30/v_1p30_t_0p50_lm_0p40/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_1p30/v_1p30_t_0p50_lm_0p40/ribbon.png
v_1p30,v_1p30_t_0p50_lm_0p50,1.3,0.5,0.5,0.7,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_1p30/v_1p30_t_0p50_lm_0p50/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_1p30/v_1p30_t_0p50_lm_0p50/ribbon.png
v_1p40,v_1p40_t_0p50_lm_0p00,1.4,0.5,0.0,0.6000000000000001,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_1p40/v_1p40_t_0p50_lm_0p00/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_1p40/v_1p40_t_0p50_lm_0p00/ribbon.png
v_1p40,v_1p40_t_0p50_lm_0p10,1.4,0.5,0.1,0.6000000000000001,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_1p40/v_1p40_t_0p50_lm_0p10/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_1p40/v_1p40_t_0p50_lm_0p10/ribbon.png
v_1p40,v_1p40_t_0p50_lm_0p20,1.4,0.5,0.2,0.6000000000000001,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_1p40/v_1p40_t_0p50_lm_0p20/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_1p40/v_1p40_t_0p50_lm_0p20/ribbon.png
v_1p40,v_1p40_t_0p50_lm_0p30,1.4,0.5,0.3,0.6000000000000001,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_1p40/v_1p40_t_0p50_lm_0p30/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_1p40/v_1p40_t_0p50_lm_0p30/ribbon.png
v_1p40,v_1p40_t_0p50_lm_0p40,1.4,0.5,0.4,0.6000000000000001,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_1p40/v_1p40_t_0p50_lm_0p40/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_1p40/v_1p40_t_0p50_lm_0p40/ribbon.png
v_1p40,v_1p40_t_0p50_lm_0p50,1.4,0.5,0.5,0.6000000000000001,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_1p40/v_1p40_t_0p50_lm_0p50/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_1p40/v_1p40_t_0p50_lm_0p50/ribbon.png
v_1p50,v_1p50_t_0p50_lm_0p00,1.5,0.5,0.0,0.5,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_1p50/v_1p50_t_0p50_lm_0p00/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_1p50/v_1p50_t_0p50_lm_0p00/ribbon.png
v_1p50,v_1p50_t_0p50_lm_0p10,1.5,0.5,0.1,0.5,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_1p50/v_1p50_t_0p50_lm_0p10/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_1p50/v_1p50_t_0p50_lm_0p10/ribbon.png
v_1p50,v_1p50_t_0p50_lm_0p20,1.5,0.5,0.2,0.5,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_1p50/v_1p50_t_0p50_lm_0p20/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_1p50/v_1p50_t_0p50_lm_0p20/ribbon.png
v_1p50,v_1p50_t_0p50_lm_0p30,1.5,0.5,0.3,0.5,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_1p50/v_1p50_t_0p50_lm_0p30/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_1p50/v_1p50_t_0p50_lm_0p30/ribbon.png
v_1p50,v_1p50_t_0p50_lm_0p40,1.5,0.5,0.4,0.5,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_1p50/v_1p50_t_0p50_lm_0p40/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_1p50/v_1p50_t_0p50_lm_0p40/ribbon.png
v_1p50,v_1p50_t_0p50_lm_0p50,1.5,0.5,0.5,0.5,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_1p50/v_1p50_t_0p50_lm_0p50/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_1p50/v_1p50_t_0p50_lm_0p50/ribbon.png
v_1p60,v_1p60_t_0p50_lm_0p00,1.6,0.5,0.0,0.3999999999999999,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_1p60/v_1p60_t_0p50_lm_0p00/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_1p60/v_1p60_t_0p50_lm_0p00/ribbon.png
v_1p60,v_1p60_t_0p50_lm_0p10,1.6,0.5,0.1,0.3999999999999999,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_1p60/v_1p60_t_0p50_lm_0p10/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_1p60/v_1p60_t_0p50_lm_0p10/ribbon.png
v_1p60,v_1p60_t_0p50_lm_0p20,1.6,0.5,0.2,0.3999999999999999,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_1p60/v_1p60_t_0p50_lm_0p20/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_1p60/v_1p60_t_0p50_lm_0p20/ribbon.png
v_1p60,v_1p60_t_0p50_lm_0p30,1.6,0.5,0.3,0.3999999999999999,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_1p60/v_1p60_t_0p50_lm_0p30/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_1p60/v_1p60_t_0p50_lm_0p30/ribbon.png
v_1p60,v_1p60_t_0p50_lm_0p40,1.6,0.5,0.4,0.3999999999999999,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_1p60/v_1p60_t_0p50_lm_0p40/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_1p60/v_1p60_t_0p50_lm_0p40/ribbon.png
v_1p60,v_1p60_t_0p50_lm_0p50,1.6,0.5,0.5,0.3999999999999999,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_1p60/v_1p60_t_0p50_lm_0p50/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_1p60/v_1p60_t_0p50_lm_0p50/ribbon.png
