v_group,point_id,v,t,lm,w,status,band_path,ribbon_path
v_1p70,v_1p70_t_0p50_lm_0p00,1.7,0.5,0.0,0.30000000000000004,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_1p70/v_1p70_t_0p50_lm_0p00/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_1p70/v_1p70_t_0p50_lm_0p00/ribbon.png
v_1p70,v_1p70_t_0p50_lm_0p10,1.7,0.5,0.1,0.30000000000000004,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_1p70/v_1p70_t_0p50_lm_0p10/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_1p70/v_1p70_t_0p50_lm_0p10/ribbon.png
v_1p70,v_1p70_t_0p50_lm_0p20,1.7,0.5,0.2,0.30000000000000004,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_1p70/v_1p70_t_0p50_lm_0p20/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_1p70/v_1p70_t_0p50_lm_0p20/ribbon.png
v_1p70,v_1p70_t_0p50_lm_0p30,1.7,0.5,0.3,0.30000000000000004,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_1p70/v_1p70_t_0p50_lm_0p30/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_1p70/v_1p70_t_0p50_lm_0p30/ribbon.png
v_1p70,v_1p70_t_0p50_lm_0p40,1.7,0.5,0.4,0.30000000000000004,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_1p70/v_1p70_t_0p50_lm_0p40/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_1p70/v_1p70_t_0p50_lm_0p40/ribbon.png
v_1p70,v_1p70_t_0p50_lm_0p50,1.7,0.5,0.5,0.30000000000000004,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_1p70/v_1p70_t_0p50_lm_0p50/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_1p70/v_1p70_t_0p50_lm_0p50/ribbon.png
v_1p80,v_1p80_t_0p50_lm_0p00,1.8,0.5,0.0,0.19999999999999996,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_1p80/v_1p80_t_0p50_lm_0p00/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_1p80/v_1p80_t_0p50_lm_0p00/ribbon.png
v_1p80,v_1p80_t_0p50_lm_0p10,1.8,0.5,0.1,0.19999999999999996,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_1p80/v_1p80_t_0p50_lm_0p10/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_1p80/v_1p80_t_0p50_lm_0p10/ribbon.png
v_1p80,v_1p80_t_0p50_lm_0p20,1.8,0.5,0.2,0.19999999999999996,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_1p80/v_1p80_t_0p50_lm_0p20/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_1p80/v_1p80_t_0p50_lm_0p20/ribbon.png
v_1p80,v_1p80_t_0p50_lm_0p30,1.8,0.5,0.3,0.19999999999999996,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_1p80/v_1p80_t_0p50_lm_0p30/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_1p80/v_1p80_t_0p50_lm_0p30/ribbon.png
v_1p80,v_1p80_t_0p50_lm_0p40,1.8,0.5,0.4,0.19999999999999996,ok,outputs/first_stage_band_ribbon/grouped_by_v/v_1p80/v_1p80_t_0p50_lm_0p40/band.png,outputs/first_stage_band_ribbon/grouped_by_v/v_1p80/v_1p80_t_0p50_lm_0p40/ribbon.png
