v,lm,t,w,E_valence_M,E_conduction_M,Delta_M,valence_band_index,conduction_band_index
0.55,0.1,0.3,1.0,0.15000000000000027,0.2500000000000001,0.09999999999999984,3,4
0.551,0.1,0.3,1.0,0.15100000000000005,0.24899999999999975,0.0979999999999997,3,4
0.552,0.1,0.3,1.0,0.15200000000000008,0.2479999999999999,0.09599999999999981,3,4
0.553,0.1,0.3,1.0,0.15299999999999994,0.24699999999999994,0.094,3,4
0.554,0.1,0.3,1.0,0.1540000000000001,0.2459999999999998,0.0919999999999997,3,4
0.555,0.1,0.3,1.0,0.15500000000000017,0.24499999999999958,0.08999999999999941,3,4
0.556,0.1,0.3,1.0,0.15599999999999997,0.24399999999999986,0.08799999999999988,3,4
0.557,0.1,0.3,1.0,0.15700000000000025,0.24299999999999988,0.08599999999999963,3,4
0.558,0.1,0.3,1.0,0.1580000000000002,0.24199999999999935,0.08399999999999916,3,4
0.559,0.1,0.3,1.0,0.1590000000000001,0.24099999999999996,0.08199999999999985,3,4
0.56,0.1,0.3,1.0,0.16,0.23999999999999974,0.07999999999999974,3,4
0.561,0.1,0.3,1.0,0.161,0.23899999999999996,0.07799999999999996,3,4
0.562,0.1,0.3,1.0,0.16200000000000003,0.2379999999999997,0.07599999999999968,3,4
0.563,0.1,0.3,1.0,0.16300000000000006,0.23699999999999982,0.07399999999999976,3,4
0.564,0.1,0.3,1.0,0.1640000000000001,0.23600000000000004,0.07199999999999995,3,4
0.565,0.1,0.3,1.0,0.165,0.23500000000000004,0.07000000000000003,3,4
0.566,0.1,0.3,1.0,0.166,0.234,0.068,3,4
0.567,0.1,0.3,1.0,0.16700000000000007,0.2330000000000001,0.06600000000000003,3,4
0.568,0.1,0.3,1.0,0.1680000000000002,0.23199999999999987,0.06399999999999967,3,4
0.569,0.1,0.3,1.0,0.16900000000000026,0.23099999999999998,0.06199999999999972,3,4
0.57,0.1,0.3,1.0,0.16999999999999998,0.23000000000000007,0.06000000000000008,3,4
0.571,0.1,0.3,1.0,0.17099999999999985,0.22899999999999987,0.058000000000000024,3,4
0.572,0.1,0.3,1.0,0.17200000000000013,0.22799999999999981,0.05599999999999969,3,4
0.573,0.1,0.3,1.0,0.17300000000000026,0.22699999999999995,0.05399999999999969,3,4
0.574,0.1,0.3,1.0,0.17399999999999988,0.2259999999999999,0.05200000000000002,3,4
0.575,0.1,0.3,1.0,0.1749999999999997,0.225,0.050000000000000294,3,4
0.576,0.1,0.3,1.0,0.176,0.22400000000000014,0.048000000000000154,3,4
0.577,0.1,0.3,1.0,0.17699999999999974,0.2229999999999999,0.04600000000000015,3,4
0.578,0.1,0.3,1.0,0.17800000000000002,0.222,0.043999999999999984,3,4
0.579,0.1,0.3,1.0,0.17899999999999994,0.22099999999999997,0.04200000000000004,3,4
0.58,0.1,0.3,1.0,0.17999999999999988,0.21999999999999995,0.04000000000000006,3,4
0.581,0.1,0.3,1.0,0.18100000000000008,0.21899999999999986,0.037999999999999784,3,4
0.582,0.1,0.3,1.0,0.18199999999999994,0.21800000000000003,0.03600000000000009,3,4
0.583,0.1,0.3,1.0,0.18299999999999986,0.21699999999999992,0.03400000000000006,3,4
0.584,0.1,0.3,1.0,0.1839999999999999,0.21599999999999975,0.031999999999999834,3,4
0.585,0.1,0.3,1.0,0.1850000000000002,0.21499999999999977,0.029999999999999583,3,4
0.586,0.1,0.3,1.0,0.1859999999999999,0.21399999999999983,0.02799999999999994,3,4
0.587,0.1,0.3,1.0,0.18700000000000008,0.21299999999999997,0.025999999999999884,3,4
