stage,v,lm,t,w,E_valence_M,E_conduction_M,spin_up_weight_valence,spin_down_weight_valence,spin_up_weight_conduction,spin_down_weight_conduction,major_component_valence,major_component_conduction,band_inversion,band_inversion_major_swap,band_inversion_overlap_swap,overlap_vb_to_va,overlap_vb_to_ca,overlap_cb_to_va,overlap_cb_to_ca,component_0_weight_valence,component_0_weight_conduction,component_1_weight_valence,component_1_weight_conduction,component_2_weight_valence,component_2_weight_conduction,component_3_weight_valence,component_3_weight_conduction,component_4_weight_valence,component_4_weight_conduction,component_5_weight_valence,component_5_weight_conduction,component_6_weight_valence,component_6_weight_conduction,component_7_weight_valence,component_7_weight_conduction
before,0.59,0.1,0.3,1.0,0.19000000000000014,0.20999999999999994,0.16934907332409538,0.8306509266759048,0.08503245743219642,0.9149675425678037,7,1,,,,,,,,0.04233726833102497,0.021258114358049012,0.2076627316689746,0.22874188564195222,0.04233726833102354,0.021258114358049102,0.20766273166897647,0.22874188564195028,0.0423372683310241,0.021258114358049092,0.20766273166897567,0.22874188564195153,0.042337268331022776,0.02125811435804923,0.20766273166897803,0.2287418856419497
critical,0.6,0.1,0.3,1.0,0.2000000000000003,0.20000000000000048,0.03785573525333891,0.9621442647466611,0.11516009823214504,0.8848399017678549,7,1,,,,,,,,0.0006756590800715954,0.0006615378619310809,0.0037946800012409374,0.4399039077758167,0.0065915038114113785,0.02359778413968265,0.19853206702282028,0.2377948218087451,0.012336363815258072,0.03398226497638988,0.2825400653505103,0.20462512907518232,0.018252208546597856,0.05691851125414143,0.47727745237208963,0.0025160431081107494
after,0.61,0.1,0.3,1.0,0.19000000000000036,0.20999999999999974,0.02208498106598389,0.9779150189340159,0.06357946599790981,0.9364205340020902,3,5,,,,,,,,0.005521245266496302,0.01589486649947735,0.2444787547335042,0.2341051335005231,0.005521245266496032,0.015894866499477776,0.24447875473350517,0.2341051335005205,0.005521245266495918,0.01589486649947713,0.2444787547335027,0.2341051335005246,0.00552124526649564,0.015894866499477543,0.24447875473350386,0.23410513350052206
summary,0.6,0.1,0.3,1.0,nan,nan,nan,nan,nan,nan,7,5,detected,False,True,6.840934442538367e-15,0.9633647865481895,0.9027205827039988,6.0449931804870726e-15,,,,,,,,,,,,,,,,
