v,lm,t,w,Delta_global,kx_min,ky_min,distance_to_M
0.55,0.1,0.3,1.0,0.09999999999999984,3.141592653589793,3.141592653589793,0.0
0.551,0.1,0.3,1.0,0.0979999999999997,3.141592653589793,3.141592653589793,0.0
0.552,0.1,0.3,1.0,0.09599999999999981,3.141592653589793,3.141592653589793,0.0
0.553,0.1,0.3,1.0,0.094,3.141592653589793,3.141592653589793,0.0
0.554,0.1,0.3,1.0,0.0919999999999997,3.141592653589793,3.141592653589793,0.0
0.555,0.1,0.3,1.0,0.08999999999999941,3.141592653589793,3.141592653589793,0.0
0.556,0.1,0.3,1.0,0.08799999999999988,3.141592653589793,3.141592653589793,0.0
0.557,0.1,0.3,1.0,0.08599999999999963,3.141592653589793,3.141592653589793,0.0
0.558,0.1,0.3,1.0,0.08399999999999916,3.141592653589793,3.141592653589793,0.0
0.559,0.1,0.3,1.0,0.08199999999999985,3.141592653589793,3.141592653589793,0.0
0.56,0.1,0.3,1.0,0.07999999999999974,3.141592653589793,3.141592653589793,0.0
0.561,0.1,0.3,1.0,0.07799999999999996,3.141592653589793,3.141592653589793,0.0
0.562,0.1,0.3,1.0,0.07599999999999968,3.141592653589793,3.141592653589793,0.0
0.563,0.1,0.3,1.0,0.07399999999999976,3.141592653589793,3.141592653589793,0.0
0.564,0.1,0.3,1.0,0.07199999999999995,3.141592653589793,3.141592653589793,0.0
0.565,0.1,0.3,1.0,0.07000000000000003,3.141592653589793,3.141592653589793,0.0
0.566,0.1,0.3,1.0,0.068,3.141592653589793,3.141592653589793,0.0
0.567,0.1,0.3,1.0,0.06600000000000003,3.141592653589793,3.141592653589793,0.0
0.568,0.1,0.3,1.0,0.06399999999999967,3.141592653589793,3.141592653589793,0.0
0.569,0.1,0.3,1.0,0.06199999999999972,3.141592653589793,3.141592653589793,0.0
0.57,0.1,0.3,1.0,0.06000000000000008,3.141592653589793,3.141592653589793,0.0
0.571,0.1,0.3,1.0,0.058000000000000024,3.141592653589793,3.141592653589793,0.0
0.572,0.1,0.3,1.0,0.05599999999999969,3.141592653589793,3.141592653589793,0.0
0.573,0.1,0.3,1.0,0.05399999999999969,3.141592653589793,3.141592653589793,0.0
0.574,0.1,0.3,1.0,0.05200000000000002,3.141592653589793,3.141592653589793,0.0
0.575,0.1,0.3,1.0,0.050000000000000294,3.141592653589793,3.141592653589793,0.0
0.576,0.1,0.3,1.0,0.048000000000000154,3.141592653589793,3.141592653589793,0.0
0.577,0.1,0.3,1.0,0.04600000000000015,3.141592653589793,3.141592653589793,0.0
0.578,0.1,0.3,1.0,0.043999999999999984,3.141592653589793,3.141592653589793,0.0
0.579,0.1,0.3,1.0,0.04200000000000004,3.141592653589793,3.141592653589793,0.0
0.58,0.1,0.3,1.0,0.04000000000000006,3.141592653589793,3.141592653589793,0.0
0.581,0.1,0.3,1.0,0.037999999999999784,3.141592653589793,3.141592653589793,0.0
0.582,0.1,0.3,1.0,0.03600000000000009,3.141592653589793,3.141592653589793,0.0
0.583,0.1,0.3,1.0,0.03400000000000006,3.141592653589793,3.141592653589793,0.0
0.584,0.1,0.3,1.0,0.031999999999999834,3.141592653589793,3.141592653589793,0.0
0.585,0.1,0.3,1.0,0.029999999999999583,3.141592653589793,3.141592653589793,0.0
0.586,0.1,0.3,1.0,0.02799999999999994,3.141592653589793,3.141592653589793,0.0
0.587,0.1,0.3,1.0,0.025999999999999884,3.141592653589793,3.141592653589793,0.0
0.588,0.1,0.3,1.0,0.023999999999999827,3.141592653589793,3.141592653589793,0.0
0.589,0.1,0.3,1.0,0.02199999999999966,3.141592653589793,3.141592653589793,0.0
0.59,0.1,0.3,1.0,0.019999999999999907,3.141592653589793,3.141592653589793,0.0
0.591,0.1,0.3,1.0,0.017999999999999933,3.141592653589793,3.141592653589793,0.0
0.592,0.1,0.3,1.0,0.01599999999999971,3.141592653589793,3.141592653589793,0.0
0.593,0.1,0.3,1.0,0.013999999999999652,3.141592653589793,3.141592653589793,0.0
0.594,0.1,0.3,1.0,0.011999999999999456,3.141592653589793,3.141592653589793,0.0
0.595,0.1,0.3,1.0,0.00999999999999987,3.141592653589793,3.141592653589793,0.0
0.596,0.1,0.3,1.0,0.00799999999999998,3.141592653589793,3.141592653589793,0.0
0.597,0.1,0.3,1.0,0.005999999999999589,3.141592653589793,3.141592653589793,0.0
0.598,0.1,0.3,1.0,0.004000000000000087,3.141592653589793,3.141592653589793,0.0
0.599,0.1,0.3,1.0,0.0019999999999996965,3.141592653589793,3.141592653589793,0.0
0.6,0.1,0.3,1.0,1.3877787807814457e-16,3.141592653589793,3.141592653589793,0.0
0.601,0.1,0.3,1.0,0.0019999999999994744,3.141592653589793,3.141592653589793,0.0
0.602,0.1,0.3,1.0,0.003999999999999587,3.141592653589793,3.141592653589793,0.0
0.603,0.1,0.3,1.0,0.0059999999999996445,3.141592653589793,3.141592653589793,0.0
0.604,0.1,0.3,1.0,0.007999999999999702,3.141592653589793,3.141592653589793,0.0
0.605,0.1,0.3,1.0,0.009999999999999842,3.141592653589793,3.141592653589793,0.0
0.606,0.1,0.3,1.0,0.0119999999999999,3.141592653589793,3.141592653589793,0.0
0.607,0.1,0.3,1.0,0.01399999999999979,3.141592653589793,3.141592653589793,0.0
0.608,0.1,0.3,1.0,0.015999999999999792,3.141592653589793,3.141592653589793,0.0
0.609,0.1,0.3,1.0,0.017999999999999683,3.141592653589793,3.141592653589793,0.0
0.61,0.1,0.3,1.0,0.019999999999999518,3.141592653589793,3.141592653589793,0.0
0.611,0.1,0.3,1.0,0.022000000000000047,3.141592653589793,3.141592653589793,0.0
