v,lm,t,w,Nk,gap,C_up,C_down,C_total,C_spin,rounded_C_up,rounded_C_down,rounded_C_spin,reliability,comment
1.0,0.1,0.3,1.0,51,0.1859942816876157,1.0000000000000002,-1.0000000000000002,0.0,1.0000000000000002,1,-1,1,reliable,Spin Chern converges to integers across Nk.
1.0,0.1,0.3,1.0,81,0.1859942816876157,1.0000000000000002,-0.9999999999999999,3.3306690738754696e-16,1.0,1,-1,1,reliable,Spin Chern converges to integers across Nk.
1.0,0.1,0.3,1.0,101,0.1859942816876157,1.0,-1.0,0.0,1.0,1,-1,1,reliable,Spin Chern converges to integers across Nk.
1.09,0.1,0.3,1.0,31,0.005994281687616551,-1.0,1.0000000000000002,2.220446049250313e-16,-1.0,1,-1,1,uncertain,Strong Nk dependence; convergence not established.
1.09,0.1,0.3,1.0,51,0.005994281687616551,1.0000000000000002,-1.0000000000000002,0.0,1.0000000000000002,1,-1,1,uncertain,Strong Nk dependence; convergence not established.
1.09,0.1,0.3,1.0,81,0.005994281687616551,0.9999999999999999,-1.0,-1.1102230246251565e-16,1.0,1,-1,1,uncertain,Strong Nk dependence; convergence not established.
1.09,0.1,0.3,1.0,101,0.005994281687616551,0.9999999999999996,-1.0,-4.440892098500626e-16,0.9999999999999998,1,-1,1,uncertain,Strong Nk dependence; convergence not established.
1.093,0.1,0.3,1.0,31,5.718312382260726e-06,-1.0,0.9999999999999998,-2.220446049250313e-16,-0.9999999999999999,-1,1,-1,critical_or_gapless,Gap below threshold; invariant at this point is not strictly stable.
1.093,0.1,0.3,1.0,51,5.718312382260726e-06,-0.9999999999999998,0.9999999999999999,1.1102230246251565e-16,-0.9999999999999998,-1,1,-1,critical_or_gapless,Gap below threshold; invariant at this point is not strictly stable.
1.093,0.1,0.3,1.0,81,5.718312382260726e-06,-1.0,0.9999999999999998,-2.220446049250313e-16,-0.9999999999999999,-1,1,-1,critical_or_gapless,Gap below threshold; invariant at this point is not strictly stable.
1.093,0.1,0.3,1.0,101,5.718312382260726e-06,-1.0000000000000002,1.0000000000000002,0.0,-1.0000000000000002,-1,1,-1,critical_or_gapless,Gap below threshold; invariant at this point is not strictly stable.
1.096,0.1,0.3,1.0,31,0.006005718312382308,-1.0,1.0000000000000002,2.220446049250313e-16,-1.0,-1,1,-1,reliable,Spin Chern converges to integers across Nk.
1.096,0.1,0.3,1.0,51,0.006005718312382308,-1.0000000000000002,1.0,-2.220446049250313e-16,-1.0,-1,1,-1,reliable,Spin Chern converges to integers across Nk.
1.096,0.1,0.3,1.0,81,0.006005718312382308,-0.9999999999999996,0.9999999999999999,3.3306690738754696e-16,-0.9999999999999998,-1,1,-1,reliable,Spin Chern converges to integers across Nk.
1.096,0.1,0.3,1.0,101,0.006005718312382308,-1.0000000000000002,1.0000000000000002,0.0,-1.0000000000000002,-1,1,-1,reliable,Spin Chern converges to integers across Nk.
