v,bulk_gap,p_x,p_y,p_x_class,p_y_class,polarization_type,wannier_gap_x,wannier_gap_y,nested_allowed,unitarity_error_x,unitarity_error_y
0.1,1.5113389222328681,0.49382716049382713,0.5246913580246914,nontrivial_0p5,nontrivial_0p5,2D_SSH_like_polarized,0.017594490753418013,0.024540588620154513,0,2.2987211092909856e-14,2.056846367986155e-14
0.2,1.3147228770131711,0.47530864197530864,0.4845679012345679,nontrivial_0p5,nontrivial_0p5,2D_SSH_like_polarized,0.02669027236574162,0.009888124312240953,0,1.992838309320095e-14,1.9580735413247092e-14
0.3,1.1190422434238938,0.5154320987654321,0.4876543209876543,nontrivial_0p5,nontrivial_0p5,2D_SSH_like_polarized,0.025820484942012223,0.021981825998441035,0,1.9119972004085893e-14,2.0873340545273903e-14
0.4,0.9247395985822477,0.49074074074074076,0.4783950617283951,nontrivial_0p5,nontrivial_0p5,2D_SSH_like_polarized,0.015424583246958612,0.010762212729638065,0,2.0947297696687547e-14,2.008857619169822e-14
0.5,0.7325810821533132,0.5185185185185185,0.5185185185185185,nontrivial_0p5,nontrivial_0p5,2D_SSH_like_polarized,0.03355672412356325,0.02561531850988341,0,2.1310144153063766e-14,2.06304208102774e-14
0.6,0.5440047606874248,0.4660493827160494,0.4783950617283951,nontrivial_0p5,nontrivial_0p5,2D_SSH_like_polarized,0.030460282819075285,0.018917903281279125,0,2.1270190389057178e-14,2.4244495150433207e-14
0.7,0.3620052322956887,0.49691358024691357,0.4660493827160494,nontrivial_0p5,nontrivial_0p5,2D_SSH_like_polarized,0.030904164507125298,0.01783780960315251,0,2.0437498255430768e-14,1.9456194433902733e-14
0.8,0.19367418534244046,0.5185185185185185,0.5061728395061729,nontrivial_0p5,nontrivial_0p5,2D_SSH_like_polarized,0.03880723921533269,0.013219447357696978,0,2.231158485560163e-14,2.4139974967529204e-14
0.9,0.057937972660556177,0.4845679012345679,0.5061728395061729,nontrivial_0p5,nontrivial_0p5,2D_SSH_like_polarized,0.02069942345265874,0.020004767942985002,0,2.0734542480934958e-14,2.2156965107010974e-14
1.0,7.622553749832773e-32,0.47990200221825896,0.5248076892922425,nontrivial_0p5,nontrivial_0p5,2D_SSH_like_polarized,0.016261824060210373,0.004051997381578576,0,2.5928464473847013e-14,2.4928911899867722e-14
1.1,0.05793797266055629,0.5030864197530864,0.5370370370370371,nontrivial_0p5,nontrivial_0p5,2D_SSH_like_polarized,0.03857548473600492,0.0200292258657907,0,1.9673216956603037e-14,2.2534329840528107e-14
1.2,0.1936741853424404,0.49382716049382713,0.45987654320987653,nontrivial_0p5,nontrivial_0p5,2D_SSH_like_polarized,0.030835891870126364,0.009523637026124576,0,2.0919329285265494e-14,2.4111993319771847e-14
1.3,0.3620052322956887,0.4876543209876543,0.5,nontrivial_0p5,nontrivial_0p5,2D_SSH_like_polarized,0.01968636429895554,0.02391236324001772,0,2.3068400579129906e-14,2.4405896566341272e-14
1.4,0.5440047606874245,0.5,0.4876543209876543,nontrivial_0p5,nontrivial_0p5,2D_SSH_like_polarized,0.023071666348571163,0.006685852596549746,0,3.0257907752793913e-14,2.1125372614115247e-14
1.5,0.7325810821533132,0.5030864197530864,0.49382716049382713,nontrivial_0p5,nontrivial_0p5,2D_SSH_like_polarized,0.023331028171345913,0.014184834748251829,0,2.4595812269990744e-14,2.3496303506091862e-14
