v,t,w,lm,E_valence_M_global,E_conduction_M_global,Delta_M_global,state_a_band_index,state_b_band_index,E_state_a,E_state_b,Delta_pair,band_character_sign,signed_m_M
0.082,0.0,1.0,0.0,-0.918,0.918,1.836,0,2,-0.918,0.918,1.836,-1.0,-0.918
0.084,0.0,1.0,0.0,-0.9159999999999999,0.9159999999999999,1.8319999999999999,1,3,-0.9159999999999999,0.916,1.8319999999999999,-1.0,-0.9159999999999999
0.08600000000000001,0.0,1.0,0.0,-0.914,0.914,1.828,0,2,-0.914,0.914,1.828,-1.0,-0.914
0.088,0.0,1.0,0.0,-0.9119999999999999,0.9119999999999999,1.8239999999999998,1,3,-0.9119999999999999,0.912,1.8239999999999998,-1.0,-0.9119999999999999
0.09,0.0,1.0,0.0,-0.9099999999999999,0.9099999999999999,1.8199999999999998,1,3,-0.9099999999999999,0.91,1.8199999999999998,-1.0,-0.9099999999999999
0.092,0.0,1.0,0.0,-0.9079999999999999,0.9079999999999999,1.8159999999999998,1,3,-0.9079999999999999,0.908,1.8159999999999998,-1.0,-0.9079999999999999
0.094,0.0,1.0,0.0,-0.9059999999999999,0.9059999999999999,1.8119999999999998,1,3,-0.9059999999999999,0.906,1.8119999999999998,-1.0,-0.9059999999999999
0.096,0.0,1.0,0.0,-0.904,0.904,1.808,0,2,-0.904,0.904,1.808,-1.0,-0.904
0.098,0.0,1.0,0.0,-0.902,0.902,1.804,0,2,-0.902,0.902,1.804,-1.0,-0.902
0.1,0.0,1.0,0.0,-0.9,0.9,1.8,0,2,-0.9,0.9,1.8,-1.0,-0.9
0.10200000000000001,0.0,1.0,0.0,-0.898,0.898,1.796,0,2,-0.898,0.898,1.796,-1.0,-0.898
0.10400000000000001,0.0,1.0,0.0,-0.896,0.896,1.792,0,2,-0.896,0.896,1.792,-1.0,-0.896
0.106,0.0,1.0,0.0,-0.894,0.894,1.788,0,2,-0.894,0.894,1.788,-1.0,-0.894
0.108,0.0,1.0,0.0,-0.8919999999999999,0.8919999999999999,1.7839999999999998,1,3,-0.8919999999999999,0.892,1.7839999999999998,-1.0,-0.8919999999999999
0.11,0.0,1.0,0.0,-0.89,0.89,1.78,0,2,-0.89,0.89,1.78,-1.0,-0.89
0.112,0.0,1.0,0.0,-0.888,0.888,1.776,0,2,-0.888,0.888,1.776,-1.0,-0.888
0.114,0.0,1.0,0.0,-0.886,0.886,1.772,0,2,-0.886,0.886,1.772,-1.0,-0.886
0.116,0.0,1.0,0.0,-0.884,0.884,1.768,0,2,-0.884,0.884,1.768,-1.0,-0.884
0.11800000000000001,0.0,1.0,0.0,-0.882,0.882,1.764,0,2,-0.882,0.882,1.764,-1.0,-0.882
0.12,0.0,1.0,0.0,-0.88,0.88,1.76,0,2,-0.88,0.88,1.76,-1.0,-0.88
0.122,0.0,1.0,0.0,-0.878,0.878,1.756,0,2,-0.878,0.878,1.756,-1.0,-0.878
0.124,0.0,1.0,0.0,-0.876,0.876,1.752,0,2,-0.876,0.876,1.752,-1.0,-0.876
0.126,0.0,1.0,0.0,-0.874,0.874,1.748,0,2,-0.874,0.874,1.748,-1.0,-0.874
0.128,0.0,1.0,0.0,-0.872,0.872,1.744,0,2,-0.872,0.872,1.744,-1.0,-0.872
0.13,0.0,1.0,0.0,-0.8699999999999999,0.8699999999999999,1.7399999999999998,1,3,-0.8699999999999999,0.87,1.7399999999999998,-1.0,-0.8699999999999999
0.132,0.0,1.0,0.0,-0.868,0.868,1.736,0,2,-0.868,0.868,1.736,-1.0,-0.868
0.134,0.0,1.0,0.0,-0.8659999999999999,0.8659999999999999,1.7319999999999998,1,3,-0.8659999999999999,0.866,1.7319999999999998,-1.0,-0.8659999999999999
0.136,0.0,1.0,0.0,-0.864,0.864,1.728,0,2,-0.864,0.864,1.728,-1.0,-0.864
0.138,0.0,1.0,0.0,-0.862,0.862,1.724,0,2,-0.862,0.862,1.724,-1.0,-0.862
0.14,0.0,1.0,0.0,-0.86,0.86,1.72,0,2,-0.86,0.86,1.72,-1.0,-0.86
0.14200000000000002,0.0,1.0,0.0,-0.858,0.858,1.716,0,2,-0.858,0.858,1.716,-1.0,-0.858
0.14400000000000002,0.0,1.0,0.0,-0.856,0.856,1.712,0,2,-0.856,0.856,1.712,-1.0,-0.856
0.146,0.0,1.0,0.0,-0.854,0.854,1.708,0,2,-0.854,0.854,1.708,-1.0,-0.854
0.148,0.0,1.0,0.0,-0.852,0.852,1.704,0,2,-0.852,0.852,1.704,-1.0,-0.852
0.15,0.0,1.0,0.0,-0.85,0.85,1.7,0,2,-0.85,0.85,1.7,-1.0,-0.85
0.152,0.0,1.0,0.0,-0.848,0.848,1.696,0,2,-0.848,0.848,1.696,-1.0,-0.848
0.154,0.0,1.0,0.0,-0.8459999999999999,0.8459999999999999,1.6919999999999997,1,3,-0.8459999999999999,0.846,1.6919999999999997,-1.0,-0.8459999999999999
0.156,0.0,1.0,0.0,-0.844,0.844,1.688,0,2,-0.844,0.844,1.688,-1.0,-0.844
0.158,0.0,1.0,0.0,-0.8419999999999999,0.8419999999999999,1.6839999999999997,1,3,-0.8419999999999999,0.842,1.6839999999999997,-1.0,-0.8419999999999999
0.16,0.0,1.0,0.0,-0.84,0.84,1.68,0,2,-0.84,0.84,1.68,-1.0,-0.84
0.162,0.0,1.0,0.0,-0.838,0.838,1.676,0,2,-0.838,0.838,1.676,-1.0,-0.838
0.164,0.0,1.0,0.0,-0.836,0.836,1.672,0,2,-0.836,0.836,1.672,-1.0,-0.836
0.166,0.0,1.0,0.0,-0.834,0.834,1.668,0,2,-0.834,0.834,1.668,-1.0,-0.834
0.168,0.0,1.0,0.0,-0.8319999999999999,0.8319999999999999,1.6639999999999997,1,3,-0.8319999999999999,0.832,1.6639999999999997,-1.0,-0.8319999999999999
0.17,0.0,1.0,0.0,-0.83,0.83,1.66,0,2,-0.83,0.83,1.66,-1.0,-0.83
0.17200000000000001,0.0,1.0,0.0,-0.828,0.828,1.656,0,2,-0.828,0.828,1.656,-1.0,-0.828
0.17400000000000002,0.0,1.0,0.0,-0.8259999999999998,0.8259999999999998,1.6519999999999997,1,3,-0.8259999999999998,0.826,1.6519999999999997,-1.0,-0.8259999999999998
0.176,0.0,1.0,0.0,-0.8240000000000001,0.8240000000000001,1.6480000000000001,0,2,-0.8240000000000001,0.8240000000000001,1.6480000000000001,-1.0,-0.8240000000000001
0.178,0.0,1.0,0.0,-0.8220000000000001,0.8220000000000001,1.6440000000000001,0,2,-0.8220000000000001,0.8220000000000001,1.6440000000000001,-1.0,-0.8220000000000001
0.18,0.0,1.0,0.0,-0.8200000000000001,0.8200000000000001,1.6400000000000001,0,2,-0.8200000000000001,0.8200000000000001,1.6400000000000001,-1.0,-0.8200000000000001
0.182,0.0,1.0,0.0,-0.8180000000000001,0.8180000000000001,1.6360000000000001,0,2,-0.8180000000000001,0.8180000000000001,1.6360000000000001,-1.0,-0.8180000000000001
0.184,0.0,1.0,0.0,-0.8160000000000001,0.8160000000000001,1.6320000000000001,0,2,-0.8160000000000001,0.8160000000000001,1.6320000000000001,-1.0,-0.8160000000000001
0.186,0.0,1.0,0.0,-0.8140000000000001,0.8140000000000001,1.6280000000000001,0,2,-0.8140000000000001,0.8140000000000001,1.6280000000000001,-1.0,-0.8140000000000001
0.188,0.0,1.0,0.0,-0.8119999999999999,0.8119999999999999,1.6239999999999999,1,3,-0.8119999999999999,0.812,1.624,-1.0,-0.812
0.19,0.0,1.0,0.0,-0.81,0.81,1.62,0,2,-0.81,0.81,1.62,-1.0,-0.81
0.192,0.0,1.0,0.0,-0.808,0.808,1.616,0,2,-0.808,0.808,1.616,-1.0,-0.808
0.194,0.0,1.0,0.0,-0.806,0.806,1.612,0,2,-0.806,0.806,1.612,-1.0,-0.806
0.196,0.0,1.0,0.0,-0.804,0.804,1.608,0,2,-0.804,0.804,1.608,-1.0,-0.804
0.198,0.0,1.0,0.0,-0.8019999999999999,0.8019999999999999,1.6039999999999999,1,3,-0.8019999999999999,0.802,1.604,-1.0,-0.802
0.2,0.0,1.0,0.0,-0.8,0.8,1.6,0,2,-0.8,0.8,1.6,-1.0,-0.8
0.202,0.0,1.0,0.0,-0.798,0.798,1.596,0,2,-0.798,0.798,1.596,-1.0,-0.798
0.20400000000000001,0.0,1.0,0.0,-0.796,0.796,1.592,0,2,-0.796,0.796,1.592,-1.0,-0.796
0.20600000000000002,0.0,1.0,0.0,-0.794,0.794,1.588,0,2,-0.794,0.794,1.588,-1.0,-0.794
0.20800000000000002,0.0,1.0,0.0,-0.792,0.792,1.584,0,2,-0.792,0.792,1.584,-1.0,-0.792
0.21,0.0,1.0,0.0,-0.7899999999999999,0.7899999999999999,1.5799999999999998,1,3,-0.7899999999999999,0.79,1.58,-1.0,-0.79
0.212,0.0,1.0,0.0,-0.788,0.788,1.576,0,2,-0.788,0.788,1.576,-1.0,-0.788
0.214,0.0,1.0,0.0,-0.786,0.786,1.572,0,2,-0.786,0.786,1.572,-1.0,-0.786
0.216,0.0,1.0,0.0,-0.784,0.784,1.568,0,2,-0.784,0.784,1.568,-1.0,-0.784
0.218,0.0,1.0,0.0,-0.782,0.782,1.564,0,2,-0.782,0.782,1.564,-1.0,-0.782
0.22,0.0,1.0,0.0,-0.78,0.78,1.56,0,2,-0.78,0.78,1.56,-1.0,-0.78
0.222,0.0,1.0,0.0,-0.778,0.778,1.556,0,2,-0.778,0.778,1.556,-1.0,-0.778
0.224,0.0,1.0,0.0,-0.7759999999999999,0.7759999999999999,1.5519999999999998,1,3,-0.7759999999999999,0.776,1.552,-1.0,-0.776
0.226,0.0,1.0,0.0,-0.774,0.774,1.548,0,2,-0.774,0.774,1.548,-1.0,-0.774
0.228,0.0,1.0,0.0,-0.772,0.772,1.544,0,2,-0.772,0.772,1.544,-1.0,-0.772
0.23,0.0,1.0,0.0,-0.77,0.77,1.54,0,2,-0.77,0.77,1.54,-1.0,-0.77
0.232,0.0,1.0,0.0,-0.768,0.768,1.536,0,2,-0.768,0.768,1.536,-1.0,-0.768
0.234,0.0,1.0,0.0,-0.766,0.766,1.532,0,2,-0.766,0.766,1.532,-1.0,-0.766
0.23600000000000002,0.0,1.0,0.0,-0.764,0.764,1.528,0,2,-0.764,0.764,1.528,-1.0,-0.764
0.23800000000000002,0.0,1.0,0.0,-0.762,0.762,1.524,0,2,-0.762,0.762,1.524,-1.0,-0.762
0.24,0.0,1.0,0.0,-0.76,0.76,1.52,0,2,-0.76,0.76,1.52,-1.0,-0.76
0.242,0.0,1.0,0.0,-0.758,0.758,1.516,0,2,-0.758,0.758,1.516,-1.0,-0.758
0.244,0.0,1.0,0.0,-0.756,0.756,1.512,0,2,-0.756,0.756,1.512,-1.0,-0.756
0.246,0.0,1.0,0.0,-0.754,0.754,1.508,0,2,-0.754,0.754,1.508,-1.0,-0.754
0.248,0.0,1.0,0.0,-0.752,0.752,1.504,0,2,-0.752,0.752,1.504,-1.0,-0.752
0.25,0.0,1.0,0.0,-0.75,0.75,1.5,0,2,-0.75,0.75,1.5,-1.0,-0.75
0.252,0.0,1.0,0.0,-0.748,0.748,1.496,0,2,-0.748,0.748,1.496,-1.0,-0.748
0.254,0.0,1.0,0.0,-0.746,0.746,1.492,0,2,-0.746,0.746,1.492,-1.0,-0.746
0.256,0.0,1.0,0.0,-0.7439999999999999,0.7439999999999999,1.4879999999999998,1,3,-0.7439999999999999,0.744,1.488,-1.0,-0.744
0.258,0.0,1.0,0.0,-0.742,0.742,1.484,0,2,-0.742,0.742,1.484,-1.0,-0.742
0.26,0.0,1.0,0.0,-0.74,0.74,1.48,0,2,-0.74,0.74,1.48,-1.0,-0.74
0.262,0.0,1.0,0.0,-0.738,0.738,1.476,0,2,-0.738,0.738,1.476,-1.0,-0.738
0.264,0.0,1.0,0.0,-0.736,0.736,1.472,0,2,-0.736,0.736,1.472,-1.0,-0.736
0.266,0.0,1.0,0.0,-0.734,0.734,1.468,0,2,-0.734,0.734,1.468,-1.0,-0.734
0.268,0.0,1.0,0.0,-0.732,0.732,1.464,0,2,-0.732,0.732,1.464,-1.0,-0.732
0.27,0.0,1.0,0.0,-0.7299999999999999,0.7299999999999999,1.4599999999999997,1,3,-0.7299999999999999,0.73,1.46,-1.0,-0.73
0.272,0.0,1.0,0.0,-0.728,0.728,1.456,0,2,-0.728,0.728,1.456,-1.0,-0.728
