v,t,z2_flips,max_chern_jump,min_abs_gap,has_edge,has_corner,z2_pattern
0.3,0.7,3,3.585616042902277e-16,2.636779683484747e-16,1,0,0-0-1-1-1-1-0-0-0-1-1
0.4,0.3,3,3.472300292379303e-16,2.950490619412211e-16,1,0,1-1-1-0-0-1-1-1-1-0-0
1.0,0.5,3,4.671587816259513e-16,6.021041009493909e-16,1,0,1-1-1-0-1-1-0-0-0-0-0
0.9,0.7,3,5.279427491396372e-16,6.661338147750939e-16,1,0,0-0-1-1-1-1-0-0-0-1-1
0.2,0.8,3,5.280989107954378e-16,8.326672684688674e-16,1,0,1-1-0-0-0-0-0-1-1-1-0
0.7,0.5,3,5.194602092995013e-16,8.881784197001252e-16,1,0,1-1-1-0-0-0-1-1-1-0-0
0.3,0.9,3,4.252242582954923e-16,2.275957200481571e-15,1,0,0-0-0-1-1-1-0-0-0-0-1
1.0,1.0,2,5.119158273331671e-16,1.2367404674373022e-16,1,0,0-0-0-0-0-1-1-0-0-0-0
0.8,0.2,2,4.408328698509705e-16,3.3306690738754696e-16,1,0,0-1-1-0-0-0-0-0-0-0-0
0.8,0.0,2,2.5933484966236214e-16,4.996003610813204e-16,1,0,0-0-0-0-0-1-0-0-0-0-0
0.2,0.9,2,3.614570848725568e-16,8.881784197001252e-16,1,1,1-1-1-1-0-0-1-1-1-1-1
0.1,0.8,2,3.715645524793525e-16,1.3322676295501878e-15,1,0,1-1-1-0-1-1-1-1-1-1-1
0.9,0.8,1,4.102513199995886e-16,9.298117831235686e-16,1,0,1-1-1-1-1-1-1-0-0-0-0
