point_id,v,t,lm,gap,chern,z2,edge_state,corner_state,Wilson_loop,z2_flip_axes,max_chern_delta,min_neighbor_abs_gap,is_chern_jump,phase_family,special_score
v_0p00_t_0p00_lm_0p00,0.0,0.0,0.0,1.9999999999999998,-3.7620023435256284e-50,0,0,0,0.0,1,5.628514369216144e-17,1.5999999999999994,0,R0_robust_trivial,1.4
v_0p00_t_0p00_lm_0p10,0.0,0.0,0.1,1.5999999999999994,-5.628514369216144e-17,0,0,0,0.16954515358524647,1,1.4790044136438507e-16,1.1999999999999997,0,R0_robust_trivial,1.4
v_0p00_t_0p00_lm_0p20,0.0,0.0,0.2,1.1999999999999997,-9.711568100034985e-18,0,0,0,-0.06237577444597227,3,2.4680719576315535e-16,0.7999999999999996,0,R0_robust_trivial,4.199999999999999
v_0p00_t_0p00_lm_0p30,0.0,0.0,0.3,0.7999999999999996,-6.532765346004787e-17,1,0,0,-0.8519746806191896,2,2.8715279852535024e-16,0.399999999999999,0,R1_robust_z2,3.4
v_0p00_t_0p00_lm_0p40,0.0,0.0,0.4,0.399999999999999,2.2182514506530236e-16,0,0,0,1.7697808784746356,2,2.888511990251916e-16,7.363859260972749e-16,0,R0_robust_trivial,2.8000000000000003
v_0p00_t_0p00_lm_0p50,0.0,0.0,0.5,-7.363859260972749e-16,-6.702605395988921e-17,1,1,0,0.5327187784318699,3,4.3227888222934927e-16,6.245004513516506e-16,0,C1_critical_inversion_core,9.79999999999994
v_0p00_t_0p00_lm_0p60,0.0,0.0,0.6,-0.40000000000000036,3.6525282826946006e-16,0,0,0,1.7674819751116195,3,4.536988618461949e-16,7.363859260972749e-16,0,P0_precursor_trivial,4.199999999999999
v_0p00_t_0p00_lm_0p70,0.0,0.0,0.7,-0.8000000000000002,-8.844603357673485e-17,1,0,0,1.4639444366619532,1,4.536988618461949e-16,0.40000000000000036,0,P1_precursor_topological,2.0
v_0p00_t_0p00_lm_0p80,0.0,0.0,0.8,-1.200000000000001,7.273276104498886e-17,1,0,0,-0.8413788361443352,2,1.875658790852022e-16,0.8000000000000002,0,P1_precursor_topological,3.4
v_0p00_t_0p00_lm_0p90,0.0,0.0,0.9,-1.600000000000001,8.165520986428625e-17,1,0,0,1.116173790294206,2,1.8705149528543046e-16,1.200000000000001,0,P1_precursor_topological,3.4
v_0p00_t_0p00_lm_1p00,0.0,0.0,1.0,-1.9999999999999993,1.236882376124701e-16,0,0,0,-3.6148373790184656,1,5.016520464432151e-17,1.6,0,P0_precursor_trivial,1.4000000000000001
v_0p00_t_0p10_lm_0p00,0.0,0.1,0.0,1.5999999999999999,-9.67504695710789e-18,1,0,0,-1.3345358240219445,3,1.0129034462933152e-16,1.1999999999999995,0,R1_robust_z2,4.799999999999999
v_0p00_t_0p10_lm_0p10,0.0,0.1,0.1,1.5999999999999985,9.161529767222363e-17,0,0,0,0.08831650256297215,2,2.0770648899975124e-16,1.1999999999999988,0,R0_robust_trivial,2.8
v_0p00_t_0p10_lm_0p20,0.0,0.1,0.2,1.1999999999999988,2.3709562766312036e-16,1,0,0,-0.5705605413630981,2,4.788418787757052e-16,0.7999999999999996,0,R1_robust_z2,3.4000000000000004
v_0p00_t_0p10_lm_0p30,0.0,0.1,0.3,0.7999999999999996,-2.417462511125848e-16,1,0,0,1.1507439095453218,3,4.788418787757052e-16,0.3999999999999997,0,R1_robust_z2,4.799999999999999
v_0p00_t_0p10_lm_0p40,0.0,0.1,0.4,0.3999999999999997,2.1451001590710455e-16,0,0,0,-1.517105312357315,2,4.562562670196893e-16,1.5574709561725398e-15,0,R0_robust_trivial,2.8000000000000003
v_0p00_t_0p10_lm_0p50,0.0,0.1,0.5,-1.5574709561725398e-15,-4.604860674960462e-17,0,1,0,-0.37580973555342745,2,3.7928983193768646e-16,3.530832067218416e-16,0,C1_critical_inversion_core,7.7999999999998755
v_0p00_t_0p10_lm_0p60,0.0,0.1,0.6,-0.40000000000000113,-2.5003310944866612e-17,1,0,0,-2.5889555384643796,2,3.9025613921432664e-16,1.5574709561725398e-15,0,P1_precursor_topological,3.4
v_0p00_t_0p10_lm_0p70,0.0,0.1,0.7,-0.8000000000000007,-4.2565428237489266e-18,1,0,0,-1.284502473975661,2,2.7104692819021207e-16,0.40000000000000113,0,P1_precursor_topological,3.4
v_0p00_t_0p10_lm_0p80,0.0,0.1,0.8,-1.200000000000001,1.9538269535361066e-16,0,0,0,-0.2339025800734494,2,4.957684152696094e-16,0.8000000000000007,0,P0_precursor_trivial,2.8000000000000003
v_0p00_t_0p10_lm_0p90,0.0,0.1,0.9,-1.6,7.067899292141149e-17,0,0,0,0.14314717408310293,2,3.1403811386623714e-16,1.200000000000001,0,P0_precursor_trivial,2.8
v_0p00_t_0p10_lm_1p00,0.0,0.1,1.0,-1.6,8.149057262942418e-17,0,1,0,-0.011965991469488456,0,0.9999999999999994,1.2000000000000006,1,P1_precursor_topological,2.8
v_0p00_t_0p20_lm_0p00,0.0,0.2,0.0,1.1999999999999995,8.674219060256449e-17,0,0,0,-1.9735838246974815,1,1.8367866057090717e-16,0.8000000000000008,0,R0_robust_trivial,1.4
v_0p00_t_0p20_lm_0p10,0.0,0.2,0.1,1.1999999999999993,-9.693646996834269e-17,0,0,0,0.4695757111914404,0,2.9064826432661365e-16,0.799999999999999,0,R0_robust_trivial,1.1632376396201122e-16
v_0p00_t_0p20_lm_0p20,0.0,0.2,0.2,1.199999999999999,1.4460923019908383e-16,0,0,0,2.108212818007547,1,4.842391005936349e-16,0.7999999999999992,0,R0_robust_trivial,1.4000000000000001
v_0p00_t_0p20_lm_0p30,0.0,0.2,0.3,0.7999999999999992,-3.3962987039455103e-16,0,0,0,-0.33906997487958684,3,6.356808781159448e-16,0.3999999999999986,0,R0_robust_trivial,4.199999999999999
v_0p00_t_0p20_lm_0p40,0.0,0.2,0.4,0.3999999999999986,-1.99012509186665e-16,1,0,0,-1.2133855291587727,3,4.1687900776893083e-16,3.530832067218416e-16,0,R1_robust_z2,4.799999999999999
v_0p00_t_0p20_lm_0p50,0.0,0.2,0.5,-3.530832067218416e-16,1.6641841791843937e-17,1,1,0,1.4638840399105955,2,4.710895228551889e-16,8.187894806610529e-16,0,C1_critical_inversion_core,8.399999999999972
v_0p00_t_0p20_lm_0p60,0.0,0.2,0.6,-0.40000000000000135,-3.961054547256619e-17,1,0,0,-0.9293120557902655,2,2.2409008570058653e-16,3.530832067218416e-16,0,P1_precursor_topological,3.4
v_0p00_t_0p20_lm_0p70,0.0,0.2,0.7,-0.8000000000000009,1.1260019096960303e-16,1,1,0,0.7482700588622913,3,1.0,0.40000000000000135,1,P1_precursor_topological,7.599999999999999
v_0p00_t_0p20_lm_0p80,0.0,0.2,0.8,-1.2000000000000002,-3.003857199159988e-16,0,0,0,0.31843985148313864,3,5.842140317476209e-16,0.8000000000000003,0,P0_precursor_trivial,4.199999999999999
v_0p00_t_0p20_lm_0p90,0.0,0.2,0.9,-1.200000000000001,1.6877896747123923e-16,1,1,0,-0.7110865575162242,3,0.9999999999999998,0.8000000000000008,1,P1_precursor_topological,7.599999999999999
v_0p00_t_0p20_lm_1p00,0.0,0.2,1.0,-1.2000000000000006,-2.0848831364419526e-16,0,0,0,2.256976883625528,2,3.772672811154345e-16,0.8000000000000017,0,P0_precursor_trivial,2.8000000000000003
v_0p00_t_0p30_lm_0p00,0.0,0.3,0.0,0.8000000000000008,-6.920617843162843e-17,0,0,0,-0.4744444932499288,2,3.051109449270132e-16,0.39999999999999997,0,R0_robust_trivial,2.8
v_0p00_t_0p30_lm_0p10,0.0,0.3,0.1,0.799999999999999,9.059389559738929e-17,0,0,0,-0.4749732787312481,2,5.043850583895318e-16,0.3999999999999996,0,R0_robust_trivial,2.8
v_0p00_t_0p30_lm_0p20,0.0,0.3,0.2,0.7999999999999992,2.025988406036526e-16,1,0,0,-0.7630142659762528,3,4.1401502009243367e-16,0.3999999999999996,0,R1_robust_z2,4.799999999999999
v_0p00_t_0p30_lm_0p30,0.0,0.3,0.3,0.7999999999999978,2.9113461302435073e-16,1,0,0,-0.678994589928174,2,6.307644834189018e-16,0.39999999999999863,0,R1_robust_z2,3.4000000000000004
v_0p00_t_0p30_lm_0p40,0.0,0.3,0.4,0.39999999999999863,2.1786649858226583e-16,0,0,0,-0.06560376027005496,2,4.1687900776893083e-16,1.004296187742555e-15,0,R0_robust_trivial,2.8000000000000003
v_0p00_t_0p30_lm_0p50,0.0,0.3,0.5,-1.004296187742555e-15,1.8338134182188512e-17,1,1,0,-0.6340322954321765,3,1.995283644000773e-16,3.191891195797325e-16,0,C1_critical_inversion_core,9.799999999999919
v_0p00_t_0p30_lm_0p60,0.0,0.3,0.6,-0.4000000000000008,1.8447954022802034e-16,0,1,0,0.2819671743284119,2,1.0,1.004296187742555e-15,1,P1_precursor_topological,5.6
v_0p00_t_0p30_lm_0p70,0.0,0.3,0.7,-0.7999999999999996,-0.9999999999999999,0,1,1,-1.6338512922109765,3,1.0000000000000002,0.4000000000000004,1,P1_precursor_topological,10.2
v_0p00_t_0p30_lm_0p80,0.0,0.3,0.8,-0.8000000000000003,-1.284020283147841e-16,1,1,0,-0.7160395685985925,3,0.9999999999999998,0.40000000000000124,1,P1_precursor_topological,7.599999999999999
v_0p00_t_0p30_lm_0p90,0.0,0.3,0.9,-0.8000000000000008,6.3773155188320235e-18,1,0,0,-0.812999847166379,1,3.070051881910981e-16,0.4000000000000006,0,P1_precursor_topological,2.0
v_0p00_t_0p30_lm_1p00,0.0,0.3,1.0,-0.8000000000000017,-9.606100707432937e-17,0,0,0,0.14320401997526302,2,1.4068604406631826e-16,0.40000000000000036,0,P0_precursor_trivial,2.8
v_0p00_t_0p40_lm_0p00,0.0,0.4,0.0,0.39999999999999997,-2.0497236728423833e-16,1,0,0,-1.3353256030612484,2,1.6551431747324634e-16,9.246520377345352e-16,0,R1_robust_z2,3.4000000000000004
v_0p00_t_0p40_lm_0p10,0.0,0.4,0.1,0.3999999999999996,-9.371971672313575e-17,0,0,0,-0.35107892282128683,1,4.054384902966324e-16,7.886446013010754e-16,0,R0_robust_trivial,1.4000000000000001
v_0p00_t_0p40_lm_0p20,0.0,0.4,0.2,0.3999999999999996,1.6369465297987095e-16,1,0,0,-0.5878034273007252,2,2.740282045948235e-16,4.379148013447344e-16,0,R1_robust_z2,3.4
v_0p00_t_0p40_lm_0p30,0.0,0.4,0.3,0.39999999999999886,2.299526290621699e-16,0,0,0,0.37207142803387844,2,1.579663688856814e-16,6.449025199889795e-16,0,R0_robust_trivial,2.8000000000000003
