ky,largest_gap_size,largest_gap_center_mod,largest_gap_index,centers_sorted
0.0,0.446677763433017,0.0003091852510663795,3,0.2236480669675748;0.3964247208431367;0.6029569086547305;0.7769703035345579
0.06283185307179587,0.5724213117565062,0.9939185360342249,3,0.2801291919124779;0.3500818722331387;0.6620810556984122;0.7077078801559717
0.12566370614359174,0.40970613785526805,0.5057148584267558,1,0.1732806242513529;0.3008617894991217;0.7105679273543898;0.8152896588951362
0.1884955592153876,0.46082783556066875,0.5009127824753001,1,0.1178262351821817;0.2704988646949658;0.7313267002556345;0.8803481998672174
0.25132741228718347,0.45129458120604093,0.4970984707575947,1,0.2180971876494668;0.2714511801545743;0.7227457613606152;0.7877058708353430
0.3141592653589793,0.4818771426319459,0.0028641071463018086,3,0.2438026784622749;0.2633268813320817;0.7309449043753149;0.7619255358303290
0.3769911184307752,0.4323410471725859,0.0005903626190866262,3,0.2167608862053797;0.3166511732142023;0.6821681015476238;0.7844198390327937
0.4398229715025711,0.5295542602143697,0.5004680390839893,1,0.2176638222147743;0.2356909089768044;0.7652451691911741;0.7814000996172477
0.5026548245743669,0.3937435183598834,0.9994361800759534,3,0.1963079392558951;0.3789234236917030;0.6222042161563905;0.8025644208960117
0.5654866776461628,0.5851219132715819,0.006762893735336117,3,0.2993238503711270;0.3310413490352413;0.6554328634940862;0.7142019370995452
0.6283185307179586,0.5700252246934814,0.4986578975292646,1,0.1570747783543335;0.2136452851825239;0.7836705098760053;0.8456094265871368
0.6911503837897546,0.47590158781437086,0.0007717477018105434,3,0.2387225416089960;0.3635959026725201;0.6348606019238585;0.7628209537946251
0.7539822368615504,0.5554069059620694,0.5048004160108248,1,0.1679670510235365;0.2270969630297901;0.7825038689918595;0.8224321169548139
0.8168140899333463,0.458525500657887,0.9956275143048361,3,0.2248902646337796;0.2892691328251240;0.7194758385652031;0.7663647639758926
0.8796459430051422,0.41297213223293183,0.005853051946905552,3,0.2123391180633716;0.3095373940306546;0.6787565020755335;0.7993669858304397
0.942477796076938,0.5121395813313026,0.004701920379929447,3,0.2607717110455807;0.3584708510945433;0.6321253081455969;0.7486321297142782
1.0053096491487339,0.3756629424726783,0.49607908314434845,1,0.1403560526973013;0.3082476119080093;0.6839105543806876;0.8674857810139998
1.0681415022205298,0.6231686250225238,0.500912178671687,1,0.0904247353364744;0.1893278661604251;0.8124964911829489;0.9077509073201511
1.1309733552923256,0.40498932103084195,0.5015016687941258,1,0.1899565131926381;0.2990070082787049;0.7039963293095468;0.8070401492191097
1.1938052083641215,0.5019707276255454,0.49543791292103767,1,0.1521624388019913;0.2444525491082650;0.7464232767338104;0.8569617353559328
1.2566370614359172,0.395856837866964,0.9982064431268209,3,0.1961348620603030;0.3720354971106830;0.6315516166356739;0.8002780241933389
1.3194689145077132,0.4383127621994275,0.9998297865758585,3,0.2189861676755722;0.3206791936296296;0.6796612332186521;0.7806734054761447
1.3823007675795091,0.46393751258417826,0.9979405510987196,3,0.2299093073908087;0.2992316217181856;0.7048872760843742;0.7659717948066305
1.4451326206513049,0.3655910169122396,0.9977688783743589,3,0.1805643868304787;0.3764931381051750;0.6279691051461064;0.8149733699182391
1.5079644737231008,0.32428462252967305,0.0014703802803486266,3,0.1636126915451852;0.3717576227057553;0.6253016167335466;0.8393280690155122
1.5707963267948968,0.6697074229327329,0.9878108719350819,3,0.3226645834014483;0.4523526362601458;0.5720256198696898;0.6529571604687154
