ky,largest_gap_size,largest_gap_center_mod,largest_gap_index,centers_sorted
0.0,0.5991323225404677,0.9949314114175443,3,0.2944975726877782;0.3381764054112640;0.6719607717536471;0.6953652501473104
0.06283185307179587,0.555315625836365,0.003005544466265775,3,0.2806633573844481;0.3196908022970204;0.6742981087704487;0.7253477315480832
0.12566370614359174,0.644523775711136,0.4993814091483596,1,0.1621715736621154;0.1771195212927917;0.8216432970039276;0.8390656080411656
0.1884955592153876,0.4917138950246396,0.9980563225659351,3,0.2439132700782550;0.4067851166554436;0.5971022382126860;0.7521993750536153
0.25132741228718347,0.613460271363439,0.48700030450878407,1,0.1415654745955026;0.1802701688270646;0.7937304401905035;0.8844339163869288
0.3141592653589793,0.4610493303867811,0.00046077459540661003,3,0.2309854397887971;0.3176098985833858;0.6814685522258018;0.7699361094020161
0.3769911184307752,0.46720509094414947,0.5003280596576611,1,0.1012016322001008;0.2667255141855864;0.7339306051297358;0.8981422484845760
0.4398229715025711,0.37799605195176306,0.500102447738642,1,0.0763159001385775;0.3111044217627605;0.6891004737145235;0.9234792043841387
0.5026548245743669,0.3679194123707481,0.5038943097077077,1,0.1652455076010120;0.3199346035223336;0.6878540158930817;0.8269658729835729
0.5654866776461628,0.322249375706529,0.0004938577427897606,3,0.1616185455960541;0.3745153110619374;0.6244969734524837;0.8393691698895251
0.6283185307179586,0.30612641571765387,0.5012095498828038,1,0.1463896828299438;0.3481463420239768;0.6542727577416306;0.8511912174044491
0.6911503837897546,0.573121479891302,0.9994365547376826,3,0.2859972946833335;0.3949868351617406;0.6061400553628942;0.7128758147920315
0.7539822368615504,0.5229184764115489,0.9996134211138792,3,0.2610726593196536;0.3267792344135325;0.6739939233587096;0.7381541829081046
0.8168140899333463,0.3794829883893467,0.9987698898638617,3,0.1885113840585351;0.3831797675958359;0.6192804526764405;0.8090283956691884
0.8796459430051422,0.39720031068538064,0.9966610216257454,3,0.1952611769684358;0.3407455965838424;0.6659323601646661;0.7980608662830552
0.942477796076938,0.5505479752168403,0.5016613963814482,1,0.0908157477999776;0.2263874087730281;0.7769353839898684;0.9058614594371257
