ky,gap_center_mod,gap_center_unwrapped,largest_gap_size,largest_gap_index
0.0,0.000219928908680167,0.000219928908680167,0.3251862457298388,3
0.06283185307179587,0.0008122556609930776,0.0008122556609930776,0.4148729290110269,3
0.12566370614359174,0.49978191619892764,0.49978191619892764,0.3160896998593458,1
0.1884955592153876,0.9956478048315621,0.9956478048315621,0.6838989369924511,3
0.25132741228718347,0.494529952540796,1.494529952540796,0.5083648328519774,1
0.3141592653589793,0.001768001730184432,1.0017680017301844,0.3320008978038942,3
0.3769911184307752,0.0009758904431986792,1.0009758904431987,0.7264581458084971,3
0.4398229715025711,0.4989782472276465,1.4989782472276465,0.5838547084577832,1
0.5026548245743669,0.4987360729912389,1.498736072991239,0.45352066109553224,1
0.5654866776461628,0.4992564258224738,1.4992564258224739,0.5337369111655358,1
0.6283185307179586,0.0010384070889841723,1.0010384070889842,0.6802394609949491,3
0.6911503837897546,0.4957255623933091,1.495725562393309,0.6062621594122499,1
0.7539822368615504,0.5005381487853595,1.5005381487853593,0.34018855034177653,1
0.8168140899333463,0.9994116409934792,1.999411640993479,0.45378255441127147,3
0.8796459430051422,0.5001492951556946,1.5001492951556945,0.4914144631109718,1
0.942477796076938,0.5003795221276778,1.5003795221276777,0.4711338150835751,1
1.0053096491487339,0.9974136171789396,1.9974136171789394,0.6467624744451395,3
1.0681415022205298,0.4976722963648235,1.4976722963648232,0.5691213986263276,1
1.1309733552923256,0.5042803528272166,1.5042803528272164,0.3505500143902035,1
1.1938052083641215,0.0013592608005816853,2.0013592608005815,0.45244008934827695,3
1.2566370614359172,0.4928976583536788,2.4928976583536784,0.6657094918792259,1
1.3194689145077132,0.4975439753943536,2.497543975394353,0.49363652817841785,1
1.3823007675795091,0.9906474668465501,2.99064746684655,0.5427738642262043,3
1.4451326206513049,0.013106031303531385,3.013106031303531,0.47089322300725733,3
1.5079644737231008,0.4943486731670582,3.4943486731670577,0.4736020816552273,1
1.5707963267948968,0.4977860137695397,3.497786013769539,0.5742038952977147,1
1.6336281798666925,0.9982908706172734,2.9982908706172724,0.38136451624793444,3
1.6964600329384885,0.4936785151408565,3.4936785151408554,0.5264274434380618,1
1.7592918860102844,0.9883637015800222,3.9883637015800213,0.40672101052539134,3
1.8221237390820801,0.0017194946792322696,4.001719494679231,0.45872159980201954,3
1.884955592153876,0.006671891268531072,4.00667189126853,0.5430076918332785,3
1.9477874452256718,0.49856769725819633,4.498567697258196,0.5012532186457955,1
2.0106192982974678,0.5027111239703801,4.502711123970379,0.5383164202659176,1
2.0734511513692637,0.5069315081389546,4.506931508138954,0.4987733315691891,1
2.1362830044410597,0.989557458331941,4.98955745833194,0.6924497679159602,3
2.199114857512855,0.5031210564491833,4.503121056449182,0.38201077513904913,1
2.261946710584651,0.5204677893426211,4.52046778934262,0.4214194641910112,1
2.324778563656447,0.00040522668538045536,5.000405226685379,0.3954979142333267,3
2.387610416728243,0.5004222760063084,4.500422276006306,0.7049454285443666,1
2.450442269800039,0.49490099982890073,4.494900999828898,0.3285766496644028,1
2.5132741228718345,0.003104019180401263,4.003104019180399,0.496419526022005,3
2.5761059759436304,0.4974073515366115,4.4974073515366095,0.4615080575306906,1
2.6389378290154264,0.4968525110485519,4.49685251104855,0.4887443929914588,1
2.7017696820872223,0.0013289483409431035,4.001328948340941,0.5388903497545927,3
2.7646015351590183,0.005277764520170036,4.005277764520168,0.5572254455794101,3
2.8274333882308142,0.482369609115912,4.48236960911591,0.5333862651152841,1
2.8902652413026098,0.9999392187968608,3.9999392187968588,0.46573538344184817,3
2.9530970943744057,0.9982988436429139,3.998298843642912,0.44506996077905114,3
3.0159289474462017,0.4866059621394225,4.4866059621394205,0.4356536300860222,1
3.0787608005179976,0.5017848231308513,4.5017848231308495,0.5214174069855453,1
3.141592653589793,0.5101689884318783,4.510168988431877,0.4912045119565578,1
