v,t,lm,gap,chern,edge_state,corner_state,Wilson_loop,Z2_topology
0.1,0.3,0.1,0.7999999999999992,-4.1379116279214246e-16,0,0,0.8244555536973842,1
0.1,0.3,0.0,0.7999999999999995,-3.7431712335864163e-16,0,0,0.8859746242461766,1
0.3,0.3,0.1,0.5999999999999999,-4.232268631306976e-16,0,0,0.25815703355822067,0
0.3,0.3,0.0,0.7999999999999986,1.0876113550256616e-16,0,0,-0.3837681448912968,0
0.5,0.3,0.1,0.20000000000000015,1.2494934476721884e-16,0,0,-2.994177462078252,1
0.5,0.3,0.0,0.3999999999999994,-1.7480747839243938e-17,0,0,0.00026162122783218527,0
0.8,0.3,0.1,0.21980390271855657,-6.5910057808052045e-18,0,0,1.2641436830531905,1
0.8,0.3,0.0,-3.0531133177191805e-16,4.670475818587163e-17,0,0,-1.0754643244637911,1
1.0,0.3,0.1,0.1859942816876154,-2.788307889681862e-16,0,0,0.6320106632140601,1
1.0,0.3,0.0,-1.1171472287445201e-15,3.388730695558961e-16,0,0,0.4646955864038049,0
