model_type,v,L,corner_patch_size,Q_corner_1,Q_corner_2,Q_corner_3,Q_corner_4,Q_corner_mean,Q_corner_abs_mean,Q_corner_total_4corners
H_chiral,0.5,10,2,0.00018617065542292366,6.306066779870889e-14,-1.9828583219805296e-13,-0.00018617065541781663,-3.2529534621517087e-14,9.30853277755217e-05,-1.3011813848606835e-13
H_chiral,0.5,20,2,0.7528566709306619,2.396749465560788e-12,-5.482947429413798e-12,-0.9855624567289747,-0.05817644645034975,0.43460478191687907,-0.232705785801399
H_chiral,0.5,30,2,0.05638222300045426,1.7786971895361603e-10,1.1143463929386144e-10,0.5327698614997547,0.14728802119737833,0.14728802119737833,0.5891520847895133
H_chiral,0.6,10,2,-8.780995264245917e-08,-6.394884621840902e-14,-7.549516567451064e-15,8.780994997792391e-08,-1.8540724511240114e-14,4.3904993529686465e-08,-7.416289804496046e-14
H_chiral,0.6,20,2,-0.20709773374177143,-1.9590995492535512e-12,3.1179503423572896e-12,0.2929310847205948,0.02145833774499556,0.12500720461686082,0.08583335097998224
H_chiral,0.6,30,2,0.4370589573933876,-5.5919713304319885e-12,-3.819899951906791e-11,-0.2637572251303264,0.043325433054817564,0.17520404564187625,0.17330173221927025
H_chiral,0.7,10,2,-4.936047126591347e-10,7.105427357601002e-15,-2.6645352591003757e-15,4.935913899828392e-10,-2.220446049250313e-15,2.4680146815114767e-10,-8.881784197001252e-15
H_chiral,0.7,20,2,0.051322537049339534,1.729727472365994e-13,1.9539925233402755e-14,-0.051322708606375445,-4.288921084949493e-08,0.025661311413976873,-1.7155684339797972e-07
H_chiral,0.7,30,2,0.01441461738351224,-1.525446435834965e-13,-7.651657085716579e-13,-0.3926253894407268,-0.09455269301453306,0.10176000170628918,-0.37821077205813225
H_chiral,0.8,10,2,1.3486989303146402e-12,6.661338147750939e-16,8.881784197001252e-16,-1.3438139490062895e-12,1.609823385706477e-15,6.735167978888512e-13,6.439293542825908e-15
H_chiral,0.8,20,2,-9.586922833371148e-08,3.774758283725532e-14,-2.9976021664879227e-14,9.586924809568131e-08,6.8833827526759706e-15,4.793463603824932e-08,2.7533531010703882e-14
H_chiral,0.8,30,2,-0.3265245189818977,9.059419880941277e-14,-1.6053824936079764e-13,0.4271145126638558,0.025147498420472036,0.18840975791150116,0.10058999368188815
H_original,0.5,10,2,0.2227281669438146,0.2227281669438148,0.22272816694381126,0.22272816694381237,0.22272816694381325,0.22272816694381325,0.890912667775253
H_original,0.5,20,2,0.42246654430098873,0.4224665443025475,0.42246654433553976,0.4224665443370883,0.42246654431904107,0.42246654431904107,1.6898661772761643
H_original,0.5,30,2,0.5430594155888335,0.5430594155888318,0.5430594155888291,0.5430594155888335,0.543059415588832,0.543059415588832,2.172237662355328
H_original,0.6,10,2,0.2660171839677554,0.26601718396774787,0.26601718396775675,0.2660171839677643,0.2660171839677561,0.2660171839677561,1.0640687358710244
H_original,0.6,20,2,0.5113647681136544,0.5113647681136517,0.5113647681136495,0.511364768113654,0.5113647681136524,0.5113647681136524,2.0454590724546096
H_original,0.6,30,2,0.6594225740408275,0.6616183304788144,0.6616183312127628,0.6594225726221903,0.6605204520886487,0.6605204520886487,2.642081808354595
H_original,0.7,10,2,0.29367293341989287,0.29367293341993506,0.29367293341992085,0.29367293341989864,0.29367293341991185,0.29367293341991185,1.1746917336796474
H_original,0.7,20,2,0.4901550724600736,0.4901550724600603,0.49015507246016066,0.49015507246015044,0.49015507246011125,0.49015507246011125,1.960620289840445
H_original,0.7,30,2,0.6697728339911371,0.6681440018507399,0.6681440018682685,0.669772834010951,0.6689584179302741,0.6689584179302741,2.6758336717210964
H_original,0.8,10,2,0.20341278160810106,0.20341278160808218,0.2034127816080713,0.20341278160808152,0.20341278160808401,0.20341278160808401,0.8136511264323361
H_original,0.8,20,2,0.4768211092583763,0.4768211092583581,0.47682110925836607,0.47682110925836385,0.47682110925836607,0.47682110925836607,1.9072844370334643
H_original,0.8,30,2,0.614801519387226,0.6148015193871572,0.6148015193874241,0.6148015193873531,0.6148015193872901,0.6148015193872901,2.4592060775491604
