model_type,v,L_ribbon,nk,edge_cells,P_x_edge,P_y_edge,Q_left_x_edge,Q_right_x_edge,Q_bottom_y_edge,Q_top_y_edge
H_chiral,0.5,40,101,4,0.001241375747784712,-0.0008371970133334017,-0.001241375747784268,0.0012413757477851561,0.0008371970133334017,-0.0008371970133334017
H_chiral,0.6,40,101,4,-5.812153133222253e-07,6.847649369756681e-07,5.812153136552922e-07,-5.812153129891584e-07,-6.847649376418019e-07,6.847649363095343e-07
H_chiral,0.7,40,101,4,8.354401614951712e-10,1.3644319007966033e-10,-8.354397174059613e-10,8.35440605584381e-10,-1.3644307905735786e-10,1.364433011019628e-10
H_chiral,0.8,40,101,4,-4.211075932403219e-13,1.6461276786117196e-12,4.218847493575595e-13,-4.2033043712308427e-13,-1.6464607455191071e-12,1.645794611704332e-12
H_original,0.5,40,101,4,-0.0007560146615211982,-0.09645265445612217,0.003969907454586252,0.002457878131543856,0.09966654724918822,-0.09323876166305611
H_original,0.6,40,101,4,2.179101706123454e-05,-1.1369472695865745e-05,0.009256245736783963,0.009299827770906433,0.009289406226539176,0.009266667281147445
H_original,0.7,40,101,4,1.1753022555183179e-08,-4.352481086655757e-08,0.02045275384652334,0.020452777352568452,0.020452809124354543,0.02045272207473281
H_original,0.8,40,101,4,-3.437972129205491e-11,-4.4997339188057595e-12,0.031653388499835566,0.031653388431076124,0.03165338846995547,0.031653388460956
