model_type,v,q_xy,wannier_gap,reliability,p_y_from_nu_x,p_x_from_nu_y
H_chiral,0.5,0.23645230847213006,0.3277815725757539,high,0.43824713686493083,0.0346574800793293
H_chiral,0.6,0.05674931127606203,0.3679059019221964,high,0.06684173240477426,0.046656890147349805
H_chiral,0.7,0.16563237363304012,0.35461802049553337,medium_sector_tracking,0.20041948222829448,0.1308452650377858
H_chiral,0.8,0.6893284138793168,0.1542441677369309,medium_sector_tracking,0.7085682454816075,0.6700885822770262
H_original,0.5,0.4298499383522256,0.3668041992961957,high,0.5158811591781098,0.34381871752634147
H_original,0.6,0.44627494871428486,0.36577399162412194,high,0.01849185172384818,0.8740580457047216
H_original,0.7,0.5467785675526187,0.3296588366849351,medium_sector_tracking,0.46897529464194176,0.6245818404632957
H_original,0.8,0.30476788541431704,0.19584843337535984,high,0.4600784364843944,0.14945733434423972
