kx,band_index,energy,edge_weight
-3.141592653589793,0,-1.999874280819761,0.0008419794951190225
-3.141592653589793,1,-1.9998742808197605,0.0008419794951171337
-3.141592653589793,2,-1.9994974077410057,0.0033384123343495305
-3.141592653589793,3,-1.9994974077410042,0.003338412334345906
-3.141592653589793,4,-1.9988702338155033,0.007401936898255092
-3.141592653589793,5,-1.9988702338155027,0.007401936898257551
-3.141592653589793,6,-1.9979941796807892,0.01289075532370665
-3.141592653589793,7,-1.9979941796807887,0.012890755323710616
-3.141592653589793,8,-1.9968712318811312,0.019614180797602722
-3.141592653589793,9,-1.9968712318811306,0.019614180797604415
-3.141592653589793,10,-1.9955039405050718,0.027340090382146572
-3.141592653589793,11,-1.9955039405050716,0.027340090382138714
-3.141592653589793,12,-1.9938954161277582,0.035803984972982456
-3.141592653589793,13,-1.9938954161277571,0.03580398497298686
-3.141592653589793,14,-1.992049326042935,0.044719293487324424
-3.141592653589793,15,-1.992049326042934,0.044719293487336456
-3.141592653589793,16,-1.9899698897661928,0.053788508315567016
-3.141592653589793,17,-1.9899698897661922,0.053788508315571915
-3.141592653589793,18,-1.9876618737877911,0.06271470546112508
-3.141592653589793,19,-1.987661873787791,0.06271470546112293
-3.141592653589793,20,-1.9851305855501886,0.07121298700894474
-3.141592653589793,21,-1.9851305855501875,0.07121298700893251
-3.141592653589793,22,-1.982381866622289,0.07902138627415373
-3.141592653589793,23,-1.982381866622288,0.07902138627415861
-3.141592653589793,24,-1.9794220850393935,0.08591079713214508
-3.141592653589793,25,-1.9794220850393935,0.08591079713213759
-3.141592653589793,26,-1.9762581267749342,0.09169352783644344
-3.141592653589793,27,-1.9762581267749333,0.09169352783643647
-3.141592653589793,28,-1.9728973863073276,0.09623013460886748
-3.141592653589793,29,-1.972897386307327,0.09623013460887189
-3.141592653589793,30,-1.9693477562427248,0.09943425930959257
-3.141592653589793,31,-1.9693477562427244,0.09943425930960229
-3.141592653589793,32,-1.9656176159521077,0.10127527587324592
-3.141592653589793,33,-1.965617615952107,0.10127527587324095
-3.141592653589793,34,-1.9617158191790998,0.10177863877635931
-3.141592653589793,35,-1.9617158191790995,0.10177863877634999
-3.141592653589793,36,-1.9576516805731845,0.10102392008607257
-3.141592653589793,37,-1.957651680573184,0.1010239200860657
-3.141592653589793,38,-1.9534349611016295,0.09914061592597354
-3.141592653589793,39,-1.9534349611016288,0.09914061592597848
-3.141592653589793,40,-1.9490758522925742,0.09630189471215894
-3.141592653589793,41,-1.949075852292573,0.09630189471215
-3.141592653589793,42,-1.9445849592613398,0.09271654457141128
-3.141592653589793,43,-1.944584959261339,0.0927165445714134
-3.141592653589793,44,-1.9399732824722984,0.08861945248903408
-3.141592653589793,45,-1.9399732824722977,0.08861945248904513
-3.141592653589793,46,-1.9352521981895128,0.08426100984202067
-3.141592653589793,47,-1.935252198189512,0.0842610098420162
-3.141592653589793,48,-1.9304334375710959,0.07989588543620368
-3.141592653589793,49,-1.9304334375710956,0.07989588543621501
-3.141592653589793,50,-1.9255290643647491,0.07577163595813241
-3.141592653589793,51,-1.925529064364749,0.07577163595813446
-3.141592653589793,52,-1.9205514511654531,0.07211763352829445
-3.141592653589793,53,-1.920551451165453,0.07211763352828993
-3.141592653589793,54,-1.9155132542008182,0.06913478019570621
