ky,band_index,energy,edge_weight
-3.141592653589793,0,-2.312232112555683,0.00084390704332188
-3.141592653589793,1,-2.312232112555681,0.0008439070433255212
-3.141592653589793,2,-2.3119969963481584,0.0033460114480695097
-3.141592653589793,3,-2.311996996348158,0.0033460114480714257
-3.141592653589793,4,-2.3116059145936267,0.0074186241165938565
-3.141592653589793,5,-2.3116059145936267,0.00741862411658793
-3.141592653589793,6,-2.311060032458095,0.012919420329245045
-3.141592653589793,7,-2.311060032458095,0.012919420329237381
-3.141592653589793,8,-2.3103609757362875,0.01965701455868104
-3.141592653589793,9,-2.310360975736287,0.01965701455867657
-3.141592653589793,10,-2.3095108254242005,0.02739845007212913
-3.141592653589793,11,-2.3095108254242,0.027398450072132936
-3.141592653589793,12,-2.30851211075612,0.03587830323756725
-3.141592653589793,13,-2.30851211075612,0.035878303237582405
-3.141592653589793,14,-2.307367800718324,0.04480903755927029
-3.141592653589793,15,-2.3073678007183234,0.044809037559270584
-3.141592653589793,16,-2.3060812940553457,0.053892192090128896
-3.141592653589793,17,-2.3060812940553457,0.05389219209013338
-3.141592653589793,18,-2.3046564077889116,0.06282995503331781
-3.141592653589793,19,-2.304656407788911,0.0628299550333129
-3.141592653589793,20,-2.3030973642743935,0.07133665743648984
-3.141592653589793,21,-2.3030973642743935,0.07133665743649935
-3.141592653589793,22,-2.301408776825102,0.07914972458539207
-3.141592653589793,23,-2.301408776825101,0.07914972458537187
-3.141592653589793,24,-2.2995956339408323,0.08603964397105443
-3.141592653589793,25,-2.2995956339408323,0.08603964397105822
-3.141592653589793,26,-2.297663282183909,0.09181854776116186
-3.141592653589793,27,-2.2976632821839087,0.09181854776116681
-3.141592653589793,28,-2.2956174077534195,0.09634706306949867
-3.141592653589793,29,-2.295617407753419,0.09634706306949523
-3.141592653589793,30,-2.293464016816505,0.09953915285682416
-3.141592653589793,31,-2.2934640168165044,0.09953915285681546
-3.141592653589793,32,-2.2912094146642206,0.10136475130825162
-3.141592653589793,33,-2.29120941466422,0.10136475130824751
-3.141592653589793,34,-2.2888601837687115,0.1018500868429518
-3.141592653589793,35,-2.2888601837687115,0.10185008684296949
-3.141592653589793,36,-2.286423160827967,0.10107567999736328
-3.141592653589793,37,-2.286423160827967,0.10107567999736308
-3.141592653589793,38,-2.283905412894157,0.09917209854203138
-3.141592653589793,39,-2.2839054128941565,0.09917209854203585
-3.141592653589793,40,-2.2813142126913957,0.09631364452957969
-3.141592653589793,41,-2.2813142126913952,0.09631364452958732
-3.141592653589793,42,-2.2786570132383126,0.09271023378816307
-3.141592653589793,43,-2.2786570132383126,0.09271023378816043
-3.141592653589793,44,-2.275941421900116,0.0885978041512534
-3.141592653589793,45,-2.2759414219001157,0.0885978041512499
-3.141592653589793,46,-2.27317517400334,0.08422765129346399
-3.141592653589793,47,-2.273175174003339,0.08422765129347434
-3.141592653589793,48,-2.270366106154201,0.07985513775450573
-3.141592653589793,49,-2.2703661061542006,0.07985513775450698
-3.141592653589793,50,-2.2675221294080403,0.07572824951144452
-3.141592653589793,51,-2.2675221294080403,0.07572824951143226
-3.141592653589793,52,-2.2646512024424212,0.07207648392800275
-3.141592653589793,53,-2.264651202442421,0.07207648392801189
-3.141592653589793,54,-2.2617613048900047,0.0691005424495753
-3.141592653589793,55,-2.2617613048900047,0.06910054244957492
