kx,band_index,energy,edge_weight
-3.141592653589793,0,-1.9994618103008477,0.0006363440347461574
-3.141592653589793,1,-1.9994618103008472,0.0006363440347457815
-3.141592653589793,2,-1.997848228445528,0.0025242793790985095
-3.141592653589793,3,-1.9978482284455266,0.002524279379098427
-3.141592653589793,4,-1.9951622195772365,0.005601342316095263
-3.141592653589793,5,-1.9951622195772356,0.005601342316096719
-3.141592653589793,6,-1.9914087370061484,0.009766147930998063
-3.141592653589793,7,-1.9914087370061475,0.009766147930998744
-3.141592653589793,8,-1.986594739370007,0.014882354670337165
-3.141592653589793,9,-1.9865947393700056,0.014882354670335583
-3.141592653589793,10,-1.9807292147614164,0.020783984947217345
-3.141592653589793,11,-1.9807292147614155,0.02078398494721774
-3.141592653589793,12,-1.9738232119142334,0.02728188334740691
-3.141592653589793,13,-1.973823211914233,0.027281883347406607
-3.141592653589793,14,-1.9658898785528027,0.034171047242939026
-3.141592653589793,15,-1.9658898785528018,0.03417104724293664
-3.141592653589793,16,-1.9569445070064282,0.04123852872997741
-3.141592653589793,17,-1.9569445070064282,0.04123852872997601
-3.141592653589793,18,-1.947004587173217,0.04827158324504132
-3.141592653589793,19,-1.9470045871732164,0.0482715832450449
-3.141592653589793,20,-1.9360898668769613,0.05506572994621374
-3.141592653589793,21,-1.9360898668769604,0.055065729946215634
-3.141592653589793,22,-1.9242224195916262,0.06143239240185423
-3.141592653589793,23,-1.9242224195916255,0.061432392401851124
-3.141592653589793,24,-1.9114267194025272,0.06720580518399144
-3.141592653589793,25,-1.9114267194025272,0.0672058051839938
-3.141592653589793,26,-1.8977297229220997,0.07224890194792091
-3.141592653589793,27,-1.8977297229220993,0.07224890194792327
-3.141592653589793,28,-1.8831609576703126,0.07645794231319339
-3.141592653589793,29,-1.8831609576703119,0.07645794231319675
-3.141592653589793,30,-1.867752616152559,0.0797656867060057
-3.141592653589793,31,-1.8677526161525586,0.0797656867060052
-3.141592653589793,32,-1.8515396545070724,0.08214298825450586
-3.141592653589793,33,-1.8515396545070721,0.08214298825450474
-3.141592653589793,34,-1.8345598941340935,0.08359873652500027
-3.141592653589793,35,-1.8345598941340933,0.08359873652500155
-3.141592653589793,36,-1.816854124144428,0.08417815682459845
-3.141592653589793,37,-1.8168541241444278,0.0841781568246
-3.141592653589793,38,-1.7984662017608373,0.0839595383516906
-3.141592653589793,39,-1.7984662017608368,0.08395953835169107
