ky,band_index,energy,edge_weight
-3.141592653589793,0,-2.084297891449048,0.0006718706949075744
-3.141592653589793,1,-2.0842978914490464,0.0006718706949077267
-3.141592653589793,2,-2.082534876642315,0.0026658852301511948
-3.141592653589793,3,-2.0825348766423146,0.002665885230151154
-3.141592653589793,4,-2.079598690533912,0.005918063834734299
-3.141592653589793,5,-2.079598690533912,0.005918063834733923
-3.141592653589793,6,-2.07549259315176,0.010324450554229234
-3.141592653589793,7,-2.07549259315176,0.010324450554230159
-3.141592653589793,8,-2.0702211529004333,0.01574501600686793
-3.141592653589793,9,-2.070221152900433,0.015745016006866494
-3.141592653589793,10,-2.063790250968784,0.02200890053106868
-3.141592653589793,11,-2.0637902509687835,0.02200890053106988
-3.141592653589793,12,-2.0562070870568365,0.02892078793787825
-3.141592653589793,13,-2.056207087056836,0.028920787937877487
-3.141592653589793,14,-2.0474801864664656,0.03626815523796742
-3.141592653589793,15,-2.047480186466465,0.036268155237964644
-3.141592653589793,16,-2.037619408609701,0.04382910931945304
-3.141592653589793,17,-2.0376194086097006,0.04382910931945343
-3.141592653589793,18,-2.0266359569974126,0.05138049900940609
-3.141592653589793,19,-2.0266359569974126,0.05138049900940554
-3.141592653589793,20,-2.0145423907794915,0.05870598116663763
-3.141592653589793,21,-2.014542390779491,0.05870598116663488
-3.141592653589793,22,-2.0013526379152022,0.06560372280506184
-3.141592653589793,23,-2.001352637915202,0.0656037228050611
-3.141592653589793,24,-1.9870820100589945,0.07189343757000194
-3.141592653589793,25,-1.9870820100589939,0.0718934375700016
-3.141592653589793,26,-1.9717472192522727,0.07742248348295036
-3.141592653589793,27,-1.9717472192522725,0.07742248348295024
-3.141592653589793,28,-1.9553663965152084,0.08207078852578661
-3.141592653589793,29,-1.955366396515208,0.08207078852578661
-3.141592653589793,30,-1.937959112434021,0.08575441969038347
-3.141592653589793,31,-1.9379591124340205,0.08575441969038382
-3.141592653589793,32,-1.9195463998377724,0.08842766752692799
-3.141592653589793,33,-1.9195463998377724,0.0884276675269276
-3.141592653589793,34,-1.9001507786538558,0.09008357963779538
-3.141592653589793,35,-1.9001507786538558,0.09008357963779544
-3.141592653589793,36,-1.8797962830222186,0.0907529404368743
-3.141592653589793,37,-1.8797962830222186,0.09075294043687437
