ky,band_index,energy,edge_weight
-3.141592653589793,0,-1.999461810300848,0.0006363440347463282
-3.141592653589793,1,-1.9994618103008475,0.0006363440347465824
-3.141592653589793,2,-1.9978482284455277,0.0025242793790996344
-3.141592653589793,3,-1.9978482284455277,0.002524279379098765
-3.141592653589793,4,-1.9951622195772363,0.005601342316095436
-3.141592653589793,5,-1.9951622195772363,0.005601342316095832
-3.141592653589793,6,-1.9914087370061477,0.00976614793099918
-3.141592653589793,7,-1.9914087370061477,0.009766147931000141
-3.141592653589793,8,-1.9865947393700074,0.014882354670338462
-3.141592653589793,9,-1.986594739370007,0.014882354670336518
-3.141592653589793,10,-1.9807292147614166,0.020783984947217594
-3.141592653589793,11,-1.9807292147614157,0.02078398494721683
-3.141592653589793,12,-1.9738232119142334,0.0272818833474057
-3.141592653589793,13,-1.973823211914233,0.02728188334740591
-3.141592653589793,14,-1.9658898785528027,0.03417104724293854
-3.141592653589793,15,-1.9658898785528025,0.03417104724293617
-3.141592653589793,16,-1.9569445070064284,0.041238528729975354
-3.141592653589793,17,-1.9569445070064284,0.04123852872997608
-3.141592653589793,18,-1.9470045871732171,0.04827158324504114
-3.141592653589793,19,-1.9470045871732167,0.048271583245041334
-3.141592653589793,20,-1.9360898668769613,0.05506572994621424
-3.141592653589793,21,-1.936089866876961,0.05506572994621393
-3.141592653589793,22,-1.9242224195916264,0.06143239240185618
-3.141592653589793,23,-1.9242224195916264,0.061432392401854406
-3.141592653589793,24,-1.911426719402528,0.06720580518399488
-3.141592653589793,25,-1.9114267194025272,0.06720580518399376
-3.141592653589793,26,-1.8977297229221,0.07224890194792097
-3.141592653589793,27,-1.897729722922099,0.0722489019479226
-3.141592653589793,28,-1.883160957670313,0.07645794231319371
-3.141592653589793,29,-1.8831609576703128,0.0764579423131933
-3.141592653589793,30,-1.86775261615256,0.07976568670600287
-3.141592653589793,31,-1.8677526161525588,0.079765686706007
-3.141592653589793,32,-1.8515396545070726,0.08214298825450564
-3.141592653589793,33,-1.8515396545070726,0.0821429882545072
-3.141592653589793,34,-1.834559894134094,0.0835987365250001
-3.141592653589793,35,-1.8345598941340935,0.08359873652500169
-3.141592653589793,36,-1.8168541241444285,0.08417815682459931
-3.141592653589793,37,-1.816854124144428,0.08417815682460036
-3.141592653589793,38,-1.7984662017608375,0.08395953835168876
-3.141592653589793,39,-1.798466201760837,0.0839595383516894
-3.141592653589793,40,-1.77944314696026,0.08304953202667714
-3.141592653589793,41,-1.77944314696026,0.08304953202667714
-3.141592653589793,42,-1.759835226652694,0.0815772218487179
-3.141592653589793,43,-1.7598352266526933,0.08157722184871741
-3.141592653589793,44,-1.7396960225588338,0.07968722973028323
-3.141592653589793,45,-1.7396960225588336,0.07968722973028247
-3.141592653589793,46,-1.7190824756946625,0.07753216080592236
-3.141592653589793,47,-1.719082475694662,0.07753216080592457
-3.141592653589793,48,-1.6980548990417668,0.07526473227753357
-3.141592653589793,49,-1.6980548990417668,0.07526473227753237
-3.141592653589793,50,-1.6766769486532012,0.07302995226135343
-3.141592653589793,51,-1.676676948653201,0.07302995226135309
-3.141592653589793,52,-1.6550155422316128,0.07095772435970425
-3.141592653589793,53,-1.6550155422316124,0.0709577243597049
-3.141592653589793,54,-1.6331407132806302,0.06915624747389096
-3.141592653589793,55,-1.63314071328063,0.06915624747389093
-3.141592653589793,56,-1.6111253884828443,0.06770655752149071
-3.141592653589793,57,-1.611125388482844,0.06770655752149052
-3.141592653589793,58,-1.5890450762532458,0.06665851720262156
-3.141592653589793,59,-1.5890450762532458,0.06665851720262092
-3.141592653589793,60,-1.5669774557398133,0.06602850104592789
-3.141592653589793,61,-1.5669774557398133,0.06602850104592867
-3.141592653589793,62,-1.5450018581748342,0.06579894548641965
-3.141592653589793,63,-1.5450018581748333,0.06579894548641958
-3.141592653589793,64,-1.5231986366518648,0.06591983852217878
-3.141592653589793,65,-1.5231986366518646,0.06591983852217827
-3.141592653589793,66,-1.501648426227169,0.06631211301732846
-3.141592653589793,67,-1.501648426227169,0.06631211301732981
-3.141592653589793,68,-1.4804313036408123,0.066872786701912
-3.141592653589793,69,-1.4804313036408123,0.06687278670191232
-3.141592653589793,70,-1.4596258645763875,0.06748156793322593
-3.141592653589793,71,-1.459625864576387,0.06748156793322584
-3.141592653589793,72,-1.4393082455744333,0.06800852986175951
-3.141592653589793,73,-1.4393082455744328,0.06800852986175948
-3.141592653589793,74,-1.419551126524683,0.06832235970403633
-3.141592653589793,75,-1.4195511265246825,0.06832235970403802
-3.141592653589793,76,-1.4004227569060321,0.0682986281375929
-3.141592653589793,77,-1.4004227569060317,0.0682986281375943
-3.141592653589793,78,-1.3819860533816954,0.06782750858897271
-3.141592653589793,79,-1.3819860533816948,0.06782750858897432
-3.141592653589793,80,-1.364297816922371,0.06682041502647353
-3.141592653589793,81,-1.3642978169223705,0.06682041502647229
-3.141592653589793,82,-1.3474081136755536,0.06521512017030241
-3.141592653589793,83,-1.347408113675553,0.06521512017030251
-3.141592653589793,84,-1.3313598553041275,0.06297905537787687
-3.141592653589793,85,-1.3313598553041273,0.06297905537787668
-3.141592653589793,86,-1.316188602180544,0.06011066210180603
-3.141592653589793,87,-1.3161886021805438,0.06011066210180555
