kx,band_index,energy,edge_weight
-3.141592653589793,0,-2.3122321125556806,0.0008439070433261198
-3.141592653589793,1,-2.3122321125556806,0.0008439070433249949
-3.141592653589793,2,-2.3119969963481584,0.003346011448072079
-3.141592653589793,3,-2.311996996348158,0.003346011448069608
-3.141592653589793,4,-2.3116059145936267,0.0074186241165835835
-3.141592653589793,5,-2.3116059145936267,0.007418624116595632
-3.141592653589793,6,-2.3110600324580957,0.012919420329243203
-3.141592653589793,7,-2.311060032458095,0.012919420329232108
-3.141592653589793,8,-2.310360975736287,0.01965701455867601
-3.141592653589793,9,-2.310360975736287,0.0196570145586709
-3.141592653589793,10,-2.3095108254241996,0.027398450072123298
-3.141592653589793,11,-2.3095108254241996,0.027398450072130688
-3.141592653589793,12,-2.30851211075612,0.03587830323759071
-3.141592653589793,13,-2.30851211075612,0.035878303237578194
-3.141592653589793,14,-2.3073678007183234,0.04480903755925836
-3.141592653589793,15,-2.3073678007183234,0.04480903755927081
-3.141592653589793,16,-2.3060812940553457,0.05389219209013836
-3.141592653589793,17,-2.3060812940553452,0.05389219209010959
-3.141592653589793,18,-2.3046564077889116,0.06282995503331548
-3.141592653589793,19,-2.3046564077889116,0.06282995503332306
-3.141592653589793,20,-2.303097364274394,0.07133665743648301
-3.141592653589793,21,-2.303097364274393,0.07133665743647538
-3.141592653589793,22,-2.301408776825102,0.07914972458537677
-3.141592653589793,23,-2.3014087768251015,0.07914972458537155
-3.141592653589793,24,-2.2995956339408328,0.08603964397107824
-3.141592653589793,25,-2.2995956339408323,0.08603964397103253
-3.141592653589793,26,-2.2976632821839087,0.09181854776114756
-3.141592653589793,27,-2.297663282183908,0.09181854776117213
-3.141592653589793,28,-2.2956174077534204,0.09634706306950003
-3.141592653589793,29,-2.2956174077534204,0.09634706306949226
-3.141592653589793,30,-2.2934640168165052,0.09953915285687762
-3.141592653589793,31,-2.293464016816505,0.09953915285682649
-3.141592653589793,32,-2.2912094146642206,0.10136475130828132
-3.141592653589793,33,-2.29120941466422,0.10136475130828188
-3.141592653589793,34,-2.2888601837687124,0.10185008684297431
-3.141592653589793,35,-2.2888601837687124,0.10185008684294719
-3.141592653589793,36,-2.2864231608279675,0.10107567999737763
-3.141592653589793,37,-2.286423160827967,0.1010756799973721
-3.141592653589793,38,-2.2839054128941583,0.0991720985420151
-3.141592653589793,39,-2.283905412894158,0.09917209854203811
-3.141592653589793,40,-2.2813142126913957,0.09631364452958448
-3.141592653589793,41,-2.2813142126913952,0.09631364452955324
-3.141592653589793,42,-2.2786570132383126,0.09271023378816667
-3.141592653589793,43,-2.2786570132383126,0.09271023378816852
-3.141592653589793,44,-2.2759414219001157,0.08859780415125953
-3.141592653589793,45,-2.2759414219001153,0.08859780415124863
-3.141592653589793,46,-2.2731751740033386,0.08422765129346148
-3.141592653589793,47,-2.2731751740033386,0.08422765129344245
-3.141592653589793,48,-2.2703661061542006,0.0798551377544978
-3.141592653589793,49,-2.2703661061542006,0.0798551377545064
-3.141592653589793,50,-2.2675221294080417,0.07572824951144108
-3.141592653589793,51,-2.267522129408041,0.07572824951144634
-3.141592653589793,52,-2.26465120244242,0.07207648392799884
-3.141592653589793,53,-2.26465120244242,0.07207648392800377
-3.141592653589793,54,-2.2617613048900047,0.06910054244958078
-3.141592653589793,55,-2.2617613048900034,0.06910054244957581
-3.141592653589793,56,-2.258860410988975,0.06696327120059208
-3.141592653589793,57,-2.2588604109889747,0.0669632712005969
-3.141592653589793,58,-2.255956463708328,0.06578224365906103
-3.141592653589793,59,-2.255956463708328,0.06578224365906862
-3.141592653589793,60,-2.253057349502821,0.06562431359154172
-3.141592653589793,61,-2.2530573495028205,0.06562431359153051
-3.141592653589793,62,-2.250170873847438,0.06650238592065563
-3.141592653589793,63,-2.2501708738474373,0.06650238592064409
-3.141592653589793,64,-2.2473047376940833,0.0683745612985594
-3.141592653589793,65,-2.2473047376940833,0.068374561298554
-3.141592653589793,66,-2.244466514983598,0.07114571053545138
-3.141592653589793,67,-2.244466514983598,0.0711457105354554
-3.141592653589793,68,-2.2416636313345166,0.07467143174181728
-3.141592653589793,69,-2.2416636313345166,0.07467143174181995
-3.141592653589793,70,-2.238903344016075,0.07876424037973064
-3.141592653589793,71,-2.238903344016075,0.07876424037973098
